"lottery.title.7thbirthday","Invocation d'anniversaire"
"lottery.title.allianceeventsummon","Invocation de quête d'alliance"
"lottery.title.ancientdragonsummon","Invocation du dragon ancestral"
"lottery.title.ascensionitemsummon","Invocation d'évolution"
"lottery.title.ascensionsummon","Puissance instantanée"
"lottery.title.astralelvessummon","Invocation astrale"
"lottery.title.blacksummon","Invocation du Black Friday"
"lottery.title.challengeeventsummon","Invocation d'événement"
"lottery.title.costumesummon","Invocation de costume"
"lottery.title.covenantsummon","Invocation de pacte"
"lottery.title.dailysummon","Invocation quotidienne"
"lottery.title.elementaldragonsummon","Invocation de dragon élémentaire"
"lottery.title.elementalherosummon","Invocation élémentaire"
"lottery.title.epicdragonsummon","Invocation de dragon légendaire"
"lottery.title.epicherosummon","Invocation de héros épique"
"lottery.title.epictroopsummon","Invocation de troupe épique"
"lottery.title.featuredsummon","Invocation élémentaire"
"lottery.title.goblinsummon","Invocation des gobelins"
"lottery.title.harvestsummon","Invocation des récoltes"
"lottery.title.itemsummon","Invocation d'évolution"
"lottery.title.leaguesummon","Invocation de la ligue des héros"
"lottery.title.legendarytroopsummon","Invocation de troupe légendaire"
"lottery.title.legendssummon","Invocation de Légendes"
"lottery.title.limitbreakitemsummon","Invocation d'éther"
"lottery.title.lottery_updated","Invocation mise à jour"
"lottery.title.mercenarywarsummon","Invocation des trois royaumes"
"lottery.title.mimicsummon","Invocation d'imposteurs"
"lottery.title.monsterislandsummon","Invocation de l'île aux monstres"
"lottery.title.moths","Invocation de quête d'alliance"
"lottery.title.pickupsummon","Invocation de collecte"
"lottery.title.season2","Invocation de l'Atlantide"
"lottery.title.season3","Invocation de Valhalla"
"lottery.title.season4","Invocation du Souterrain"
"lottery.title.season5","Invocation des dunes"
"lottery.title.seasonal","Invocation saisonnière"
"lottery.title.seasonalpremiumsummon","Invocation sanguine"
"lottery.title.shadowsummon","Invocation de l'ombre"
"lottery.title.silverdragonsummon","Invocation d'argent"
"lottery.title.solsticesummon","Invocation du solstice"
"lottery.title.spring","Invocation Printanière"
"lottery.title.summon.view.untoldtales","Récits inédits"
"lottery.title.superelementalsummon","Invocation super élémentaire"
"lottery.title.templesummon","Invocation du temple"
"lottery.title.towereventsummon","Invocation de tour"
"lottery.title.towertroopsummon","Invocation de troupe de tour"
"lottery.title.untoldtales","Invocation des Récits inédits"
"lottery.title.untoldtales1","Mystères des profondeurs"
"lottery.title.untoldtales2","Trésors des flammes et du givre"
"lottery.title.wildernesssummon","Invocation sauvage"
