"lottery.title.7thbirthday","Panggilan Ulang Tahun"
"lottery.title.allianceeventsummon","Panggilan Petualangan Aliansi"
"lottery.title.ancientdragonsummon","Panggilan Naga Kuno"
"lottery.title.ascensionitemsummon","Panggilan Kenaikan"
"lottery.title.ascensionsummon","Kekuatan Instan"
"lottery.title.astralelvessummon","Panggilan Astral"
"lottery.title.blacksummon","Panggilan Jumat Hitam"
"lottery.title.challengeeventsummon","Panggilan Acara"
"lottery.title.costumesummon","Panggilan Kostum"
"lottery.title.covenantsummon","Panggilan Perjanjian"
"lottery.title.dailysummon","Panggilan Harian"
"lottery.title.elementaldragonsummon","Panggilan Naga Elemen"
"lottery.title.elementalherosummon","Panggilan Elemen"
"lottery.title.epicdragonsummon","Panggilan Naga Legendaris"
"lottery.title.epicherosummon","Panggilan Pahlawan Epik"
"lottery.title.epictroopsummon","Panggilan Pasukan Epik"
"lottery.title.featuredsummon","Panggilan Elemen"
"lottery.title.goblinsummon","Panggilan Goblin"
"lottery.title.harvestsummon","Panggilan Panen"
"lottery.title.itemsummon","Panggilan Kenaikan"
"lottery.title.leaguesummon","Panggilan Liga Pahlawan"
"lottery.title.legendarytroopsummon","Panggilan Pasukan Legendaris"
"lottery.title.legendssummon","Panggilan Legenda"
"lottery.title.limitbreakitemsummon","Panggilan Eter"
"lottery.title.lottery_updated","Panggilan Diperbarui"
"lottery.title.mercenarywarsummon","Panggilan 3 Kerajaan"
"lottery.title.mimicsummon","Panggilan Mimik"
"lottery.title.monsterislandsummon","Panggilan Pulau Monster"
"lottery.title.moths","Panggilan Petualangan Aliansi"
"lottery.title.pickupsummon","Panggilan Ambil"
"lottery.title.season2","Panggilan Atlantis"
"lottery.title.season3","Panggilan Valhalla"
"lottery.title.season4","Panggilan Jurang Liar"
"lottery.title.season5","Panggilan Bukit Pasir"
"lottery.title.seasonal","Panggilan Musiman"
"lottery.title.seasonalpremiumsummon","Panggilan Optimis"
"lottery.title.shadowsummon","Panggilan Bayangan"
"lottery.title.silverdragonsummon","Panggilan Perak"
"lottery.title.solsticesummon","Panggilan Titik Balik"
"lottery.title.spring","Panggilan Musim Semi"
"lottery.title.summon.view.untoldtales","Kisah Tak Diceritakan"
"lottery.title.superelementalsummon","Panggilan Elemen Super"
"lottery.title.templesummon","Panggilan Kuil"
"lottery.title.towereventsummon","Panggilan Menara"
"lottery.title.towertroopsummon","Panggilan Pasukan Menara"
"lottery.title.untoldtales","Panggilan Kisah Tak Diceritakan"
"lottery.title.untoldtales1","Misteri Kedalaman"
"lottery.title.untoldtales2","Harta Karun Api dan Es"
"lottery.title.wildernesssummon","Panggilan Alam Liar"
