"lottery.title.7thbirthday","Chiamata del compleanno"
"lottery.title.allianceeventsummon","Chiamata dell'Impresa dell'Alleanza"
"lottery.title.ancientdragonsummon","Chiamata dei draghi antichi"
"lottery.title.ascensionitemsummon","Chiamata dell'ascensione"
"lottery.title.ascensionsummon","Potere istantaneo"
"lottery.title.astralelvessummon","Chiamata astrale"
"lottery.title.blacksummon","Chiamata del Black Friday"
"lottery.title.challengeeventsummon","Chiamata evento"
"lottery.title.costumesummon","Chiamata Costume"
"lottery.title.covenantsummon","Chiamata del Patto"
"lottery.title.dailysummon","Chiamata giornaliera"
"lottery.title.elementaldragonsummon","Chiamata dei draghi elementale"
"lottery.title.elementalherosummon","Chiamata elementale"
"lottery.title.epicdragonsummon","Chiamata dei draghi leggendaria"
"lottery.title.epicherosummon","Chiamata Eroe epico"
"lottery.title.epictroopsummon","Chiamata truppa epica"
"lottery.title.goblinsummon","Chiamata dei goblin"
"lottery.title.harvestsummon","Chiamata del raccolto"
"lottery.title.itemsummon","Chiamata dell'ascensione"
"lottery.title.leaguesummon","Chiamata della Lega degli Eroi"
"lottery.title.legendarytroopsummon","Chiamata truppa leggendaria"
"lottery.title.legendssummon","Chiamata delle Leggende"
"lottery.title.limitbreakitemsummon","Chiamata delle Eteree"
"lottery.title.lottery_updated","Chiamata aggiornata"
"lottery.title.mercenarywarsummon","Chiamata dei 3 Regni"
"lottery.title.mimicsummon","Chiamata del Bazar"
"lottery.title.monsterislandsummon","Chiamata dell'Isola dei mostri"
"lottery.title.moths","Chiamata dell'Impresa dell'Alleanza"
"lottery.title.permanentancientdragonsummon","Chiamata dei draghi antichi"
"lottery.title.pickupsummon","Chiamata di recupero"
"lottery.title.season2","Chiamata di Atlantide"
"lottery.title.season3","Chiamata del Valhalla"
"lottery.title.season4","Chiamata delle Profondità"
"lottery.title.season5","Chiamata delle Dune"
"lottery.title.seasonal","Chiamata stagionale"
"lottery.title.seasonalpremiumsummon.halloween2025","Chiamata sanguigna"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","Chiamata della fortuna"
"lottery.title.shadowsummon","Chiamata delle ombre"
"lottery.title.silverdragonsummon","Chiamata argentea"
"lottery.title.solsticesummon","Chiamata del solstizio"
"lottery.title.spring","Chiamata di primavera"
"lottery.title.summon.view.untoldtales","Storie non raccontate"
"lottery.title.superelementalsummon","Chiamata dei Super elementi"
"lottery.title.templesummon","Chiamata del Tempio"
"lottery.title.titanhuntersummon","Chiamata dei cacciatori di Titani"
"lottery.title.towereventsummon","Chiamata della Torre"
"lottery.title.towertroopsummon","Chiamata delle truppe della Torre"
"lottery.title.untoldtales","Chiamata delle Storie non raccontate"
"lottery.title.untoldtales1","Misteri degli abissi"
"lottery.title.untoldtales2","Tesori della Fiamma e del Gelo"
"lottery.title.wildernesssummon","Chiamata della Selva"
