"lottery.title.7thbirthday","バースデーサモン"
"lottery.title.allianceeventsummon","同盟クエストサモン"
"lottery.title.ancientdragonsummon","古代ドラゴンサモン"
"lottery.title.ascensionitemsummon","アセンドサモン"
"lottery.title.ascensionsummon","即時パワー"
"lottery.title.astralelvessummon","アストラルサモン"
"lottery.title.blacksummon","ブラックフライデー・サモン"
"lottery.title.challengeeventsummon","イベントサモン"
"lottery.title.costumesummon","コスチュームサモン"
"lottery.title.covenantsummon","盟約サモン"
"lottery.title.dailysummon","デイリーサモン"
"lottery.title.elementaldragonsummon","エレメントドラゴンサモン"
"lottery.title.elementalherosummon","エレメント サモン"
"lottery.title.epicdragonsummon","レジェンドドラゴンサモン"
"lottery.title.epicherosummon","エピック英雄サモン"
"lottery.title.epictroopsummon","エピック兵団サモン"
"lottery.title.goblinsummon","ゴブリンサモン"
"lottery.title.harvestsummon","豊作サモン"
"lottery.title.itemsummon","アセンドサモン"
"lottery.title.leaguesummon","英雄リーグサモン"
"lottery.title.legendarytroopsummon","レジェンド兵団サモン"
"lottery.title.legendssummon","レジェンドサモン"
"lottery.title.limitbreakitemsummon","エーテルサモン"
"lottery.title.lottery_updated","サモンアップデート"
"lottery.title.mercenarywarsummon","三国サモン"
"lottery.title.mimicsummon","バザーサモン"
"lottery.title.monsterislandsummon","モンスター島サモン"
"lottery.title.moths","同盟クエストサモン"
"lottery.title.pickupsummon","ピックアップサモン"
"lottery.title.season2","アトランティスサモン"
"lottery.title.season3","ヴァルハラサモン"
"lottery.title.season4","アンダーワイルドサモン"
"lottery.title.season5","砂丘サモン"
"lottery.title.seasonal","シーズンサモン"
"lottery.title.seasonalpremiumsummon","血のサモン"
"lottery.title.shadowsummon","シャドウサモン"
"lottery.title.silverdragonsummon","シルバーサモン"
"lottery.title.solsticesummon","夏至の日サモン"
"lottery.title.spring","スプリングサモン"
"lottery.title.summon.view.untoldtales","語られざる物語"
"lottery.title.superelementalsummon","スーパーエレメント サモン"
"lottery.title.templesummon","寺院サモン"
"lottery.title.titanhuntersummon","タイタンハンターサモン"
"lottery.title.towereventsummon","タワーサモン"
"lottery.title.towertroopsummon","タワー兵団サモン"
"lottery.title.untoldtales","語られざる物語サモン"
"lottery.title.untoldtales1","深海の謎"
"lottery.title.untoldtales2","炎とフロストの財宝"
"lottery.title.wildernesssummon","荒野のサモン"
