"lottery.title.7thbirthday","생일 소환"
"lottery.title.allianceeventsummon","동맹 퀘스트 소환"
"lottery.title.ancientdragonsummon","고대 드래곤 소환"
"lottery.title.ascensionitemsummon","각성 소환"
"lottery.title.ascensionsummon","즉석 파워"
"lottery.title.astralelvessummon","아스트랄 소환"
"lottery.title.blacksummon","블랙 프라이데이 소환"
"lottery.title.challengeeventsummon","이벤트 소환"
"lottery.title.costumesummon","의상 소환"
"lottery.title.covenantsummon","서약 소환"
"lottery.title.dailysummon","일일 소환"
"lottery.title.elementaldragonsummon","속성 드래곤 소환"
"lottery.title.elementalherosummon","속성 소환"
"lottery.title.epicdragonsummon","전설 드래곤 소환"
"lottery.title.epicherosummon","초희귀 영웅 소환"
"lottery.title.epictroopsummon","초희귀 부대 소환"
"lottery.title.goblinsummon","고블린 소환"
"lottery.title.harvestsummon","수확 소환"
"lottery.title.itemsummon","각성 소환"
"lottery.title.leaguesummon","영웅 리그 소환"
"lottery.title.legendarytroopsummon","전설 부대 소환"
"lottery.title.legendssummon","전설 소환"
"lottery.title.limitbreakitemsummon","에테르 소환"
"lottery.title.lottery_updated","소환 업데이트됨"
"lottery.title.mercenarywarsummon","삼국 소환"
"lottery.title.mimicsummon","바자회 소환"
"lottery.title.monsterislandsummon","몬스터 아일랜드 소환"
"lottery.title.moths","동맹 퀘스트 소환"
"lottery.title.permanentancientdragonsummon","고대 드래곤 소환"
"lottery.title.pickupsummon","픽업 소환"
"lottery.title.season2","아틀란티스 소환"
"lottery.title.season3","발할라 소환"
"lottery.title.season4","언더와일드 소환"
"lottery.title.season5","사막 소환"
"lottery.title.seasonal","시즌 소환"
"lottery.title.seasonalpremiumsummon.halloween2025","핏빛 소환"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","행운 소환"
"lottery.title.shadowsummon","그림자 소환"
"lottery.title.silverdragonsummon","실버 소환"
"lottery.title.solsticesummon","솔스티스 소환"
"lottery.title.spring","봄 소환"
"lottery.title.summon.view.untoldtales","말하지 않은 이야기들"
"lottery.title.superelementalsummon","슈퍼 속성 소환"
"lottery.title.templesummon","사원 소환"
"lottery.title.titanhuntersummon","타이탄 사냥꾼 소환"
"lottery.title.towereventsummon","타워 소환"
"lottery.title.towertroopsummon","타워 부대 소환"
"lottery.title.untoldtales","말하지 않은 이야기 소환"
"lottery.title.untoldtales1","심연의 수수께끼"
"lottery.title.untoldtales2","불꽃과 서리의 보물"
"lottery.title.wildernesssummon","황무지 소환"
