"lottery.title.7thbirthday","Verjaardagsaanroep"
"lottery.title.allianceeventsummon","Alliantieopdracht-aanroep"
"lottery.title.ancientdragonsummon","Eeuwenoude draken-aanroep"
"lottery.title.ascensionitemsummon","Verheffingsaanroep"
"lottery.title.ascensionsummon","Directe kracht"
"lottery.title.astralelvessummon","Astrale aanroep"
"lottery.title.blacksummon","Black Friday-aanroep"
"lottery.title.challengeeventsummon","Evenementaanroep"
"lottery.title.costumesummon","Outfit-aanroep"
"lottery.title.covenantsummon","Convenantaanroep"
"lottery.title.dailysummon","Dagelijkse aanroep"
"lottery.title.elementaldragonsummon","Elementdrakenaanroep"
"lottery.title.elementalherosummon","Elementaanroep"
"lottery.title.epicdragonsummon","Legendarische-drakenaanroep"
"lottery.title.epicherosummon","Epische-heldaanroep"
"lottery.title.epictroopsummon","Epische-troepenaanroep"
"lottery.title.goblinsummon","Koboldaanroep"
"lottery.title.harvestsummon","Oogstaanroep"
"lottery.title.itemsummon","Verheffingsaanroep"
"lottery.title.leaguesummon","Heldencompetitieaanroep"
"lottery.title.legendarytroopsummon","Legendarische-troepenaanroep"
"lottery.title.legendssummon","Legendenaanroep"
"lottery.title.limitbreakitemsummon","Etheraanroep"
"lottery.title.lottery_updated","Aanroep bijgewerkt"
"lottery.title.mercenarywarsummon","Aanroep van de 3 koninkrijken"
"lottery.title.mimicsummon","Bazaaraanroep"
"lottery.title.monsterislandsummon","Monstereilandaanroep"
"lottery.title.moths","Alliantieopdracht-aanroep"
"lottery.title.permanentancientdragonsummon","Eeuwenoude draken-aanroep"
"lottery.title.pickupsummon","Oppikaanroep"
"lottery.title.season2","Aanroep van Atlantis"
"lottery.title.season3","Walhalla-aanroep"
"lottery.title.season4","Aanroep van de Onderwildernis"
"lottery.title.season5","Duinenaanroep"
"lottery.title.seasonal","Seizoensaanroep"
"lottery.title.seasonalpremiumsummon.halloween2025","Bloederige aanroep"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","Fortuinaanroep"
"lottery.title.shadowsummon","Schaduwaanroep"
"lottery.title.silverdragonsummon","Zilveraanroep"
"lottery.title.solsticesummon","Zonnewende-aanroep"
"lottery.title.spring","Lente-aanroep"
"lottery.title.summon.view.untoldtales","Niet-vertelde verhalen"
"lottery.title.superelementalsummon","Superelementenaanroep"
"lottery.title.templesummon","Tempelaanroep"
"lottery.title.titanhuntersummon","Titanenjageraanroep"
"lottery.title.towereventsummon","Torenaanroep"
"lottery.title.towertroopsummon","Torentroepenaanroep"
"lottery.title.untoldtales","Niet-vertelde verhalen-aanroep"
"lottery.title.untoldtales1","Mysteries van de Diepte"
"lottery.title.untoldtales2","Schatten van Vorst en Vlam"
"lottery.title.wildernesssummon","Wildernisaanroep"
