"lottery.title.7thbirthday","Bursdagsfremkalling"
"lottery.title.allianceeventsummon","Allianseoppdragpåkalling"
"lottery.title.ancientdragonsummon","Gammel drage-fremkalling"
"lottery.title.ascensionitemsummon","Forbedringpåkalling"
"lottery.title.ascensionsummon","Umiddelbar kraft"
"lottery.title.astralelvessummon","Astralfremkalling"
"lottery.title.blacksummon","Black Friday-påkalling"
"lottery.title.challengeeventsummon","Hendelsesfremkalling"
"lottery.title.costumesummon","Kostymefremkalling"
"lottery.title.covenantsummon","Paktfremkalling"
"lottery.title.dailysummon","Daglig fremkalling"
"lottery.title.elementaldragonsummon","Elementdragefremkalling"
"lottery.title.elementalherosummon","Elementfremkalling"
"lottery.title.epicdragonsummon","Legendarisk drage-fremkalling"
"lottery.title.epicherosummon","Episk heltefremkalling"
"lottery.title.epictroopsummon","Episk troppefremkalling"
"lottery.title.goblinsummon","Goblinpåkalling"
"lottery.title.harvestsummon","Innhøstingsfremkalling"
"lottery.title.itemsummon","Forbedringpåkalling"
"lottery.title.leaguesummon","Helteligafremkalling"
"lottery.title.legendarytroopsummon","Fremkalling av legendarisk tropp"
"lottery.title.legendssummon","Legende-fremkalling"
"lottery.title.limitbreakitemsummon","Eter-fremkalling"
"lottery.title.lottery_updated","Fremkalling oppdatert"
"lottery.title.mercenarywarsummon","Tre kongeriker-fremkalling"
"lottery.title.mimicsummon","Basarfremkalling"
"lottery.title.monsterislandsummon","Monsterøya-fremkalling"
"lottery.title.moths","Allianseoppdragpåkalling"
"lottery.title.permanentancientdragonsummon","Gammel drage-fremkalling"
"lottery.title.pickupsummon","Plukk opp-påkalling"
"lottery.title.season2","Atlantis-fremkalling"
"lottery.title.season3","Valhalla-fremkalling"
"lottery.title.season4","Underverden-fremkalling"
"lottery.title.season5","Sanddyner-fremkalling"
"lottery.title.seasonal","Sesongfremkalling"
"lottery.title.seasonalpremiumsummon.halloween2025","Optimistisk fremkalling"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","Lykkefremkalling"
"lottery.title.shadowsummon","Skyggefremkalling"
"lottery.title.silverdragonsummon","Sølvfremkalling"
"lottery.title.solsticesummon","Solvervfremkalling"
"lottery.title.spring","Vårfremkalling"
"lottery.title.summon.view.untoldtales","Utallige historier"
"lottery.title.superelementalsummon","Superelementfremkalling"
"lottery.title.templesummon","Tempelfremkalling"
"lottery.title.titanhuntersummon","Titanjakt-fremkalling"
"lottery.title.towereventsummon","Tårnpåkalling"
"lottery.title.towertroopsummon","Tårntropp-påkalling"
"lottery.title.untoldtales","Utallige historier-fremkalling"
"lottery.title.untoldtales1","Dypets mysterier"
"lottery.title.untoldtales2","Skatter av flamme og frost"
"lottery.title.wildernesssummon","Villmarkfremkalling"
