"lottery.title.7thbirthday","Wezwanie urodzinowe"
"lottery.title.allianceeventsummon","Wezwij zadanie sojuszu"
"lottery.title.ancientdragonsummon","Wezwanie starożytnego smoka"
"lottery.title.ascensionitemsummon","Wezwanie Wzniesienia"
"lottery.title.ascensionsummon","Natychmiastowa moc"
"lottery.title.astralelvessummon","Astralne wezwanie"
"lottery.title.blacksummon","Przywołania na czarny piątek"
"lottery.title.challengeeventsummon","Wezwanie wydarzenia"
"lottery.title.costumesummon","Wezwanie kostiumu"
"lottery.title.covenantsummon","Wezwanie Przymierza"
"lottery.title.dailysummon","Codzienne wezwanie"
"lottery.title.elementaldragonsummon","Wezwanie smoka żywiołu"
"lottery.title.elementalherosummon","Wezwanie żywiołaków"
"lottery.title.epicdragonsummon","Wezwanie legendarnego smoka"
"lottery.title.epicherosummon","Wezwanie epickiego bohatera"
"lottery.title.epictroopsummon","Wezwanie epickiego oddziału"
"lottery.title.goblinsummon","Wezwanie Goblina"
"lottery.title.harvestsummon","Wezwanie żniw"
"lottery.title.itemsummon","Wezwanie Wzniesienia"
"lottery.title.leaguesummon","Wezwanie ligi bohaterów"
"lottery.title.legendarytroopsummon","Wezwanie legendarnego oddziału"
"lottery.title.legendssummon","Wezwanie legend"
"lottery.title.limitbreakitemsummon","Wezwanie materii"
"lottery.title.lottery_updated","Wezwanie zostało zaktualizowane"
"lottery.title.mercenarywarsummon","Wezwanie 3 Królestw"
"lottery.title.mimicsummon","Wezwanie bazaru"
"lottery.title.monsterislandsummon","Wezwanie Wyspy Potworów"
"lottery.title.moths","Zadanie wezwania sojuszu"
"lottery.title.pickupsummon","Wezwanie Nabrania sił"
"lottery.title.season2","Wezwanie Atlantydy"
"lottery.title.season3","Wezwanie Walhalli"
"lottery.title.season4","Wezwanie Podziemia"
"lottery.title.season5","Wezwanie Wydm"
"lottery.title.seasonal","Wezwanie sezonowe"
"lottery.title.seasonalpremiumsummon","Sangwiniczne wezwanie"
"lottery.title.shadowsummon","Wezwanie cienia"
"lottery.title.silverdragonsummon","Srebrne wezwanie"
"lottery.title.solsticesummon","Przywołanie z okazji przesilenia"
"lottery.title.spring","Wiosenne wezwanie"
"lottery.title.summon.view.untoldtales","Przemilczane historie"
"lottery.title.superelementalsummon","Superwezwanie żywiołaków"
"lottery.title.templesummon","Wezwanie świątyni"
"lottery.title.titanhuntersummon","Wezwanie łowców tytanów"
"lottery.title.towereventsummon","Wezwanie wieży"
"lottery.title.towertroopsummon","Wezwanie oddziałów wieży"
"lottery.title.untoldtales","Wezwanie przemilczanych historii"
"lottery.title.untoldtales1","Tajemnice głębin"
"lottery.title.untoldtales2","Skarby ognia i mrozu"
"lottery.title.wildernesssummon","Wezwanie dziczy"
