"lottery.title.7thbirthday","Convocação de Aniversário"
"lottery.title.allianceeventsummon","Convocação do objetivo da aliança"
"lottery.title.ancientdragonsummon","Convocação de Dragão Antigo"
"lottery.title.ascensionitemsummon","Convocação da Ascensão"
"lottery.title.ascensionsummon","Poder Instantâneo"
"lottery.title.astralelvessummon","Convocação Astral"
"lottery.title.blacksummon","Convocação da Black Friday"
"lottery.title.challengeeventsummon","Convocação de evento"
"lottery.title.costumesummon","Convocação de traje"
"lottery.title.covenantsummon","Convocação do Pacto"
"lottery.title.dailysummon","Convocação Diária"
"lottery.title.elementaldragonsummon","Convocação de Dragão Elemental"
"lottery.title.elementalherosummon","Convocação Elemental"
"lottery.title.epicdragonsummon","Convocação de Dragão Lendária"
"lottery.title.epicherosummon","Convocação de Herói Épica"
"lottery.title.epictroopsummon","Convocação de Tropa Épica"
"lottery.title.featuredsummon","Convocação Elemental"
"lottery.title.goblinsummon","Convocação Goblin"
"lottery.title.harvestsummon","Convocação da Colheita"
"lottery.title.itemsummon","Convocação da Ascensão"
"lottery.title.leaguesummon","Convocação da Liga dos Herói"
"lottery.title.legendarytroopsummon","Convocação de Tropa Lendária"
"lottery.title.legendssummon","Convocação das Lendas"
"lottery.title.limitbreakitemsummon","Convocação do éter"
"lottery.title.lottery_updated","Convocação atualizada"
"lottery.title.mercenarywarsummon","Convocação dos 3 Reinos"
"lottery.title.mimicsummon","Convocação de Mimese"
"lottery.title.monsterislandsummon","Convocação da Ilha dos Monstros"
"lottery.title.moths","Convocação do objetivo da aliança"
"lottery.title.pickupsummon","Convocação de Coleta"
"lottery.title.season2","Convocação da Atlântida"
"lottery.title.season3","Convocação de Valhalla"
"lottery.title.season4","Convocação do Submundo Selvagem"
"lottery.title.season5","Convocação das Dunas"
"lottery.title.seasonal","Convocação da estação"
"lottery.title.seasonalpremiumsummon","Convocação Sanguínea"
"lottery.title.shadowsummon","Convocação das Sombras"
"lottery.title.silverdragonsummon","Convocação de Prata"
"lottery.title.solsticesummon","Convocação de Solstício"
"lottery.title.spring","Convocação de Primavera"
"lottery.title.summon.view.untoldtales","Histórias Inauditas"
"lottery.title.superelementalsummon","Convocação de Superelemental"
"lottery.title.templesummon","Convocação do Templo"
"lottery.title.towereventsummon","Convocação da Torre"
"lottery.title.towertroopsummon","Convocação de Tropa da Torre"
"lottery.title.untoldtales","Convocação das Histórias Inauditas"
"lottery.title.untoldtales1","Mistérios das Profundezas"
"lottery.title.untoldtales2","Tesouros de Chama e Neve"
"lottery.title.wildernesssummon","Convocação Selvagem"
