"lottery.title.7thbirthday","Праздничный призыв"
"lottery.title.allianceeventsummon","Призыв квеста альянса"
"lottery.title.ancientdragonsummon","Призыв древних драконов"
"lottery.title.ascensionitemsummon","Призыв перерождения"
"lottery.title.ascensionsummon","Мгновенная мощь"
"lottery.title.astralelvessummon","Астральный призыв"
"lottery.title.blacksummon","Призыв черной пятницы"
"lottery.title.challengeeventsummon","Призыв события"
"lottery.title.costumesummon","Призыв костюма"
"lottery.title.covenantsummon","Заветный призыв"
"lottery.title.dailysummon","Ежедневный призыв"
"lottery.title.elementaldragonsummon","Призыв дракона стихии"
"lottery.title.elementalherosummon","Призыв стихии"
"lottery.title.epicdragonsummon","Призыв легендарного дракона"
"lottery.title.epicherosummon","Призыв эпического героя"
"lottery.title.epictroopsummon","Призыв эпического отряда"
"lottery.title.goblinsummon","Призыв гоблинов"
"lottery.title.harvestsummon","Призыв урожая"
"lottery.title.itemsummon","Призыв перерождения"
"lottery.title.leaguesummon","Призыв героев лиги"
"lottery.title.legendarytroopsummon","Призыв легендарных отрядов"
"lottery.title.legendssummon","Призыв Легенд"
"lottery.title.limitbreakitemsummon","Призыв эфира"
"lottery.title.lottery_updated","Призыв обновлен"
"lottery.title.mercenarywarsummon","Призыв 3 королевств"
"lottery.title.mimicsummon","Призыв базара"
"lottery.title.monsterislandsummon","Призыв Острова чудовищ"
"lottery.title.moths","Призыв квеста альянса"
"lottery.title.permanentancientdragonsummon","Призыв древних драконов"
"lottery.title.pickupsummon","Призыв самородков"
"lottery.title.season2","Призыв Атлантиды"
"lottery.title.season3","Призыв Вальхаллы"
"lottery.title.season4","Призыв Бездны"
"lottery.title.season5","Призыв дюн"
"lottery.title.seasonal","Сезонный призыв"
"lottery.title.seasonalpremiumsummon.halloween2025","Кровавый призыв"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","Призыв удачи"
"lottery.title.shadowsummon","Призыв теней"
"lottery.title.silverdragonsummon","Серебряный призыв"
"lottery.title.solsticesummon","Призыв солнцестояния"
"lottery.title.spring","Весенний призыв"
"lottery.title.summon.view.untoldtales","Нерассказанные истории"
"lottery.title.superelementalsummon","Суперпризыв стихии"
"lottery.title.templesummon","Призыв храма"
"lottery.title.titanhuntersummon","Призыв охотника на титанов"
"lottery.title.towereventsummon","Призыв башни"
"lottery.title.towertroopsummon","Призыв отрядов башни"
"lottery.title.untoldtales","Призыв нерассказанных историй"
"lottery.title.untoldtales1","Тайны глубин"
"lottery.title.untoldtales2","Сокровища пламени и мороза"
"lottery.title.wildernesssummon","Дикий призыв"
