"lottery.title.7thbirthday","Födelsedagsåkallelse"
"lottery.title.allianceeventsummon","Alliansäventyrsåkallelse"
"lottery.title.ancientdragonsummon","Uråldrig drakåkellelse"
"lottery.title.ascensionitemsummon","Graderingsåkallelse"
"lottery.title.ascensionsummon","Omedelbar kraft"
"lottery.title.astralelvessummon","Stjärnåkallelse"
"lottery.title.blacksummon","Black Friday-åkallan"
"lottery.title.challengeeventsummon","Evenemangsåkallelse"
"lottery.title.costumesummon","Kläd-
åkallelse"
"lottery.title.covenantsummon","Förbundsåkallelse"
"lottery.title.dailysummon","Daglig åkallelse"
"lottery.title.elementaldragonsummon","Elementdrakåkallelse"
"lottery.title.elementalherosummon","Elementåkallelse"
"lottery.title.epicdragonsummon","Legendarisk drakåkallelse"
"lottery.title.epicherosummon","Episk hjälteåkallelse"
"lottery.title.epictroopsummon","Episk truppåkallelse"
"lottery.title.featuredsummon","Elementåkallelse"
"lottery.title.goblinsummon","Svartalfsåkallning"
"lottery.title.harvestsummon","Skördeåkallelsen"
"lottery.title.itemsummon","Graderingsåkallelse"
"lottery.title.leaguesummon","Hjälteligaåkallelse"
"lottery.title.legendarytroopsummon","Legendarisk truppåkallelse"
"lottery.title.legendssummon","Legendåkallelse"
"lottery.title.limitbreakitemsummon","Eteråkallning"
"lottery.title.lottery_updated","Åkallelsen har uppdaterats"
"lottery.title.mercenarywarsummon","De tre rikena-åkallelse"
"lottery.title.mimicsummon","Härmaråkallelse"
"lottery.title.monsterislandsummon","Monsteröåkallelse"
"lottery.title.moths","Alliansäventyrsåkallelse"
"lottery.title.pickupsummon","Kraftåkallning"
"lottery.title.season2","Atlantisåkallelse"
"lottery.title.season3","Valhallåkallelse"
"lottery.title.season4","Undre vildmarken-åkallelse"
"lottery.title.season5","Dynåkallelse"
"lottery.title.seasonal","Säsongsåkallelse"
"lottery.title.seasonalpremiumsummon","Blodåkallelse"
"lottery.title.shadowsummon","Skuggåkallelse"
"lottery.title.silverdragonsummon","Silveråkallelse"
"lottery.title.solsticesummon","Solståndsåkallelse"
"lottery.title.spring","Våråkallelse"
"lottery.title.summon.view.untoldtales","Osagda sagor"
"lottery.title.superelementalsummon","Superelementåkallelse"
"lottery.title.templesummon","Tempelåkallelse"
"lottery.title.towereventsummon","Tornåkallelse"
"lottery.title.towertroopsummon","Torntruppsåkallelse"
"lottery.title.untoldtales","Osagda sagor-åkallelse"
"lottery.title.untoldtales1","Djupets mysterier"
"lottery.title.untoldtales2","Flammors och frosts skatter"
"lottery.title.wildernesssummon","Vildmarksåkallelse"
