"lottery.title.7thbirthday","生日召喚"
"lottery.title.allianceeventsummon","聯盟任務召喚"
"lottery.title.ancientdragonsummon","遠古巨龍召喚"
"lottery.title.ascensionitemsummon","升等召喚"
"lottery.title.ascensionsummon","即刻力量"
"lottery.title.astralelvessummon","星界召喚"
"lottery.title.blacksummon","黑色星期五召喚"
"lottery.title.challengeeventsummon","活動召喚"
"lottery.title.costumesummon","服裝召喚"
"lottery.title.covenantsummon","聖約召喚"
"lottery.title.dailysummon","每日召喚"
"lottery.title.elementaldragonsummon","元素巨龍召喚"
"lottery.title.elementalherosummon","元素召喚"
"lottery.title.epicdragonsummon","傳奇巨龍召喚"
"lottery.title.epicherosummon","史詩英雄召喚"
"lottery.title.epictroopsummon","史詩部隊召喚"
"lottery.title.featuredsummon","元素召喚"
"lottery.title.goblinsummon","哥布林召喚"
"lottery.title.harvestsummon","豐收召喚"
"lottery.title.itemsummon","升等召喚"
"lottery.title.leaguesummon","英雄聯盟召喚"
"lottery.title.legendarytroopsummon","傳奇部隊召喚"
"lottery.title.legendssummon","傳奇召喚"
"lottery.title.limitbreakitemsummon","乙太召喚"
"lottery.title.lottery_updated","已更新召喚"
"lottery.title.mercenarywarsummon","三國召喚"
"lottery.title.mimicsummon","模仿怪召喚"
"lottery.title.monsterislandsummon","怪獸島召喚"
"lottery.title.moths","聯盟任務召喚"
"lottery.title.pickupsummon","獲得召喚"
"lottery.title.season2","亞特蘭蒂斯召喚"
"lottery.title.season3","瓦爾哈拉召喚"
"lottery.title.season4","地底荒野召喚"
"lottery.title.season5","沙丘召喚"
"lottery.title.seasonal","賽季召喚"
"lottery.title.seasonalpremiumsummon","腥紅召喚"
"lottery.title.shadowsummon","暗影召喚"
"lottery.title.silverdragonsummon","白銀召喚"
"lottery.title.solsticesummon","至日召喚"
"lottery.title.spring","春日召喚"
"lottery.title.summon.view.untoldtales","隱秘傳說"
"lottery.title.superelementalsummon","超級元素召喚"
"lottery.title.towereventsummon","高塔召喚"
"lottery.title.towertroopsummon","高塔部隊召喚"
"lottery.title.untoldtales","隱秘傳說召喚"
"lottery.title.untoldtales1","深淵謎團"
"lottery.title.untoldtales2","火焰與冰霜的寶藏"
"lottery.title.wildernesssummon","野地召喚"
