"lottery.title.7thbirthday","Doğum Günü Çağrısı"
"lottery.title.allianceeventsummon","İttifak Görevi Çağrısı"
"lottery.title.ancientdragonsummon","Kadim Ejderha Çağrısı"
"lottery.title.ascensionitemsummon","Yükseliş Çağrısı"
"lottery.title.ascensionsummon","Anlık Güç"
"lottery.title.astralelvessummon","Astral Çağrı"
"lottery.title.blacksummon","Black Friday Çağrısı"
"lottery.title.challengeeventsummon","Etkinlik Çağrısı"
"lottery.title.costumesummon","Kostüm Çağrısı"
"lottery.title.covenantsummon","Pakt Çağrısı"
"lottery.title.dailysummon","Günlük Çağrı"
"lottery.title.elementaldragonsummon","Elementer Ejderha Çağrısı"
"lottery.title.elementalherosummon","Elementer Çağrısı"
"lottery.title.epicdragonsummon","Efsanevi Ejderha Çağrısı"
"lottery.title.epicherosummon","Epik Kahraman Çağrısı"
"lottery.title.epictroopsummon","Epik Birlik Çağrısı"
"lottery.title.goblinsummon","Goblin Çağrısı"
"lottery.title.harvestsummon","Hasat Çağrısı"
"lottery.title.itemsummon","Yükseliş Çağrısı"
"lottery.title.leaguesummon","Kahraman Ligi Çağrısı"
"lottery.title.legendarytroopsummon","Efsanevi Birlik Çağrısı"
"lottery.title.legendssummon","Efsaneler Çağrısı"
"lottery.title.limitbreakitemsummon","Eter Çağrısı"
"lottery.title.lottery_updated","Çağrı Güncellendi"
"lottery.title.mercenarywarsummon","3 Krallık Çağrısı"
"lottery.title.mimicsummon","Pazar Çağrısı"
"lottery.title.monsterislandsummon","Canavar Adası Çağrısı"
"lottery.title.moths","İttifak Görevi Çağrısı"
"lottery.title.pickupsummon","Alma Çağrısı"
"lottery.title.season2","Atlantis Çağrısı"
"lottery.title.season3","Valhalla Çağrısı"
"lottery.title.season4","Underwild Çağrısı"
"lottery.title.season5","Kum Tepeleri Çağrısı"
"lottery.title.seasonal","Sezon Çağrısı"
"lottery.title.seasonalpremiumsummon","Kan Kırmızısı Çağrı"
"lottery.title.shadowsummon","Gölge Çağrısı"
"lottery.title.silverdragonsummon","Gümüş Çağrı"
"lottery.title.solsticesummon","Gün Dönümü Çağrısı"
"lottery.title.spring","Bahar Çağrısı"
"lottery.title.summon.view.untoldtales","Anlatılmayan Hikayeler"
"lottery.title.superelementalsummon","Süper Elementer Çağrısı"
"lottery.title.templesummon","Tapınak Çağrısı"
"lottery.title.titanhuntersummon","Titan Avcısı Çağrısı"
"lottery.title.towereventsummon","Kule Çağrısı"
"lottery.title.towertroopsummon","Kule Birliği Çağrısı"
"lottery.title.untoldtales","Anlatılmayan Hikayeler Çağrısı"
"lottery.title.untoldtales1","Derinliklerin Gizemleri"
"lottery.title.untoldtales2","Alev ve Ayaz Hazineleri"
"lottery.title.wildernesssummon","Vahşi Doğa Çağrısı"
