"herocard.passive_skill.description.addmana.all.allies","所有盟友获得少量法力。"
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","每次有敌人受到流血伤害，此角色都会获得{POWER}%的法力值。"
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","每当敌人受到流血伤害时，此角色都会恢复{POWER}点生命值。"
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","每次有敌人受到燃烧伤害，此角色都会获得{POWER}%的法力值。"
"herocard.passive_skill.description.bypassfamiliars.minion","此角色造成的所有伤害无视小兵。"
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","此角色造成的所有伤害无视小兵和超级小兵。"
"herocard.passive_skill.description.caststatuseffectdurationmodifier","延长施放状态效果持续时间的几率。"
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0}回合：{1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","如果该角色拥有任意量的飞行动量，则会获得：
最多{MAXMANAGENERATIONMODIFIER}%的法力生成。
最多{MAXDODGEMODIFIER}%的额外闪避几率。
角色拥有的飞行动量越少，效果越弱。"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","飞行动量{CHARGE}%
此角色当前拥有：
{MANAGENERATIONMODIFIER}%法力生成。
{DODGEMODIFIER}%额外闪避几率。"
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","每回合开始时，如果场上的任何一名盟友身上有衰退效果，则获得{POWER}%法力。"
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","每{TURNS}回合，复活所有被击败的盟友，使其拥有{POWER}%的生命值。"
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","每{TURNS}回合，复活附近被击败的盟友，使其拥有{POWER}%的生命值。"
