"herocard.passive_skill.description.addmana.all.allies","Alle Verbündeten erhalten eine geringe Menge Mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Dieser Charakter erhält jedes Mal {POWER} % Mana, wenn ein Gegner Blutungsschaden erleidet."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Dieser Charakter regeneriert jedes Mal {POWER} LP, wenn ein Feind Blutungsschaden erleidet."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Dieser Charakter erhält jedes Mal {POWER} % Mana, wenn ein Gegner Brandschaden erleidet."
"herocard.passive_skill.description.bypassfamiliars.minion","Der gesamte Schaden, der durch diesen Charakter verursacht wird, umgeht Lakaien."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Der gesamte Schaden, der durch diesen Charakter verursacht wird, umgeht Lakaien und Megalakaien."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Chance, die Dauer von gewirkten Statuseffekten zu verlängern."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} Runden: {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Wenn dieser Charakter eine beliebige Menge an Flugmoment besitzt, erhält er:
Bis zu {MAXMANAGENERATIONMODIFIER} % Mana-Erzeugung.
Bis zu {MAXDODGEMODIFIER} % zusätzliche Ausweichchance. 
Die Effekte nehmen ab, je weniger Flugmoment der Charakter hat."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Flugmoment {CHARGE} %
Dieser Charakter hat derzeit:
{MANAGENERATIONMODIFIER} % Mana-Erzeugung.
{DODGEMODIFIER} % zusätzliche Ausweichchance."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Du erhältst {POWER} % Mana zu Beginn jedes Zugs, wenn ein Verbündeter auf dem Schlachtfeld einen aktiven Verwelken-Effekt hat."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Alle {TURNS} Züge werden alle besiegten Verbündeten mit {POWER} % LP wiederbelebt."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Alle {TURNS} Züge werden alle besiegten Verbündeten in der Nähe mit {POWER} % LP wiederbelebt."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Wenn dieser Charakter während eines Kampfes zum ersten Mal einen Zug mit wenig Leben startet, stellt er {HEALTH} % Leben wieder her und erhält {MANA} % Mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Immer wenn dieser Charakter Schaden durch eine negative Statusänderung oder durch einen negativen Stapel erleiden würde, gewinnt er stattdessen dieselbe Menge an Leben zurück."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Immer wenn dieser Charakter Schaden durch eine negative Statusänderung oder durch einen negativen Stapel erleiden würde, gewinnt er stattdessen Leben zurück. Die Menge beträgt dabei {MULTIPLIER} % des Schadens."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % Chance auf kritische Treffer."
"herocard.passive_skill.description.damage.all.enemies","Verursacht {DAMAGE} % Schaden bei allen Gegnern."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Verursacht {DAMAGEPERTURN} Schaden an allen gegnerischen Lakaien und Mega-Lakaien alle {TURNS} Runden."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Verursacht {DAMAGEPERTURN} Schaden an allen gegnerischen Lakaien und Mega-Lakaien zu Beginn einer Runde."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Verursacht {DAMAGEPERTURN} Schaden an allen gegnerischen Lakaien und Mega-Lakaien zu Beginn einer Runde."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Der gesamte Schaden, den dieser Charakter durch Angriffe und Spezialfähigkeiten verursacht, ist um {DAMAGEINCREASEPERSTEP} % pro {INSANITYPERSTEP} Wahnsinn auf diesem Charakter erhöht, bis zu {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","Der ganze Schaden, den dieser Charakter mit normalen Angriffen und Spezialfähigkeiten verursacht, wird um {MODIFIER} % pro Blutlilien-Stapel auf dem Ziel erhöht."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Wenn Verbündete Tanzen, verursacht die Spezialfähigkeit dieses Charakters {MODIFIERCHANGE} % mehr Schaden."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Die Truppen dieses Charakters verursachen zusätzlichen Schaden gegen das schwächere Element.

Zusätzlicher verursachter Schaden: +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","Schaden durch negative Statusänderungen und negative Stapel wird um {DAMAGEREDUCTION} % verringert"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Schaden durch negative Statusänderungen und negative Stapel wird für diesen Charakter verringert um {DAMAGEREDUCTION} %."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Beim Konstruktkern dieses Charakters handelt es sich um einen Zerstörungskern.

Der Zerstörungskern wird immer aktiviert, wenn die Spezialfähigkeit des Charakters aktiviert wird:

 Ein vollständig aufgeladener Zerstörungskern fügt allen Gegnern {CHARGEDPOWER1} % Schaden zu.
 Der Schaden richtet sich nach der Aufladung im Kern. Die ganze Aufladung wird verbraucht, wenn der Kern aktiviert wird."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Die negativen Statusänderungen des Charakters werden aufgehoben, wenn ein Lakai in seinem Besitz zerstört wird."
"herocard.passive_skill.description.dodgespecialdamage","Dieser Charakter hat eine Chance von {CHANCE} %, Spezialfähigkeiten, die Schaden zufügen, auszuweichen."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Wenn dieser Charakter seine Spezialfähigkeit wirkt, werden alle seine Feinde zerstört."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Frisst alle {TURNS} Runden alle Schergen eines zufälligen Gegners und erhält eine kleine Menge Mana für jeden gefressenen Schergen."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Wenn dieser Charakter mit seiner Spezialfähigkeit einen kritischen Treffer erzielt, befreit er garantiert alle Verbündeten von der neusten säuberbaren negativen Statusänderung. Dieser Effekt kann einmal pro Runde aktiviert werden."
