"herocard.passive_skill.description.addmana.all.allies","All allies gain a small amount of mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","This character receives {POWER}% mana each time an enemy receives Bleed damage."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","This character regenerates {POWER} HP each time an enemy receives Bleed damage."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","This character gains {POWER}% mana each time an enemy receives Burn damage."
"herocard.passive_skill.description.bypassfamiliars.minion","All damage done by this character bypasses Minions."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","All damage done by this character bypasses Minions and Mega Minions."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Chance to increase the duration of cast status effects."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} turns: {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","If this character has any amount of Flight Momentum, they receive:
Up to {MAXMANAGENERATIONMODIFIER}% mana generation.
Up to {MAXDODGEMODIFIER}% extra chance to dodge. 
The effects diminish the less  Flight Momentum character has."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Flight Momentum {CHARGE}%
This character currently has:
{MANAGENERATIONMODIFIER}% mana generation.
{DODGEMODIFIER}% extra chance to dodge."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Gain {POWER}% mana at the start of each turn if any ally on the battlefield has an active Wither effect."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Every {TURNS} turns, revives all defeated allies with {POWER}% HP."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Every {TURNS} turns, revives defeated nearby allies with {POWER}% HP."
