"herocard.passive_skill.description.addmana.all.allies","Todos los aliados obtienen una pequeña cantidad de maná."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Este personaje recibe un {POWER} % de maná cada vez que el enemigo recibe daño de sangrado."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Este personaje regenera {POWER} de VIT cada vez que el enemigo recibe daño de sangrado."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Este personaje obtiene un {POWER} % de maná cada vez que el enemigo recibe daño de quemadura."
"herocard.passive_skill.description.bypassfamiliars.minion","Todo el daño que inflige este personaje ignora a los secuaces."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Todo el daño que inflige este personaje ignora a los secuaces y megasecuaces."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Probabilidad de aumentar la duración de los efectos de estado aplicados."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} turnos: {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Si este personaje tiene cualquier cantidad de ímpetu de vuelo, recibe:
 Hasta un {MAXMANAGENERATIONMODIFIER} % de regeneración de maná.
 Hasta un {MAXDODGEMODIFIER} % de probabilidad de esquivar adicional.
 Los efectos disminuyen cuanto menos ímpetu de vuelo tenga el personaje."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Ímpetu de vuelo al {CHARGE} %
Ahora mismo, este personaje tiene:
 {MANAGENERATIONMODIFIER} % de regeneración de maná.
 {DODGEMODIFIER} % de probabilidad de esquivar adicional."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Obtiene un {POWER} % de maná al comienzo de cada turno si algún aliado que esté en el campo de batalla tiene un efecto de merma activo."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Cada {TURNS} turnos, resucita a todos los aliados derrotados con un {POWER} % de VIT."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Cada {TURNS} turnos, resucita a los aliados cercanos derrotados con un {POWER} % de VIT."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","La primera vez que este personaje comience un turno con poca vitalidad, recupera un {HEALTH} % de vitalidad y recibe un {MANA} % de maná."
