"herocard.passive_skill.description.addmana.all.allies","Tous les alliés reçoivent une petite quantité de mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Ce personnage reçoit {POWER} % de mana à chaque fois qu'un ennemi subit des dégâts de saignement."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Ce personnage récupère {POWER} PV à chaque fois qu'un ennemi subit des dégâts de saignement."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Ce personnage reçoit {POWER} % de mana chaque fois qu'un ennemi subit des dégâts de brûlure."
"herocard.passive_skill.description.bypassfamiliars.minion","Tous les dégâts de ce personnage contournent les sbires."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Tous les dégâts de ce personnage contournent les sbires et les méga sbires."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Chance de prolonger les effets."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} tours : {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Si ce personnage a de l'élan aérien, il reçoit :
Jusqu'à {MAXMANAGENERATIONMODIFIER} % de génération de mana.
Jusqu'à {MAXDODGEMODIFIER} % de chances supplémentaires d'esquiver.
Ces effets diminuent avec l'élan aérien du personnage."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","{CHARGE} % d'élan aérien
Ce personnage bénéficie actuellement de :
{MANAGENERATIONMODIFIER} % de génération de mana.
{DODGEMODIFIER} % de chances supplémentaires d'esquiver."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Au début de chaque tour, octroie {POWER} % de mana si un allié est en train de subir un effet de flétrissement."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Tous les {TURNS} tours, ressuscite tous les alliés vaincus avec {POWER} % de PV."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Tous les {TURNS} tours, ressuscite les alliés proches vaincus avec {POWER} % de PV."
