"herocard.passive_skill.description.addmana.all.allies","Tutti gli alleati guadagnano una piccola quantità di mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Questo personaggio riceve il {POWER}% di mana ogni volta che un nemico subisce danni da sanguinamento."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Questo personaggio rigenera {POWER} HP ogni volta che un nemico subisce danni da sanguinamento."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Questo personaggio guadagna il {POWER}% di mana ogni volta che un nemico subisce danni da ustione."
"herocard.passive_skill.description.bypassfamiliars.minion","Tutti i danni inflitti da questo personaggio superano i servitori."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Tutti i danni inflitti da questo personaggio superano i servitori e i servitori Mega."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Probabilità di aumentare la durata degli effetti di stato lanciati."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} turni: {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Se questo personaggio ha una qualsiasi quantità di Spinta volante, riceve:
 Fino a un {MAXMANAGENERATIONMODIFIER}% di rigenerazione mana.
 Fino a un {MAXDODGEMODIFIER}% di probabilità extra di Schivata.
 Gli effetti diminuiscono con il calare della quantità di Spinta volante di cui il personaggio dispone."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","{CHARGE}% di Spinta volante
Questo personaggio ha attualmente:
{MANAGENERATIONMODIFIER}% di generazione mana.
{DODGEMODIFIER}% di probabilità di schivare extra."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Ottieni il {POWER}% di mana all'inizio di ogni turno se un alleato sul campo di battaglia ha un effetto di Avvizzimento attivo."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Ogni {TURNS} turni, rianima tutti gli alleati sconfitti con il {POWER}% di HP."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Ogni {TURNS} turni, rianima gli alleati vicini sconfitti con il {POWER}% di HP."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Quando questo personaggio inizia un turno con la Salute bassa per la prima volta durante una battaglia, recupera il {HEALTH}% di Salute e riceve il {MANA}% di mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Ogni volta che questo personaggio avrebbe dovuto subire danni da un disturbo, recupera invece la stessa quantità di Salute."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Ogni volta che questo personaggio avrebbe dovuto subire danni da un disturbo, recupera invece Salute. La quantità di guarigione è il {MULTIPLIER}% dei danni."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}% di possibilità critica."
"herocard.passive_skill.description.damage.all.enemies","Infligge il {DAMAGE}% di danni a tutti i nemici."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Infligge {DAMAGEPERTURN} danni a tutti i servitori e servitori Mega nemici ogni {TURNS} turni."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Infligge {DAMAGEPERTURN} danni a tutti i servitori e servitori Mega nemici all'inizio di ogni turno."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Infligge {DAMAGEPERTURN} danni a tutti i servitori e servitori Mega nemici all'inizio di ogni turno."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Tutti i danni degli attacchi normali e delle Abilità speciali inflitti da questo personaggio aumentano di un {DAMAGEINCREASEPERSTEP}% per {INSANITYPERSTEP} Follia di questo personaggio fino a un {MAXDAMAGEINCREASE}%."
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","Tutti i danni inflitti dagli attacchi normali e dalle Abilità speciali di questo personaggio aumentano del {MODIFIER}% per ogni accumulo di Giglio di sangue sul bersaglio."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Le truppe di questo Eroe infliggono danni elementali extra contro l'elemento più debole.

 Danni elementali extra inflitti: +{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","Danni causati dai disturbi ridotti del {DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","I danni inflitti dai disturbi si riducono del {DAMAGEREDUCTION}% per questo personaggio."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Il Nucleo costrutto di questo personaggio è un Nucleo distruttivo.

Il Nucleo distruttivo si attiva ogni volta che viene lanciata l'Abilità speciale di questo personaggio:

 Con un Nucleo distruttivo completamente carico, infligge il {CHARGEDPOWER1}% di danni a tutti i nemici. 
 I danni sono proporzionali alla quantità di carica del nucleo. Tutta la carica si esaurisce quando il nucleo viene attivato."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","I disturbi di questo personaggio vengono rimossi quando un suo servitore viene distrutto."
"herocard.passive_skill.description.dodgespecialdamage","Questo personaggio ha il {CHANCE}% di probabilità di schivare le Abilità speciali che infliggono danni."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Quando questo personaggio lancia la sua Abilità speciale, tutti i suoi demoni vengono distrutti."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Ogni {TURNS} turni, mangia tutti i servitori di un nemico casuale e guadagna una piccola quantità di mana per ogni servitore mangiato."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Quando questo personaggio realizza un colpo critico con la sua Abilità speciale, annulla l'ultimo disturbo annullabile da tutti gli alleati. Questo effetto può essere attivato una volta per turno."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Quando questo personaggio realizza un colpo critico con la sua Abilità speciale, aumenta del {HEALTHBOOST}% la Salute di tutti i suoi alleati. Questo effetto può essere attivato una volta per turno."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," Quando l'Abilità speciale di questo personaggio colpisce un personaggio che ha più HP attuali, ottiene il {PASSIVESKILL1HEALTHBOOST}% di Salute potenziata.
 Quando questo personaggio viene colpito dall'Abilità speciale di un personaggio che dispone di più HP, ottiene il {PASSIVESKILL2POWER}% di mana.
 Ognuno di questi effetti può essere attivato una volta per turno."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Quando questo personaggio subisce danni da Abilità speciali, riceve il {POWER}% di mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies"," Quando questo personaggio subisce danni diretti da Abilità speciali o attacchi normali, riceve una piccola quantità di mana.
 Massimo {MAXMANAGAINPERTURN}% di mana ottenuto a ogni turno."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Quando questo personaggio subisce danni da Abilità speciali o al posto di un personaggio in Copertura, c'è il {CHANCE}% di probabilità che infligga il {POWER}% dei danni subiti a tutti i nemici."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Quando questo personaggio subisce danni da Abilità speciali, ottiene un'Iterazione di attacco di un {STATUSEFFECT1ATTACK}% (max: {STATUSEFFECT1MAXSTACK}). È possibile ottenere un'iterazione per turno."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Quando questo personaggio subisce danni da Abilità speciali, ottiene un'Iterazione di attacco di un {STATUSEFFECT1ATTACK}% (max: {STATUSEFFECT1MAXSTACK}). È possibile ottenere un'iterazione per turno."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Quando un alleato tenta un annullamento usando Abilità speciali, tutti gli alleati ricevono {POWER} di Salute potenziata. L'effetto può essere attivato solo una volta per turno."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Quando un nemico tenta un annullamento usando Abilità speciali, tutti i nemici subiscono {POWER} danni. L'effetto può essere attivato solo una volta per turno."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Questo personaggio riceve il {POWER}% di mana ogni volta che una sua magia benefica viene annullata. L'effetto può essere attivato solo una volta per turno."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Questo personaggio riceve il {POWER}% di Salute ogni volta che un disturbo scade o viene rimosso, eliminato o riassegnato. L'effetto può essere attivato solo una volta per turno."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Questo personaggio ha il {CHANCE}% di probabilità di ricevere il {POWER}% di Salute ogni volta che un disturbo scade o viene rimosso, eliminato o riassegnato. L'effetto può essere attivato solo una volta per turno."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Questo personaggio riceve {POWER} di Salute potenziata ogni volta che una sua magia benefica viene annullata. L'effetto può essere attivato solo una volta per turno."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Ogni colpo dei servitori posseduti dal personaggio infligge {DAMAGE} danni da gelo nel corso di {TURNS} turni"
"herocard.passive_skill.description.effectonheal.addmana","Questo personaggio riceve il {POWER}% di mana ogni volta che recupera Salute."
"herocard.passive_skill.description.effectonheal.heal","Questo personaggio riceve il {POWER}% di Salute ogni volta che la sua salute viene recuperata."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Questo personaggio riceve il {POWER}% di Salute ogni volta che la sua salute viene recuperata."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Questo personaggio ottiene il {HEALTHBOOST}% di Salute potenziata e il {MANA}% di mana quando riesce a resistere."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Questo personaggio ottiene un {POWER}% di mana ogni volta che un nemico lancia un'Abilità speciale che aumenta direttamente la Salute."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Questo personaggio ottiene {POWER} di Salute potenziata ogni volta che un nemico lancia un'Abilità speciale che aumenta direttamente la Salute."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE}% di probabilità di eseguire le seguenti azioni quando questo personaggio lancia la sua Abilità speciale:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Quando questo personaggio realizza un colpo critico con l'Abilità speciale, annulla l'ultimo disturbo annullabile da tutti gli alleati."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Quando questo personaggio realizza un colpo critico con la sua Abilità speciale, aumenta del {HEALTHBOOST}% la Salute di tutti i suoi alleati."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Quando questo personaggio realizza un colpo critico con la sua Abilità speciale, aumenta del {HEALTHBOOST}% la Salute di tutti i suoi alleati."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Quando un nemico lancia la sua Abilità speciale, questo personaggio ha una probabilità del {CHANCE}% di aumentare di {HEALTHBOOST} la sua Salute."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di dare il {POWER}% di mana a tutti gli alleati. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di dare il {POWER}% di mana a tutti gli alleati che non appartengono all'elemento Ghiaccio. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Quando questo personaggio lancia la sua Abilità speciale, annulla la più recente magia benefica degli effetti di stato da tutti i nemici."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Quando questo personaggio lancia la sua Abilità speciale, rimuove il più recente disturbo da tutti gli alleati."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di infliggere il {POWER}% di danni a tutti i nemici. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di infliggere il {POWER}% di danni a tutti i nemici che non appartengono all'elemento Oscurità. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di infliggere il {POWER}% di danni a tutti i nemici che non appartengono all'elemento Fuoco. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di far recuperare il {POWER}% di Salute a tutti gli alleati. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di far recuperare il {POWER}% di Salute a tutti gli alleati che non appartengono all'elemento Natura. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di far recuperare il {POWER}% di Salute a tutti gli alleati che non appartengono all'elemento Fuoco. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Quando questo personaggio lancia la sua Abilità speciale, ha una probabilità del {CHANCE}% di far recuperare il {POWER}% di Salute a tutti gli alleati che non appartengono all'elemento Sacro. Se l'Abilità speciale è completamente carica, la probabilità è del {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Quando questo personaggio lancia la sua Abilità speciale, aumenta del {POWER}% la Salute di tutti i suoi alleati."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Se un nemico con velocità mana media o superiore lancia un'Abilità speciale, tutti i nemici subiscono {DAMAGE} danni. L'effetto può essere attivato una sola volta per turno."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Ogni volta che un nemico riceve un effetto di stato Deridi, il mana di questo personaggio aumenta del {POWER}%."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Questo personaggio ottiene il {POWER}% di mana quando un nemico riceve una magia benefica degli effetti di stato che influisce sulla Difesa. L'effetto può essere attivato solo una volta per turno."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Questo personaggio ottiene il {POWER}% di mana quando riceve una magia benefica o un'iterazione positiva."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Questo personaggio ottiene il {POWER}% di mana quando subisce un disturbo o un'iterazione negativa."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Questo personaggio recupera il {POWER}% di Salute quando riceve una magia benefica o un'iterazione positiva."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Questo personaggio recupera il {POWER}% di Salute quando subisce un disturbo o un'iterazione negativa."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Questo personaggio recupera {POWER} HP quando subisce un disturbo o un'iterazione negativa."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Questo personaggio ottiene il {CHANCE}% di probabilità di guadagnare il {POWER}% di mana quando riceve una magia benefica o un'iterazione positiva."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Questo personaggio ha il {CHANCE}% di probabilità di recuperare il {POWER}% di Salute quando riceve una magia benefica o un'iterazione positiva."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Questo personaggio ottiene il {CHANCE}% di probabilità di recuperare il {POWER}% di Salute quando riceve una magia benefica o un'iterazione positiva."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Ogni {TURNS} turni, rianima gli alleati vicini sconfitti con il {POWER}% di HP."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Guadagna una piccola quantità di mana per ogni magia benefica attiva che conferisce effetti di stato che la squadra nemica ha all'inizio di ogni turno (massimo {MAXSTATUSEFFECTCOUNT} magie benefiche)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Aumenta del {INCREMENTPERSTATUSEFFECT1}% la Salute di questo personaggio e degli alleati vicini per ogni nemico colpito con il veleno all'inizio di ogni turno. La Salute potenziata può superare gli HP massimi."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Quando un servitore viene evocato su un alleato, questo personaggio guadagna il {POWER}% di mana. Questo effetto può attivarsi solo una volta per turno."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Quando un servitore viene evocato su un qualsiasi alleato, questo personaggio guadagna il {HEALTH}% di Salute e il {MANA}% di mana. Questo effetto può attivarsi solo una volta per turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Quando un demone viene evocato su un qualsiasi nemico, questo personaggio guadagna il {POWER}% di mana. Questo effetto può attivarsi solo una volta per turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Quando un demone viene evocato su un qualsiasi nemico, questo personaggio infligge il {DAMAGE}% di danni a tutti i nemici. Questo effetto può attivarsi solo una volta per turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Quando un demone viene evocato su un qualsiasi nemico, questo personaggio guadagna {POWER} di Salute potenziata. Questo effetto può attivarsi solo una volta per turno."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE}% di probabilità di eseguire i seguenti extra quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion"," Tutti i servitori dei nemici hanno il {MINIONMODIFIER}% di precisione.
 Tutti i servitori Mega dei nemici hanno il {MEGAMINIONMODIFIER}% di precisione."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Il Nucleo costrutto di questo personaggio è un Nucleo servitore.

Il Nucleo servitore si attiva ogni volta che viene utilizzata l'Abilità speciale di questo personaggio:

 Con un Nucleo servitore completamente carico, chiama un servitore Killer Bot con {FAMILIARHEALTHPERCENT}% HP e {FAMILIARATTACK}% di attacco ereditati dall'alleato su tutti gli alleati.
 Gli HP e l'attacco ereditati dall'evocatore sono scalati dalla quantità di carica del Nucleo. Tutta la carica si esaurisce quando il Nucleo viene attivato.
 Prima che il servitore Killer Bot colpisca un bersaglio, distrugge tutti i servitori del bersaglio e danneggia i servitori Mega."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","I servitori Mega nemici hanno il {HEALTHMODIFIER}% di HP."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","I servitori nemici hanno il {HEALTHMODIFIER}% di HP."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","I servitori Mega nemici non possono attaccare né usare abilità."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","I servitori nemici non possono attaccare né usare abilità."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Questo personaggio guadagna il {POWER}% di mana ogni volta che un nemico subisce danni da gelo."
"herocard.passive_skill.description.growth","L'Attacco di base e la Difesa di base di questo Eroe aumentano di {STATINCREASE} a ogni turno per {MAXACTIVATIONCOUNT} turni."
"herocard.passive_skill.description.guaranteedeffectonspecial","Quando questo personaggio lancia la sua Abilità speciale, l'attivazione di tutte le sue abilità passive che conferiscono effetti extra al lancio è garantita."
"herocard.passive_skill.description.heal.all.allies","Fa recuperare il {HEALTH}% di Salute a tutti gli alleati."
"herocard.passive_skill.description.healmodifier","Aumento del {HEALMULTIPLIER}% per ogni guarigione ricevuta."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Tutti i nemici ricevono il {HEALMULTIPLIER}% di guarigione."
"herocard.passive_skill.description.healmodifier.decrease","Riduzione del {HEALMULTIPLIER}% per ogni guarigione ricevuta."
"herocard.passive_skill.description.healonheal.can_stack.heal","Questo personaggio riceve il {POWER}% di Salute ogni volta che la sua salute viene recuperata."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Questo personaggio recupera {HEALTH} Salute quando un suo servitore viene distrutto."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Questo personaggio recupera {HEALTH} Salute potenziata quando un servitore che possiede viene distrutto."
"herocard.passive_skill.description.healthboost.all.allies","Aumenta del {HEALTHBOOST}% la Salute di tutti gli alleati. La Salute potenziata può superare gli HP massimi."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","All'inizio di ogni battaglia, l'attacco di questo personaggio viene aumentato del {ATTACK}% per ogni nemico che non è dell'elemento Natura. Nelle battaglie con più ondate, questo effetto si rinnova all'inizio di ciascuna ondata."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","L'attacco di questo personaggio viene aumentato del {ATTACK}% per ogni nemico vivo che non è dell'elemento Natura. L'effetto si rinnova all'inizio di ogni ondata. (Attualmente: {CURRENTMODIFIER}%)"
