"herocard.passive_skill.description.addmana.all.allies","仲間全員のマナが少量増加する。"
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","このキャラクターのマナは、敵が出血ダメージを受けるたびに{POWER}%増加する。"
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","このキャラクターのHPは、敵が出血ダメージを受けるたびに{POWER}回復する。"
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","このキャラクターのマナは、敵が燃焼ダメージを受けるたびに{POWER}%増加する"
"herocard.passive_skill.description.bypassfamiliars.minion","このキャラクターによって与えられる全ダメージがミニオンを貫通する。"
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","このキャラクターの与える全ダメージがミニオンとメガミニオンを貫通する。"
"herocard.passive_skill.description.caststatuseffectdurationmodifier","ステータス効果の持続時間が延長される確率が上昇。"
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0}ターン: {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","このキャラクターの飛行推進力が残っている場合、以下を獲得する：
最大{MAXMANAGENERATIONMODIFIER}%のマナ生成。
最大+{MAXDODGEMODIFIER}%の回避確率。
この効果はキャラクターの飛行推進力が少なくなると減少してゆく。"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","飛行推進力{CHARGE}%
このキャラクターは現在以下を保有する：
{MANAGENERATIONMODIFIER}%のマナ生成。
{DODGEMODIFIER}%の追加回避力。"
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","戦場にいる仲間のいずれかに「弱化」効果が付与されている場合、各ターン開始時に{POWER}%のマナを獲得する。"
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","{TURNS}ターン毎に、倒れた仲間全員がHPの{POWER}%を保有した状態で復活する。"
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","{TURNS}ターン毎に、倒れた近くにいる仲間がHPの{POWER}%を保有した状態で復活する。"
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","このキャラクターがバトル中にライフが低い状態で初めてターンを開始した場合、このキャラクターのライフが{HEALTH}%回復し、マナが{MANA}%増加する。"
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","このキャラクターがステータス異常によってダメージを受けるたびに、それと同じだけのライフを回復する。"
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","このキャラクターがステータス異常によってダメージを受けるたびにライフを回復する。回復量はダメージの{MULTIPLIER}%。"
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","クリティカル攻撃を与える確率が{CRITICALMODIFIER}%になる。"
"herocard.passive_skill.description.damage.all.enemies","敵全員に{DAMAGE}%のダメージを与える。"
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","{TURNS}ターン毎に、{DAMAGEPERTURN}ダメージを敵の全てのミニオンとメガミニオンに与える。"
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","各ターン開始時に、{DAMAGEPERTURN}ダメージを敵の全てのミニオンとメガミニオンに与える。"
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","各ターン開始時に、{DAMAGEPERTURN}ダメージを敵の全てのミニオンとメガミニオンに与える。"
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","このキャラクターによる通常攻撃と特殊スキルのあらゆるダメージが、このキャラクターに付与された{INSANITYPERSTEP}狂気につき、{DAMAGEINCREASEPERSTEP}%上昇する。最大{MAXDAMAGEINCREASE}%まで。"
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","ターゲットに対する血の百合の累積1つごとに、このキャラクターによる通常攻撃と特殊スキルの全ダメージが{MODIFIER}%増加する。"
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","この英雄の兵団が自分よりも弱い属性の敵に与える属性ダメージが増加する。

追加の与属性ダメージ：+{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","ステータス異常によって受けるダメージが{DAMAGEREDUCTION}%になる"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","このキャラクターがステータス異常によって受けるダメージが{DAMAGEREDUCTION}%になる。"
