"herocard.passive_skill.description.addmana.all.allies","Alle allierte får en liten mengde mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Denne figuren mottar {POWER} % mana hver gang en fiende tar blødeskade."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Denne figuren regenererer {POWER} helse hver gang en fiende tar blødeskade."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Denne figuren får {POWER} % mana hver gang en fiende tar brannskade."
"herocard.passive_skill.description.bypassfamiliars.minion","All skade gjort av denne figuren forbigår undersåtter."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","All skade gjort av denne figuren forbigår undersåtter og megaundersåtter."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Sjanse til å øke varigheten til brukte statuseffekter."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} runder: {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Hvis denne figuren har noe flymomentum, mottar den:
Opptil {MAXMANAGENERATIONMODIFIER} % mana-generering.
Opptil {MAXDODGEMODIFIER} % ekstra sjanse til å unnvike. 
Effekten minsker jo mindre flymomentum figuren har."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Flymomentum {CHARGE} %
Denne figuren har for øyeblikket:
{MANAGENERATIONMODIFIER} % mana-generering.
{DODGEMODIFIER} % ekstra sjanse til å unnvike."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Få {POWER} % mana ved starten av hver runde hvis en alliert på slagmarken har en aktiv visne-effekt."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Hver {TURNS}. tur gjenopplives alle beseirede allierte med {POWER} % HP."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Hver {TURNS}. tur gjenopplives beseirede allierte i nærheten med {POWER} % HP."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Når denne figuren starter en runde med lite helse for første gang i løpet av en kamp, vil de få tilbake {HEALTH} % helse og få {MANA} % mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Når denne figuren tar skade fra en statuslidelse eller fra en negativ stabel, får den tilbake like mye helse i stedet."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Når denne figuren tar skade fra en statuslidelse eller en negativ stabel, får den tilbake like mye helse i stedet. Den helbredede mengden er {MULTIPLIER} % av skaden."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % fulltreffersjanse."
"herocard.passive_skill.description.damage.all.enemies","Påfører {DAMAGE} % skade på alle fiender."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Påfører {DAMAGEPERTURN} skade mot alle fiendtlige undersåtter og megaundersåtter hver {TURNS}. runde."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Påfører {DAMAGEPERTURN} skade mot alle fiendtlige undersåtter og megaundersåtter ved starten av hver runde."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Påfører {DAMAGEPERTURN} skade mot alle fiendtlige undersåtter og megaundersåtter ved starten av hver runde."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","All skade fra vanlige angrep og spesialangrep som er utført av denne figuren, økes med {DAMAGEINCREASEPERSTEP} % per {INSANITYPERSTEP} galskap på denne figuren, opptil {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","All skade fra vanlige angrep og spesialferdigheter påført av denne figuren økes med {MODIFIER} % per blodlilje-stabel på målet."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Hvis noen allierte danser, gjør denne figurens spesialferdighet {MODIFIERCHANGE} % mer skade."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Denne figurens tropper påfører ekstra skade mot det svakere elementet.

Ekstra skade påført: +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","Skade forårsaket av statustilstander og negative stabler redusert med {DAMAGEREDUCTION} %"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Skade forårsaket av statustilstander og negative stabler redusert med {DAMAGEREDUCTION} % for denne figuren."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Konstruktørkjernen til denne figuren er en ødeleggelseskjerne.

Ødeleggelseskjernen aktiveres hver gang figurens spesialferdighet brukes:

 Med en fulladet ødeleggelseskjerne gjøres det {CHARGEDPOWER1} % skade på alle fiender. 
 Skaden skaleres med ladningen i kjernen. All ladning brukes når kjernen aktiveres."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Denne figurens statuslidelser blir fjernet når en undersått som den eier, blir ødelagt."
"herocard.passive_skill.description.dodgespecialdamage","Denne figuren har en {CHANCE} % sjanse til å unnvike spesialferdigheter som gjør skade."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Når denne figuren bruker spesialferdigheten sin, ødelegges alle djevler de har."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Hver {TURNS}. runde spises alle undersåtter fra en tilfeldig fiende og får en liten mengde mana for hver spiste undersått."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Når denne figuren får et kritisk treff med spesialferdigheten, renser figuren den siste rensbare statuslidelsen fra alle allierte. Denne effekten kan aktiveres én gang per runde."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Når denne figuren får et kritisk treff med spesialferdigheten sin, øker den helsen til alle sine allierte med {HEALTHBOOST} %. Denne effekten kan aktiveres én gang per runde."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn","Når denne figurens spesialferdighet treffer en figur som hadde høyere nåværende HP, får du {PASSIVESKILL1HEALTHBOOST} % økt helse.
 Når denne figuren treffes av spesialferdigheten fra en figur som hadde høyere nåværende HP, får du {PASSIVESKILL2POWER} % mana.
Hver av disse effektene kan aktiveres én gang per runde."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Når denne figuren tar skade fra spesialferdigheter, får den {POWER} % med mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Når denne figuren tar direkte skade fra spesialferdigheter eller vanlige angrep, får den en liten mengde mana.
  Maksimalt {MAXMANAGAINPERTURN} % mana per tur."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Når denne figuren tar skade fra spesialferdigheter eller i stedet for en figur når dekke, er det en {CHANCE} % sjanse for å påføre {POWER} % av den tatte skaden til alle fiender."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Når denne figuren tar skade fra spesialferdigheter, får de {STATUSEFFECT1ATTACK} % angrep Stabel (maksimalt: {STATUSEFFECT1MAXSTACK}). Én stabel kan fås per tur."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Når denne figuren tar skade fra spesialferdigheter, får den {STATUSEFFECT1ATTACK} % angrep Stabel (maksimalt: {STATUSEFFECT1MAXSTACK}). Én stabel kan fås per tur."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Når en alliert prøver å rense med en spesialferdighet, mottar alle allierte {POWER} økt helse. Denne effekten kan kun aktiveres én gang per runde."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Når en fiende prøver å rense med en spesialferdighet, mottar alle fiender {POWER} skade. Denne effekten kan kun aktiveres én gang per runde."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Denne figuren mottar {POWER} % mana hver gang en økning fjernes fra dem. Denne effekten kan kun aktiveres én gang per runde."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Denne figuren får {POWER} % helse hver gang en statuslidelse utløper eller renses, fjernes eller flyttes fra dem. Denne effekten kan kun aktiveres én gang per runde."
