"herocard.passive_skill.description.addmana.all.allies","Wszyscy sojusznicy zyskują małą ilość many."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Ta postać otrzymuje {POWER}% many za każdym razem, gdy wróg otrzyma obrażenia od krwawienia."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Ta postać regeneruje {POWER} PŻ za każdym razem, gdy wróg otrzyma obrażenia od krwawienia."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Ta postać zyskuje {POWER}% many za każdym razem, gdy wróg otrzyma obrażenia od poparzeń."
"herocard.passive_skill.description.bypassfamiliars.minion","Wszystkie obrażenia zadawane przez tę jednostkę omijają pomocników."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","Wszystkie obrażenia zadawane przez tę jednostkę omijają pomocników i mega pomocników."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Szanse na wydłużenie czasu trwania rzuconych efektów ze statusu."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} tur(y): {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Jeśli ta postać ma dowolną ilość pędu lotu, otrzymuje:
Maksymalnie {MAXMANAGENERATIONMODIFIER}% regeneracji many.
Maksymalnie {MAXDODGEMODIFIER}% dodatkowych szans na unik. 
Efekty są tym słabsze, im mniej pędu lotu ma postać."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Pęd lotu {CHARGE}%
Ta postać ma obecnie:
{MANAGENERATIONMODIFIER}% regeneracji many.
{DODGEMODIFIER}% dodatkowych szans na unik."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Zyskuje {POWER}% many na początku każdej tury, jeśli sojusznik na polu bitwy ma aktywny efekt suszy."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Co {TURNS} tur(y) wskrzesza wszystkich pokonanych sojuszników z {POWER}% PŻ."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Co {TURNS} tur(y) wskrzesza pobliskich pokonanych sojuszników z {POWER}% PŻ."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Gdy ta postać pierwszy raz podczas bitwy rozpocznie turę z niskim poziomem zdrowia, odzyskuje {HEALTH}% zdrowia i otrzymuje {MANA}% many."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Za każdym razem, gdy ta postać ma otrzymać obrażenia od dolegliwości ze statusu lub od kumulacji negatywnej, zamiast tego odzyska zdrowie o wartości tych obrażeń."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Za każdym razem, gdy ta postać ma otrzymać obrażenia od dolegliwości ze statusu lub od kumulacji negatywnej, zamiast tego odzyska zdrowie o wartości tych obrażeń. Wartość leczenia wynosi {MULTIPLIER}% obrażeń."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}% szans na trafienie krytyczne."
"herocard.passive_skill.description.damage.all.enemies","Zadaje {DAMAGE}% obrażeń wszystkim przeciwnikom."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Zadaje {DAMAGEPERTURN} pkt. obrażeń wszystkim wrogim pomocnikom i mega pomocnikom co {TURNS} tur(y)."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Zadaje {DAMAGEPERTURN} pkt. obrażeń wszystkim wrogim pomocnikom i mega pomocnikom na początku każdej tury."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Zadaje {DAMAGEPERTURN} pkt. obrażeń wszystkim wrogim pomocnikom i mega pomocnikom na początku każdej tury."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Wszystkie obrażenia zadawane normalnymi atakami i umiejętnościami specjalnymi przez tę postać są zwiększone o {DAMAGEINCREASEPERSTEP}% za każde {INSANITYPERSTEP} pkt. obłędu na tej postaci, maksymalnie do {MAXDAMAGEINCREASE}%."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","Wszystkie obrażenia od zwykłych ataków i umiejętności specjalnych zadane przez tą postać są zwiększone o {MODIFIER}% za każdą kumulację krwawej lilii na celu."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Jeżeli dowolny sojusznik tańczy, umiejętność specjalna tej postaci zadaje o {MODIFIERCHANGE}% więcej obrażeń."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Oddziały tej postaci zadają zwiększone obrażenia przeciwko słabszemu żywiołowi.

Obrażenia dodatkowe: +{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","Obrażenia powodowane przez dolegliwości ze statusu i kumulacje negatywne są zredukowane o {DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Obrażenia powodowane przez dolegliwości ze statusu i kumulacje negatywne są zredukowane o {DAMAGEREDUCTION}% dla tej postaci."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Rdzeń konstruktu tej postaci to Rdzeń zniszczenia.

 Rdzeń zniszczenia aktywuje się za każdym razem, gdy postać rzuca umiejętność specjalną:

 W pełni naładowany Rdzeń zniszczenia, zadaje {CHARGEDPOWER1}% obrażeń wszystkim wrogom. 
 Obrażenia skalują się z naładowaniem rdzenia. Aktywacja rdzenia zużywa cały ładunek."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Gdy pomocnik postaci ginie, dolegliwości ze statusu postaci zostają oczyszczone."
"herocard.passive_skill.description.dodgespecialdamage","Ta postać ma {CHANCE}% szans na uniknięcie umiejętności specjalnych zadających obrażenia."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Gdy ta postać rzuca swoją umiejętność specjalną, wszystkie jej potwory zostają zniszczone."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Po każdych {TURNS} turach pożera wszystkich pomocników losowego wroga i zdobywa małą ilość many za każdego pożartego pomocnika."
