"herocard.passive_skill.description.addmana.all.allies","Todos os aliados recebem uma pequena quantidade de mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Este personagem recebe {POWER}% de mana sempre que um inimigo sofre dano de Sangramento."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Este personagem recupera {POWER} de PV sempre que um inimigo sofre dano de Sangramento."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Este personagem ganha {POWER}% de mana sempre que um inimigo sofre dano de queimadura."
"herocard.passive_skill.description.bypassfamiliars.minion","O dano causado por este personagem não afeta ajudantes."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","O dano causado por este personagem não afeta ajudantes e ajudantes mega."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Chance de aumentar a duração dos efeitos de status lançados."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} turnos: {1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Quando tem qualquer quantidade de Impulso de Voo, este personagem recebe:
 Até {MAXMANAGENERATIONMODIFIER}% de geração de mana
 Até {MAXDODGEMODIFIER}% de chance adicional de esquiva
 Os efeitos diminuem conforme o Impulso de Voo do personagem diminui."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Impulso de Voo {CHARGE}%
No momento, este personagem tem:
 {MANAGENERATIONMODIFIER}% de geração de mana
 {DODGEMODIFIER}% de chance adicionald e esquiva"
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Ganhe {POWER}% de mana no início de cada turno quando um aliado no campo de batalha tem um efeito de Atrofia ativo."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Revive todos os aliados derrotados com {POWER}% de PV a cada {TURNS}."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Revive os aliados derrotados próximos com {POWER}% de PV a cada {TURNS}."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Quando inicia um turno com pouca vida pela primeira vez em uma batalha, este personagem recupera {HEALTH}% de vida e recebe {MANA}% de mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Em vez de receber dano de um mal de status, este personagem recupera o equivalente de vida."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Em vez de receber dano de um mal de status, este personagem recupera vida. A cura é equivalente a {MULTIPLIER}% do dano."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}% de chance crítica."
"herocard.passive_skill.description.damage.all.enemies","Causa {DAMAGE}% de dano a todos os inimigos."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Causa {DAMAGEPERTURN} de dano a todos os ajudantes e ajudantes mega inimigos a cada {TURNS} turnos."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Causa {DAMAGEPERTURN} de dano a todos os ajudantes e ajudantes mega inimigos no início de cada turno."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Causa {DAMAGEPERTURN} de dano a todos os ajudantes e ajudantes mega inimigos no início de cada turno."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Todo o dano de ataques normais e habilidades especiais causado por este personagem aumenta em {DAMAGEINCREASEPERSTEP}% por {INSANITYPERSTEP} Insanidade do personagem, até o limite de {MAXDAMAGEINCREASE}%."
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","Todo o dano de ataques normais e habilidades especiais causado por este personagem aumenta em {MODIFIER}% por acúmulo de Lírio de Sagngue do alvo."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","As Tropas deste herói causam dano de elemental extra contra o elemento mais fraco.

Dano elemental extra causado: +{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","Dano causado por males de status reduzido em {DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Males de status causam {DAMAGEREDUCTION}% menos dano a este personagem."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","O Núcleo de Construto deste personagem é um Núcleo Destrutivo.

O Núcleo Destrutivo é ativado a cada vez que a habilidade especial deste personagem é lançada:

 Com um Núcleo Destrutivo totalmente carregado, causa {CHARGEDPOWER1}% de dano a todos os inimigos.
 O dano é proporcional à quantidade de carga no Núcleo. Toda a carga é exaurida quando o Núcleo é ativado."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Os males de status do personagem são expurgados quando um ajudante dele é destruído."
"herocard.passive_skill.description.dodgespecialdamage","Este personagem tem {CHANCE}% de chance de se esquivar de habilidades especiais que causam dano."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Quando este personagem lança a habilidade especial, todos os demônios dele são destruídos."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","A cada {TURNS} turnos, devora todos os ajudantes de um inimigo aleatório e ganha uma pequena quantidade de mana por cada ajudante devorado."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Ao causar um acerto crítico com a habilidade especial, este personagem expurga com segurança o mal de status expurgável mais recente de todos os aliados. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Ao causar um acerto crítico com a habilidade especial, este personagem reforça em {HEALTHBOOST}% a vida de todos os aliados. Este efeito pode ser ativado uma vez por turno."
