"herocard.passive_skill.description.addmana.all.allies","Alla allierade får lite mana."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Karaktären får {POWER} % mana varje gång en fiende tar blödningsskada."
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","Karaktären får {POWER} hälsa varje gång en fiende tar blödningsskada."
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","Karaktären får {POWER} % mana varje gång en fiende tar eldskada."
"herocard.passive_skill.description.bypassfamiliars.minion","All skada den här karaktären gör går förbi undersåtar."
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","All skada den här karaktären gör går förbi undersåtar och megaundersåtar."
"herocard.passive_skill.description.caststatuseffectdurationmodifier","Chans att förlänga alla kastade statuseffekter."
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0} turer: {1} %"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","Om den här karaktären har flygstyrka  får den:
Upp till {MAXMANAGENERATIONMODIFIER} % manaskapande.
Upp till {MAXDODGEMODIFIER} % extra väjningschans.
Ju mindre flygstyrka, desto mindre effekter."
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","Flygstyrka {CHARGE} %
Den här karaktären har:
{MANAGENERATIONMODIFIER} % manaskapande.
{DODGEMODIFIER} % extra chans att väja."
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Får {POWER} % mana i början av varje runda om en allierad på slagfältet har en aktiv vittringseffekt."
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","Återupplivar alla besegrade allierade med {TURNS} rundors mellanrum och ger {POWER} % HP."
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","Återupplivar besegrade allierade i närheten med {TURNS} rundors mellanrum och ger {POWER} % HP."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","När den här karaktären inleder en runda med låg hälsa för första gången i en strid så återfår den {HEALTH} % hälsa och får {MANA} % mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Den här hjälten återställer hälsa istället för att ta skada av negativa statuseffekter som gör skada och negativa staplar."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Den här hjälten återställer hälsa istället för att ta skada av negativa statuseffekter som gör skada och negativa staplar. Mängden hälsa som återställs är {MULTIPLIER} % av skadan."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % kritisk chans."
"herocard.passive_skill.description.damage.all.enemies","Åsamkar {DAMAGE} % skada till alla fiender."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Gör {DAMAGEPERTURN} skada på alla fienders undersåtar och megaundersåtar med {TURNS} rundors mellanrum."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Gör {DAMAGEPERTURN} skada på alla fienders undersåtar och megaundersåtar i början av varje runda."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Gör {DAMAGEPERTURN} skada på alla fienders undersåtar och megaundersåtar i början av varje runda."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","All skada den här karaktären gör med vanliga attacker och specialförmågor ökas med {DAMAGEINCREASEPERSTEP} % per {INSANITYPERSTEP} vansinne på den här karaktären, upp till {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","All skada från normala attacker och specialförmågor den här karaktären utför höjs med {MODIFIER} % per staplad blodslilja på målet."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Den här karaktärens specialförmåga gör {MODIFIERCHANGE} % mer skada när allierade dansar."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Den här karaktärens trupper gör extra skada mot det svagare elementet.

Extra skada: +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","Skada från negativa statuseffekter och negativa staplar sänks med {DAMAGEREDUCTION} %"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Skada från negativa statuseffekter och negativa staplar sänks med {DAMAGEREDUCTION} % för den här karaktären."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","Den här karaktärens konstruktionskärna är en förödelsekärna.

Förödelsekärnan aktiveras varje gång den här karaktärens specialförmåga används:

 En fulladdad förödelsekärna gör {CHARGEDPOWER1} % skada på alla fiender.
 Skadan blir högre ju större laddning kärnan har. All laddning laddas ur när kärnan aktiveras."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Karaktärens negativa statuseffekter rensas när en av dess undersåtar dör."
"herocard.passive_skill.description.dodgespecialdamage","Den här karaktären har {CHANCE} % chans att undvika specialförmågor som gör skada."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","När den här karaktären använder sin specialförmåga förstörs alla dess odjur."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Äter alla undersåtar från en slumpmässig fiende med {TURNS} rundors mellanrum och får lite mana per uppäten undersåte."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","När den här karaktären lyckas få in en kritisk träff med sin specialförmåga avbryts den senaste negativa statuseffekten som kan renas på alla allierade. Den här effekten kan aktiveras en gång per tur."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","När den här karaktären lyckas få in en kritisk träff med sin specialförmåga ökar den hälsan hos alla sina allierade med {HEALTHBOOST} %. Den här effekten kan aktiveras en gång per runda."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," När den här karaktärens specialförmåga träffar en karaktär som har högre HP får karaktären {PASSIVESKILL1HEALTHBOOST} % ökad hälsa.
 När den här karaktären träffas av en specialförmåga från en karaktär som har högre HP får karaktären {PASSIVESKILL2POWER} % mana.
Var och en av de här effekterna kan aktiveras en gång per runda."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","När karaktären tar skada från specialförmågor får den {POWER} % av sin mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","När karaktären tar direkt skada från specialförmågor eller vanliga attacker får den en liten mängd mana. 
 Den kan få upp till {MAXMANAGAINPERTURN} % mana per tur."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","När karaktären tar skada från specialförmågor eller istället för en skyddad karaktär har den {CHANCE} % chans att göra {POWER} % av den mottagna skadan mot alla fiender."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","När en karaktär tar skada av specialförmågor får den en attackstapel på {STATUSEFFECT1ATTACK} % (högst {STATUSEFFECT1MAXSTACK}). Karaktären kan få en stapel per runda."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","När en karaktär tar skada av specialförmågor får den en attackstapel på {STATUSEFFECT1ATTACK} % attack (högst {STATUSEFFECT1MAXSTACK}). Karaktären kan få en stapel per runda."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","När en allierad försöker rena med specialförmågor får alla allierade {POWER} ökad hälsa. Effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","När en fiende försöker rena med specialförmågor tar alla allierade {POWER} skada. Effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Karaktären får {POWER} % mana varje gång en av dess bonusar avbryts. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Den här karaktären får {POWER} % hälsa varje gång en negativ statuseffekt utgår eller på annat sätt tas bort. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Den här karaktären har {CHANCE} % chans att få {POWER} % hälsa varje gång en negativ statuseffekt utgår eller på annat sätt tas bort. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Karaktären får sin hälsa ökad med {POWER}  varje gång en av den här karaktärens bonusar avbryts. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","När den här karaktärens undersåtar träffar gör de {DAMAGE} frostskada över {TURNS} rundor"
"herocard.passive_skill.description.effectonheal.addmana","Karaktären får {POWER} % mana varje gång den återställer hälsa."
"herocard.passive_skill.description.effectonheal.heal","Karaktären får {POWER} % hälsa varje gång den återställer hälsa."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Karaktären får {POWER} % hälsa varje gång den återställer hälsa."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Den här karaktären får {HEALTHBOOST} % hälsoboost och {MANA} % när den motstår."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Den här karaktären får {POWER} % mana varje gång en fiende använder en specialförmåga som ökar hälsa direkt."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Den här karaktären får {POWER} hälsoökning varje gång en fiende använder en specialförmåga som ökar hälsa direkt."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} % chans att utföra följande handlingar när karaktären använder sin specialförmåga:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","När den här karaktären lyckas få in en kritisk träff med sin specialförmåga avbryts den senaste negativa statuseffekten som kan renas på alla allierade."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","När den här karaktären lyckas få in en kritisk träff med sin specialförmåga ökar den hälsan hos alla sina allierade med {HEALTHBOOST} %."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","När den här karaktären lyckas få in en kritisk träff med sin specialförmåga ökar den hälsan hos alla sina allierade med {HEALTHBOOST} %"
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","När en fiende kastar sin specialförmåga har den här karaktären {CHANCE} % chans att öka sin hälsa med {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att ge {POWER} % mana till alla allierade. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att ge {POWER} % mana till alla allierade som inte har iselement. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Karaktären avbryter alla fienders senaste statuseffektsbonus när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Den här karaktären avbryter alla allierades senaste negativa statuseffekt när karaktären använder sin specialförmåga."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att göra {POWER} % skada på alla fiender. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans skada alla fiender med {POWER} % som inte har mörkerelement. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att skada alla fiender med {POWER} % som inte har eldelement. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att läka alla allierade med {POWER} % av deras hälsa. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att ge {POWER} % hälsa till alla allierade som inte har naturelement. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
