"quests.name.ancient_dragon","远古根须"
"quests.name.ascension","找到训练物品"
"quests.name.astralelves","星体位面"
"quests.name.battle_item","找到战斗物品"
"quests.name.battle_item_uncommon","找到战斗物品 2"
"quests.name.beachparty","海滩派对"
"quests.name.beowulf","贝奥武夫挑战"
"quests.name.castle","骑士冲击"
"quests.name.circus","星落马戏团"
"quests.name.class_decimate","毁灭试炼"
"quests.name.class_fortitude","坚毅试炼"
"quests.name.class_inner_peace","静谧试炼"
"quests.name.class_justice","正义试炼"
"quests.name.class_mystic","神秘试炼"
"quests.name.class_nature","自然试炼"
"quests.name.class_piety","虔诚试炼"
"quests.name.class_shadows","暗影试炼"
"quests.name.class_strength","力量试炼"
"quests.name.class_survivor","生存试炼"
"quests.name.costume_quest1","化装舞会"
"quests.name.covenant","盟约任务"
"quests.name.covenant_1","盟约任务"
"quests.name.covenant_2","盟约任务"
"quests.name.crafting","找到锻造材料"
"quests.name.crafting_uncommon","找到锻造材料 2"
"quests.name.dragon_battle_and_crafting","物品之夜"
"quests.name.dragon_cave_classic","龙窟"
"quests.name.dragon_dragonlings_and_xp","营救幼龙"
"quests.name.dragon_dragonstone_and_fish","资源之河"
"quests.name.dragon_element_blue","蓝宝石洞穴"
"quests.name.dragon_element_extra","彩虹洞穴"
"quests.name.dragon_element_extra2","珠宝洞穴"
"quests.name.dragon_element_green","碧玉洞穴"
"quests.name.dragon_element_purple","紫水晶洞穴"
"quests.name.dragon_element_red","红宝石洞穴"
"quests.name.dragon_element_yellow","黄玉洞穴"
"quests.name.dragon_legendary","传奇巨龙任务"
"quests.name.dragon_scroll","卷轴洞穴"
"quests.name.element_blue","冰霜远征"
"quests.name.element_extra","法霍姆山口"
"quests.name.element_extra2","法霍姆山口"
"quests.name.element_green","伯劳木"
"quests.name.element_purple","莫洛维亚"
"quests.name.element_red","棕土之山"
"quests.name.element_yellow","夏伊洛沙漠"
"quests.name.festival","挑战节 1"
"quests.name.festival_b","挑战节 2"
"quests.name.food","收集食物"
"quests.name.gargoyles","石像鬼圣所"
"quests.name.gargoyles2","重返圣所"
"quests.name.gem","收集宝石"
"quests.name.gem_uncommon","收集宝石 2"
"quests.name.goblin","哥布林村"
"quests.name.guestip1","特邀活动"
"quests.name.halloween_2018","返回莫洛维亚"
"quests.name.halloween_2025","血色盛宴"
"quests.name.hotm_quest1","神话酒馆"
"quests.name.iron","挖掘铁块"
"quests.name.kalevala","卡勒瓦拉"
