"quests.name.ancient_dragon","Den ældgamle undergrund"
"quests.name.ascension","Find træningsobjekter"
"quests.name.astralelves","Astral-plan"
"quests.name.battle_item","Find kampobjekter"
"quests.name.battle_item_uncommon","Find kampobjekter II"
"quests.name.beachparty","Strandfest"
"quests.name.beowulf","Beowulfs udfordring"
"quests.name.castle","Riddersammenstød"
"quests.name.chess","Skakbegivenhed"
"quests.name.circus","Cirkus Stjerneskud"
"quests.name.class_decimate","Decimeringens prøvelser"
"quests.name.class_fortitude","Modets prøvelser"
"quests.name.class_inner_peace","Sjælefredens prøvelser"
"quests.name.class_justice","Retfærdighedens prøvelser"
"quests.name.class_mystic","Mysticismens prøvelser"
"quests.name.class_nature","Naturens prøvelser"
"quests.name.class_piety","Fromhedens prøvelser"
"quests.name.class_shadows","Skyggernes prøvelser"
"quests.name.class_strength","Styrkens prøvelser"
"quests.name.class_survivor","Overlevelsens prøvelser"
"quests.name.costume_quest1","Maskeraden"
"quests.name.covenant","Pagtekspedition"
"quests.name.covenant_1","Pagtekspedition"
"quests.name.covenant_2","Pagtekspedition"
"quests.name.crafting","Find fremstillingsmaterialer"
"quests.name.crafting_uncommon","Find fremstillingsmaterialer II"
"quests.name.dragon_battle_and_crafting","Aften med objekter"
"quests.name.dragon_cave_classic","Dragegrotten"
"quests.name.dragon_dragonlings_and_xp","Red dragelinger"
"quests.name.dragon_dragonstone_and_fish","Flod af ressourcer"
"quests.name.dragon_element_blue","Safirhule"
"quests.name.dragon_element_extra","Regnbuehule"
"quests.name.dragon_element_extra2","Smykkehule"
"quests.name.dragon_element_green","Jadehule"
"quests.name.dragon_element_purple","Ametysthule"
"quests.name.dragon_element_red","Rubintule"
"quests.name.dragon_element_yellow","Topashule"
"quests.name.dragon_legendary","Legendarisk drageekspedition"
"quests.name.dragon_scroll","Skriftrullehule"
"quests.name.element_blue","Frostmarch"
"quests.name.element_extra","Farholmepasset"
"quests.name.element_extra2","Farholmepasset"
"quests.name.element_green","Shrikewood"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Umberbjerget"
"quests.name.element_yellow","Shilohørkenen"
"quests.name.farmland","Årvågne Grøntsager"
"quests.name.festival","Udfordringsfestival I"
"quests.name.festival_b","Udfordringsfestival II"
"quests.name.food","Saml mad"
"quests.name.gargoyles","Gargoilernes tilflugtssted"
"quests.name.gargoyles2","Tilbag til Tilflugtsstedet"
"quests.name.gem","Indsaml ædelstene"
"quests.name.gem_uncommon","Indsaml ædelstene II"
"quests.name.goblin","Goblinlandsby"
"quests.name.guestip1","Særlig gæsteevent"
"quests.name.halloween_2018","Vend tilbage til Morlovia"
"quests.name.halloween_2025","Det sangvinske festmåltid"
"quests.name.hotm_quest1","Legendernes kro"
"quests.name.iron","Bryd jern"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Troppeforstærkning – session"
"quests.name.limit_breaker_dark","Omega-illusionerne"
"quests.name.limit_breaker_fire","Omega-illusionerne"
"quests.name.limit_breaker_holy","Omega-illusionerne"
"quests.name.limit_breaker_ice","Omega-illusionerne"
"quests.name.limit_breaker_nature","Omega-illusionerne"
"quests.name.lunar_new_year","Månenytår"
