"quests.name.ancient_dragon","Alte Unterwurzel"
"quests.name.ascension","Finde Ausbildungsgegenstände"
"quests.name.astralelves","Astralebene"
"quests.name.battle_item","Finde Kampfgegenstände"
"quests.name.battle_item_uncommon","Finde Kampfgegenstände II"
"quests.name.beachparty","Strandparty"
"quests.name.beowulf","Beowulfs Herausforderung"
"quests.name.castle","Kampf der Ritter"
"quests.name.circus","Sternfall-Zirkus"
"quests.name.class_decimate","Prüfungen der Dezimierung"
"quests.name.class_fortitude","Prüfungen der Tapferkeit"
"quests.name.class_inner_peace","Prüfungen der Heiterkeit"
"quests.name.class_justice","Prüfungen der Gerechtigkeit"
"quests.name.class_mystic","Prüfungen der Mystik"
"quests.name.class_nature","Prüfungen der Natur"
"quests.name.class_piety","Prüfungen der Frömmigkeit"
"quests.name.class_shadows","Prüfungen der Schatten"
"quests.name.class_strength","Prüfungen der Stärke"
"quests.name.class_survivor","Prüfungen des Überlebens"
"quests.name.costume_quest1","Die Maskerade"
"quests.name.covenant","Pakt-Quest"
"quests.name.covenant_1","Pakt-Quest"
"quests.name.covenant_2","Pakt-Quest"
"quests.name.crafting","Finde Fertigungsmaterialien"
"quests.name.crafting_uncommon","Finde Fertigungsmaterialien II"
"quests.name.dragon_battle_and_crafting","Nacht der Gegenstände"
"quests.name.dragon_cave_classic","Drachenhöhle"
"quests.name.dragon_dragonlings_and_xp","Rette Drachenjunge"
"quests.name.dragon_dragonstone_and_fish","Fluss der Ressourcen"
"quests.name.dragon_element_blue","Saphirhöhle"
"quests.name.dragon_element_extra","Regenbogenhöhle"
"quests.name.dragon_element_extra2","Schmuckhöhle"
"quests.name.dragon_element_green","Jadehöhle"
"quests.name.dragon_element_purple","Amethysthöhle"
"quests.name.dragon_element_red","Rubinhöhle"
"quests.name.dragon_element_yellow","Topashöhle"
"quests.name.dragon_legendary","Legendäre Drachen-Quest"
"quests.name.dragon_scroll","Schriftrollenhöhle"
"quests.name.element_blue","Frostmark"
"quests.name.element_extra","Weitholme-Pass"
"quests.name.element_extra2","Weitholme-Pass"
"quests.name.element_green","Drosselwald"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Umberberg"
"quests.name.element_yellow","Shilohwüste"
"quests.name.festival","Herausforderungsfest I"
"quests.name.festival_b","Herausforderungsfest II"
"quests.name.food","Sammle Nahrung"
"quests.name.gargoyles","Heiligtum der Gargoyles"
"quests.name.gargoyles2","Zurück zum Heiligtum"
"quests.name.gem","Erhalte Juwelen"
"quests.name.gem_uncommon","Erhalte Juwelen II"
"quests.name.goblin","Goblin-Dorf"
"quests.name.guestip1","Spezial-Gastevent"
"quests.name.halloween_2018","Rückkehr nach Morlovia"
"quests.name.halloween_2025","Das Blutfest"
"quests.name.hotm_quest1","Taverne der Legenden"
"quests.name.iron","Fördere Eisen"
"quests.name.kalevala","Kalevala"
"quests.name.limit_breaker_dark","Omega-Illusionen"
"quests.name.limit_breaker_fire","Omega-Illusionen"
"quests.name.limit_breaker_holy","Omega-Illusionen"
"quests.name.limit_breaker_ice","Omega-Illusionen"
"quests.name.limit_breaker_nature","Omega-Illusionen"
"quests.name.lunar_new_year","Mondneujahr"
"quests.name.magic","Zauberturm"
"quests.name.magic_impossible","Zauberturm: Unmöglich"
"quests.name.masquerade","Karneval der Götter"
"quests.name.mighty_pets","Mächtige Haustiere"
"quests.name.monster_island_horde","Monsterhorde"
"quests.name.monster_island_horde_large","Große Monsterhorde"
"quests.name.monster_island_horde_large_blue","Große Tarneidechsen-Horde"
"quests.name.monster_island_horde_large_green","Große Pflanzfüßer-Horde"
"quests.name.monster_island_horde_large_purple","Große Käferoid-Horde"
"quests.name.monster_island_horde_large_red","Große Tarneidechsen-Horde"
"quests.name.monster_island_horde_large_yellow","Große Käferoid-Horde"
"quests.name.monster_island_horde_medium","Mittlere Monsterhorde"
"quests.name.monster_island_horde_medium_blue","Mittlere Tarneidechsen-Horde"
"quests.name.monster_island_horde_medium_green","Mittlere Pflanzfüßer-Horde"
"quests.name.monster_island_horde_medium_purple","Mittlere Käferoid-Horde"
"quests.name.monster_island_horde_medium_red","Mittlere Tarneidechsen-Horde"
"quests.name.monster_island_horde_medium_yellow","Mittlere Käferoid-Horde"
"quests.name.monster_island_horde_small","Kleine Monsterhorde"
"quests.name.monster_island_horde_small_blue","Kleine Tarneidechsen-Horde"
"quests.name.monster_island_horde_small_green","Kleine Pflanzfüßer-Horde"
"quests.name.monster_island_horde_small_purple","Kleine Käferoid-Horde"
"quests.name.monster_island_horde_small_red","Kleine Tarneidechsen-Horde"
"quests.name.monster_island_horde_small_yellow","Kleine Käferoid-Horde"
"quests.name.moths","Nacht der Motte"
"quests.name.musketeers","Die Mutigen & die Schönen"
"quests.name.ninja","Ninjaturm"
"quests.name.ninja_impossible","Ninjaturm: Unmöglich"
"quests.name.opera","Geheimnisse der Oper"
"quests.name.owl","Eulenturm"
"quests.name.owl_impossible","Eulenturm: Unmöglich"
"quests.name.recruits","Finde Rekruten"
"quests.name.recruits_uncommon","Finde Rekruten II"
"quests.name.scavenging","Erbeute Rohstoffe"
"quests.name.shadow_quest","Schatten der Tiefe"
"quests.name.slayers","Töter grausamer Schatten"
"quests.name.spring_2018","Sprosstal-Festival"
"quests.name.starter","Starterquest"
"quests.name.styx","Styx-Turm"
"quests.name.styx_impossible","Styx-Turm: Unmöglich"
"quests.name.summer_2018","Das Sandimperium"
"quests.name.super_class_barbarian","Barbaren-Meisterprüfungen"
"quests.name.super_class_cleric","Kleriker-Meisterprüfungen"
"quests.name.super_class_druid","Druiden-Meisterprüfungen"
"quests.name.super_class_fighter","Kämpfer-Meisterprüfungen"
"quests.name.super_class_monk","Mönch-Meisterprüfungen"
"quests.name.super_class_paladin","Paladin-Meisterprüfungen"
"quests.name.super_class_ranger","Waldläufer-Meisterprüfungen"
"quests.name.super_class_rogue","Schurken-Meisterprüfungen"
"quests.name.super_class_sorcerer","Zauberer-Meisterprüfungen"
"quests.name.super_class_wizard","Magier-Meisterprüfungen"
"quests.name.super_elemental","Wettstreit der Elemente"
"quests.name.treasure_quest","Schatzsuche"
"quests.name.valentines","Saison der Liebe"
"quests.name.villains","Liga der Schurken"
"quests.name.xmas_2017","Rette den Winter"
"quests.name.xmas_2018","Herausforderung des Weihnachtsmanns"
"quests.name.xp","Sammle Erfahrung"
"quests.special_rule.name.assist_dragon_mastery","Unterstützungsdrachen-Meisterung"
"quests.special_rule.name.astralelves","Astralelfen"
"quests.special_rule.name.covenant","Pakt der Champions"
"quests.special_rule.name.event_bonus","Event-Heldenbonus"
"quests.special_rule.name.family_bonus","Vorgestellte Familien"
"quests.special_rule.name.goblin","Goblin-Dorf"
"quests.special_rule.name.hero_roster_mastery","Heldenlistenmeisterung"
"quests.special_rule.name.magiccurse","Zauberfluch"
"quests.special_rule.name.onicurse","Oni-Fluch"
