"quests.name.ancient_dragon","Ancient Underroot"
"quests.name.ascension","Find Training Items"
"quests.name.astralelves","Astral Plane"
"quests.name.battle_item","Find Battle Items"
"quests.name.battle_item_uncommon","Find Battle Items II"
"quests.name.beachparty","Beach Party"
"quests.name.beowulf","Beowulf's Challenge"
"quests.name.castle","Clash of Knights"
"quests.name.circus","Starfall Circus"
"quests.name.class_decimate","Trials of Decimation"
"quests.name.class_fortitude","Trials of Fortitude"
"quests.name.class_inner_peace","Trials of Serenity"
"quests.name.class_justice","Trials of Justice"
"quests.name.class_mystic","Trials of Mysticism"
"quests.name.class_nature","Trials of Nature"
"quests.name.class_piety","Trials of Piety"
"quests.name.class_shadows","Trials of Shadows"
"quests.name.class_strength","Trials of Strength"
"quests.name.class_survivor","Trials of Survival"
"quests.name.costume_quest1","The Masquerade"
"quests.name.covenant","Covenant Quest"
"quests.name.covenant_1","Covenant Quest"
"quests.name.covenant_2","Covenant Quest"
"quests.name.crafting","Find Crafting Materials"
"quests.name.crafting_uncommon","Find Crafting Materials II"
"quests.name.dragon_battle_and_crafting","Night of Items"
"quests.name.dragon_cave_classic","Dragon Cave"
"quests.name.dragon_dragonlings_and_xp","Rescue Dragonlings"
"quests.name.dragon_dragonstone_and_fish","River of Resources"
"quests.name.dragon_element_blue","Sapphire Cavern"
"quests.name.dragon_element_extra","Rainbow Cavern"
"quests.name.dragon_element_extra2","Jewelry Cavern"
"quests.name.dragon_element_green","Jade Cavern"
"quests.name.dragon_element_purple","Amethyst Cavern"
"quests.name.dragon_element_red","Ruby Cavern"
"quests.name.dragon_element_yellow","Topaz Cavern"
"quests.name.dragon_legendary","Legendary Dragon Quest"
"quests.name.dragon_scroll","Scroll Cavern"
"quests.name.element_blue","Frostmarch"
"quests.name.element_extra","Farholme Pass"
"quests.name.element_extra2","Farholme Pass"
"quests.name.element_green","Shrikewood"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Mount Umber"
"quests.name.element_yellow","Shiloh Desert"
"quests.name.festival","Challenge Festival I"
"quests.name.festival_b","Challenge Festival II"
"quests.name.food","Gather Food"
"quests.name.gargoyles","Sanctuary of Gargoyles"
"quests.name.gargoyles2","Return to Sanctuary"
"quests.name.gem","Collect Gems"
"quests.name.gem_uncommon","Collect Gems II"
"quests.name.goblin","Goblin Village"
"quests.name.guestip1","Special Guest Event"
"quests.name.halloween_2018","Return to Morlovia"
"quests.name.halloween_2025","The Sanguine Feast"
"quests.name.hotm_quest1","Tavern of Legends"
"quests.name.iron","Mine Iron"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Barracks of Legends"
"quests.name.limit_breaker_dark","Mirages of Omega"
"quests.name.limit_breaker_fire","Mirages of Omega"
"quests.name.limit_breaker_holy","Mirages of Omega"
"quests.name.limit_breaker_ice","Mirages of Omega"
"quests.name.limit_breaker_nature","Mirages of Omega"
"quests.name.lunar_new_year","Lunar New Year"
"quests.name.magic","Tower of Magic"
"quests.name.magic_impossible","Tower of Magic: Impossible"
"quests.name.masquerade","Carnival of Gods"
"quests.name.mighty_pets","Mighty Pets"
"quests.name.monster_island_horde","Monster Horde"
"quests.name.monster_island_horde_large","Large Monster Horde"
"quests.name.monster_island_horde_large_blue","Large Camo Lizard Horde"
"quests.name.monster_island_horde_large_green","Large Plantipede Horde"
"quests.name.monster_island_horde_large_purple","Large Beetloid Horde"
"quests.name.monster_island_horde_large_red","Large Camo Lizard Horde"
"quests.name.monster_island_horde_large_yellow","Large Beetloid Horde"
"quests.name.monster_island_horde_medium","Medium Monster Horde"
"quests.name.monster_island_horde_medium_blue","Medium Camo Lizard Horde"
"quests.name.monster_island_horde_medium_green","Medium Plantipede Horde"
"quests.name.monster_island_horde_medium_purple","Medium Beetloid Horde"
"quests.name.monster_island_horde_medium_red","Medium Camo Lizard Horde"
"quests.name.monster_island_horde_medium_yellow","Medium Beetloid Horde"
"quests.name.monster_island_horde_small","Small Monster Horde"
"quests.name.monster_island_horde_small_blue","Small Camo Lizard Horde"
"quests.name.monster_island_horde_small_green","Small Plantipede Horde"
"quests.name.monster_island_horde_small_purple","Small Beetloid Horde"
