"quests.name.ancient_dragon","Raíces ancestrales"
"quests.name.ascension","Objetos de entrenamiento"
"quests.name.astralelves","Plano astral"
"quests.name.battle_item","Objetos de batalla"
"quests.name.battle_item_uncommon","Objetos de batalla II"
"quests.name.beachparty","Fiesta en la playa"
"quests.name.beowulf","Desafío de Beowulf"
"quests.name.castle","Choque de caballeros"
"quests.name.chess","Evento del ajedrez"
"quests.name.circus","Circo Supernova"
"quests.name.class_decimate","Juicio de aniquilación"
"quests.name.class_fortitude","Juicio de fortaleza"
"quests.name.class_inner_peace","Juicio de tranquilidad"
"quests.name.class_justice","Juicio de justicia"
"quests.name.class_mystic","Juicio de misticismo"
"quests.name.class_nature","Juicio de naturaleza"
"quests.name.class_piety","Juicio de devoción"
"quests.name.class_shadows","Juicio de las sombras"
"quests.name.class_strength","Juicio de fuerza"
"quests.name.class_survivor","Juicio de supervivencia"
"quests.name.costume_quest1","La Mascarada"
"quests.name.covenant","Aventura de coalición"
"quests.name.covenant_1","Aventura de coalición"
"quests.name.covenant_2","Aventura de coalición"
"quests.name.crafting","Buscar materiales de elaboración"
"quests.name.crafting_uncommon","Buscar materiales de elaboración II"
"quests.name.dragon_battle_and_crafting","La noche de los objetos"
"quests.name.dragon_cave_classic","Cueva dragontina"
"quests.name.dragon_dragonlings_and_xp","Al rescate de las crías de dragón"
"quests.name.dragon_dragonstone_and_fish","Río de recursos"
"quests.name.dragon_element_blue","Caverna de zafiro"
"quests.name.dragon_element_extra","Caverna arcoíris"
"quests.name.dragon_element_extra2","Caverna de las joyas"
"quests.name.dragon_element_green","Caverna de jade"
"quests.name.dragon_element_purple","Caverna de amatista"
"quests.name.dragon_element_red","Caverna de rubí"
"quests.name.dragon_element_yellow","Caverna de topacio"
"quests.name.dragon_legendary","Aventura dragontina legendaria"
"quests.name.dragon_scroll","Caverna de los pergaminos"
"quests.name.element_blue","Montaña Helada"
"quests.name.element_extra","Paso de Farholme"
"quests.name.element_extra2","Paso de Farholme"
"quests.name.element_green","Bosque Verdugo"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Monte Ocre"
"quests.name.element_yellow","Desierto de Shiloh"
"quests.name.farmland","Verduras vigilantes"
"quests.name.festival","Festival de desafíos I"
"quests.name.festival_b","Festival de desafíos II"
"quests.name.food","Recolecta comida"
"quests.name.gargoyles","Santuario de las gárgolas"
"quests.name.gargoyles2","Vuelta al santuario"
"quests.name.gem","Recoge gemas"
"quests.name.gem_uncommon","Recoge gemas II"
"quests.name.goblin","Aldea de los duendes"
"quests.name.guestip1","Evento de invitados especiales"
"quests.name.halloween_2018","Regreso a Morlovia"
"quests.name.halloween_2025","Festín sanguinario"
"quests.name.hotm_quest1","Taberna de las leyendas"
"quests.name.iron","Hierro de la mina"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Sesión de entrenamiento de tropas"
"quests.name.limit_breaker_dark","Ilusiones omega"
"quests.name.limit_breaker_fire","Ilusiones omega"
"quests.name.limit_breaker_holy","Ilusiones omega"
"quests.name.limit_breaker_ice","Ilusiones omega"
"quests.name.limit_breaker_nature","Ilusiones omega"
"quests.name.lunar_new_year","Año Nuevo lunar"
"quests.name.lunar_new_year_2026","Festival de la fortuna"
"quests.name.magic","Torre de la magia"
"quests.name.magic_impossible","Torre de la magia: Imposible"
"quests.name.masquerade","Carnaval de los dioses"
"quests.name.mighty_pets","Mascotas poderosas"
"quests.name.monster_island_horde","Horda de monstruos"
"quests.name.monster_island_horde_large","Horda de monstruos grande"
"quests.name.monster_island_horde_large_blue","Horda de lagartos con camuflaje grande"
"quests.name.monster_island_horde_large_green","Horda de plantípedos grande"
"quests.name.monster_island_horde_large_purple","Horda de escarabajoides grande"
"quests.name.monster_island_horde_large_red","Horda de lagartos con camuflaje grande"
"quests.name.monster_island_horde_large_yellow","Horda de escarabajoides grande"
"quests.name.monster_island_horde_medium","Horda de monstruos mediana"
"quests.name.monster_island_horde_medium_blue","Horda de lagartos con camuflaje mediana"
"quests.name.monster_island_horde_medium_green","Horda de plantípedos mediana"
"quests.name.monster_island_horde_medium_purple","Horda de escarabajoides mediana"
"quests.name.monster_island_horde_medium_red","Horda de lagartos con camuflaje mediana"
"quests.name.monster_island_horde_medium_yellow","Horda de escarabajoides mediana"
"quests.name.monster_island_horde_small","Horda de monstruos pequeña"
"quests.name.monster_island_horde_small_blue","Horda de lagartos con camuflaje pequeña"
"quests.name.monster_island_horde_small_green","Horda de plantípedos pequeña"
"quests.name.monster_island_horde_small_purple","Horda de escarabajoides pequeña"
"quests.name.monster_island_horde_small_red","Horda de lagartos con camuflaje pequeña"
"quests.name.monster_island_horde_small_yellow","Horda de escarabajoides pequeña"
"quests.name.moths","Noche de las polillas"
"quests.name.musketeers","Los valientes y los bellos"
"quests.name.ninja","Torre ninja"
"quests.name.ninja_impossible","Torre ninja: Imposible"
"quests.name.opera","Secretos de la ópera"
"quests.name.owl","Torre de los búhos"
"quests.name.owl_impossible","Torre de los búhos: Imposible"
"quests.name.recruits","Encuentra reclutas"
"quests.name.recruits_uncommon","Encuentra reclutas II"
"quests.name.scavenging","Busca recursos"
"quests.name.shadow_quest","Sombras de las profundidades"
"quests.name.slayers","Asesinos de las tinieblas"
"quests.name.spring_2018","Festival de Springvale"
"quests.name.starter","Aventura de iniciación"
"quests.name.styx","Torre de Estigia"
