"quests.name.ancient_dragon","Ikijuuri"
"quests.name.ascension","Hanki koulutusesineitä"
"quests.name.astralelves","Astraalitaso"
"quests.name.battle_item","Hanki taisteluesineitä"
"quests.name.battle_item_uncommon","Hanki taisteluesineitä II"
"quests.name.beachparty","Rantajuhla"
"quests.name.beowulf","Beowulfin haaste"
"quests.name.castle","Ritarien taisto"
"quests.name.chess","Shakkitapahtuma"
"quests.name.circus","Sirkus Tähtisade"
"quests.name.class_decimate","Hävityksen koetukset"
"quests.name.class_fortitude","Lujuuden koetukset"
"quests.name.class_inner_peace","Seesteisyyden koetukset"
"quests.name.class_justice","Oikeuden koetukset"
"quests.name.class_mystic","Mystiikan koetukset"
"quests.name.class_nature","Luonnon koetukset"
"quests.name.class_piety","Hurskauden koetukset"
"quests.name.class_shadows","Varjojen koetukset"
"quests.name.class_strength","Voiman koetukset"
"quests.name.class_survivor","Selviytymisen koetukset"
"quests.name.costume_quest1","Naamiaiset"
"quests.name.covenant","Kovenanttiseikkailu"
"quests.name.covenant_1","Kovenanttiseikkailu"
"quests.name.covenant_2","Kovenanttiseikkailu"
"quests.name.crafting","Etsi valmistusmateriaaleja"
"quests.name.crafting_uncommon","Etsi valmistusmateriaaleja II"
"quests.name.dragon_battle_and_crafting","Esineiden yö"
"quests.name.dragon_cave_classic","Lohikäärmeluola"
"quests.name.dragon_dragonlings_and_xp","Pelasta lohikäärmeen poikasia"
"quests.name.dragon_dragonstone_and_fish","Resurssien virta"
"quests.name.dragon_element_blue","Safiiriluola"
"quests.name.dragon_element_extra","Sateenkaariluola"
"quests.name.dragon_element_extra2","Koruluola"
"quests.name.dragon_element_green","Jadeluola"
"quests.name.dragon_element_purple","Ametistiluola"
"quests.name.dragon_element_red","Rubiiniluola"
"quests.name.dragon_element_yellow","Topaasiluola"
"quests.name.dragon_legendary","Legendaarinen lohikäärmeseikkailu"
"quests.name.dragon_scroll","Kääröluola"
"quests.name.element_blue","Jäämarssi"
"quests.name.element_extra","Farholmen reitti"
"quests.name.element_extra2","Farholmen reitti"
"quests.name.element_green","Shrikewood"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Umber-vuori"
"quests.name.element_yellow","Shilohin aavikko"
"quests.name.farmland","Valppaat kasvit"
"quests.name.festival","Haastefestivaali I"
"quests.name.festival_b","Haastefestivaali II"
"quests.name.food","Kerää ruokaa"
"quests.name.gargoyles","Gargoilien pyhäkkö"
"quests.name.gargoyles2","Paluu pyhäkköön"
"quests.name.gem","Kerää jalokiviä"
"quests.name.gem_uncommon","Kerää jalokiviä II"
"quests.name.goblin","Hiisikylä"
"quests.name.guestip1","Erikoisvierastapahtuma"
"quests.name.halloween_2018","Paluu Morloviaan"
"quests.name.halloween_2025","Verikekkerit"
"quests.name.hotm_quest1","Legendojen taverna"
"quests.name.iron","Louhi rautaa"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Joukkojen sparraussessio"
"quests.name.limit_breaker_dark","Omegan kangastukset"
"quests.name.limit_breaker_fire","Omegan kangastukset"
"quests.name.limit_breaker_holy","Omegan kangastukset"
"quests.name.limit_breaker_ice","Omegan kangastukset"
"quests.name.limit_breaker_nature","Omegan kangastukset"
"quests.name.lunar_new_year","Uusi kuuvuosi"
"quests.name.lunar_new_year_2026","Onnenfestivaali"
"quests.name.magic","Taikatorni"
"quests.name.magic_impossible","Taikatorni: Mahdoton"
"quests.name.masquerade","Jumalten karnevaali"
"quests.name.mighty_pets","Mahtilemmikit"
"quests.name.monster_island_horde","Hirviölauma"
"quests.name.monster_island_horde_large","Suuri hirviölauma"
"quests.name.monster_island_horde_large_blue","Suuri maastoväriliskojen lauma"
"quests.name.monster_island_horde_large_green","Suuri kasvijalkaisten lauma"
"quests.name.monster_island_horde_large_purple","Suuri kuorioidien lauma"
"quests.name.monster_island_horde_large_red","Suuri maastoväriliskojen lauma"
"quests.name.monster_island_horde_large_yellow","Suuri kuorioidien lauma"
"quests.name.monster_island_horde_medium","Keskikokoinen hirviölauma"
"quests.name.monster_island_horde_medium_blue","Keskikokoinen maastoväriliskojen lauma"
"quests.name.monster_island_horde_medium_green","Keskikokoinen kasvijalkaisten lauma"
"quests.name.monster_island_horde_medium_purple","Keskikokoinen kuorioidien lauma"
"quests.name.monster_island_horde_medium_red","Keskikokoinen maastoväriliskojen lauma"
"quests.name.monster_island_horde_medium_yellow","Keskikokoinen kuorioidien lauma"
"quests.name.monster_island_horde_small","Pieni hirviölauma"
"quests.name.monster_island_horde_small_blue","Pieni maastoväriliskojen lauma"
"quests.name.monster_island_horde_small_green","Pieni kasvijalkaisten lauma"
"quests.name.monster_island_horde_small_purple","Pieni kuorioidien lauma"
"quests.name.monster_island_horde_small_red","Pieni maastoväriliskojen lauma"
"quests.name.monster_island_horde_small_yellow","Pieni kuorioidien lauma"
"quests.name.moths","Koiden yö"
"quests.name.musketeers","Kauniit ja urheat"
"quests.name.ninja","Ninjatorni"
"quests.name.ninja_impossible","Ninjatorni: Mahdoton"
"quests.name.opera","Oopperan salaisuudet"
"quests.name.owl","Pöllötorni"
"quests.name.owl_impossible","Pöllötorni: Mahdoton"
"quests.name.recruits","Etsi alokkaita"
"quests.name.recruits_uncommon","Etsi alokkaita II"
"quests.name.scavenging","Kerää resursseja"
"quests.name.shadow_quest","Syvyyksien varjot"
