"quests.name.ancient_dragon","Racines ancestrales"
"quests.name.ascension","Trouver des Objets d'entraînement"
"quests.name.astralelves","Plan astral"
"quests.name.battle_item","Trouver des Objets de combat"
"quests.name.battle_item_uncommon","Trouver des Objets de combat II"
"quests.name.beachparty","Fête à la plage"
"quests.name.beowulf","Défi de Beowulf"
"quests.name.castle","Bataille de chevaliers"
"quests.name.chess","Événement d'échecs"
"quests.name.circus","Cirque de Pluie d'étoiles"
"quests.name.class_decimate","Épreuve de décimation"
"quests.name.class_fortitude","Épreuve de courage"
"quests.name.class_inner_peace","Épreuve de sérénité"
"quests.name.class_justice","Épreuve de justice"
"quests.name.class_mystic","Épreuve de mysticisme"
"quests.name.class_nature","Épreuve de nature"
"quests.name.class_piety","Épreuve de piété"
"quests.name.class_shadows","Épreuve des ombres"
"quests.name.class_strength","Épreuve de force"
"quests.name.class_survivor","Épreuve de survie"
"quests.name.costume_quest1","Le bal masqué"
"quests.name.covenant","Quête de pacte"
"quests.name.covenant_1","Quête de pacte"
"quests.name.covenant_2","Quête de pacte"
"quests.name.crafting","Trouvez des matériaux de fabrication"
"quests.name.crafting_uncommon","Trouvez des matériaux de fabrication II"
"quests.name.dragon_battle_and_crafting","Nuit des objets"
"quests.name.dragon_cave_classic","Grotte des dragons"
"quests.name.dragon_dragonlings_and_xp","Sauver des dragonnets"
"quests.name.dragon_dragonstone_and_fish","Rivière de ressources"
"quests.name.dragon_element_blue","Caverne de saphir"
"quests.name.dragon_element_extra","Caverne de l'arc-en-ciel"
"quests.name.dragon_element_extra2","Caverne des bijoux"
"quests.name.dragon_element_green","Caverne de jade"
"quests.name.dragon_element_purple","Caverne d'améthyste"
"quests.name.dragon_element_red","Caverne de rubis"
"quests.name.dragon_element_yellow","Caverne de topaze"
"quests.name.dragon_legendary","Quête draconique légendaire"
"quests.name.dragon_scroll","Caverne aux parchemins"
"quests.name.element_blue","Marches gelées"
"quests.name.element_extra","Col de Farholme"
"quests.name.element_extra2","Col de Farholme"
"quests.name.element_green","Sylvefroid"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Mont Ambre"
"quests.name.element_yellow","Désert de Shilot"
"quests.name.farmland","Légumes vigilants"
"quests.name.festival","Festival des défis I"
"quests.name.festival_b","Festival des défis II"
"quests.name.food","Rassembler de la Nourriture"
"quests.name.gargoyles","Sanctuaire des gargouilles"
"quests.name.gargoyles2","Retour au Sanctuaire"
"quests.name.gem","Collecter des Gemmes"
"quests.name.gem_uncommon","Collecter des Gemmes II"
"quests.name.goblin","Village des gobelins"
"quests.name.guestip1","Événement d'invités spéciaux"
"quests.name.halloween_2018","Retour à Morlovia"
"quests.name.halloween_2025","Festin sanguin"
"quests.name.hotm_quest1","Taverne des Légendes"
"quests.name.iron","Extraire du Fer"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Session d'entraînement des troupes"
"quests.name.limit_breaker_dark","Mirages de l'oméga"
"quests.name.limit_breaker_fire","Mirages de l'oméga"
"quests.name.limit_breaker_holy","Mirages de l'oméga"
"quests.name.limit_breaker_ice","Mirages de l'oméga"
"quests.name.limit_breaker_nature","Mirages de l'oméga"
"quests.name.lunar_new_year","Nouvel An lunaire"
"quests.name.lunar_new_year_2026","Festival de la fortune"
"quests.name.magic","Tour de la magie"
"quests.name.magic_impossible","Tour de la magie : impossible"
"quests.name.masquerade","Carnaval des dieux"
"quests.name.mighty_pets","Animaux puissants"
"quests.name.monster_island_horde","Horde de monstres"
"quests.name.monster_island_horde_large","Grande horde de monstres"
"quests.name.monster_island_horde_large_blue","Grande horde de lézards camouflés"
"quests.name.monster_island_horde_large_green","Grande horde de plantipèdes"
"quests.name.monster_island_horde_large_purple","Grande horde de scaraboïdes"
"quests.name.monster_island_horde_large_red","Grande horde de lézards camouflés"
"quests.name.monster_island_horde_large_yellow","Grande horde de scaraboïdes"
"quests.name.monster_island_horde_medium","Horde de monstres moyenne"
"quests.name.monster_island_horde_medium_blue","Horde moyenne de lézards camouflés"
"quests.name.monster_island_horde_medium_green","Horde moyenne de plantipèdes"
"quests.name.monster_island_horde_medium_purple","Horde moyenne de scaraboïdes"
"quests.name.monster_island_horde_medium_red","Horde moyenne de lézards camouflés"
"quests.name.monster_island_horde_medium_yellow","Horde moyenne de scaraboïdes"
"quests.name.monster_island_horde_small","Petite horde de monstres"
"quests.name.monster_island_horde_small_blue","Petite horde de lézards camouflés"
"quests.name.monster_island_horde_small_green","Petite horde de plantipèdes"
"quests.name.monster_island_horde_small_purple","Petite horde de scaraboïdes"
"quests.name.monster_island_horde_small_red","Petite horde de lézards camouflés"
"quests.name.monster_island_horde_small_yellow","Petite horde de scaraboïdes"
"quests.name.moths","La nuit de la mite"
"quests.name.musketeers","Bravoure et beauté"
"quests.name.ninja","Tour des ninjas"
"quests.name.ninja_impossible","Tour des ninjas : impossible"
"quests.name.opera","Les secrets de l'opéra"
"quests.name.owl","Tour du hibou"
"quests.name.owl_impossible","Tour du hibou : impossible"
"quests.name.recruits","Trouver des Recrues"
"quests.name.recruits_uncommon","Trouver des Recrues II"
"quests.name.scavenging","Rassembler des Ressources"
"quests.name.shadow_quest","Ombres des profondeurs"
"quests.name.slayers","Tueurs des ombres cruelles"
"quests.name.spring_2018","Festival du Vallon d'Or"
"quests.name.starter","Quête de novice"
