"quests.name.ancient_dragon","Bawah Akar Kuno"
"quests.name.ascension","Temukan Barang Pelatihan"
"quests.name.astralelves","Bidang Astral"
"quests.name.battle_item","Temukan Barang Pertempuran"
"quests.name.battle_item_uncommon","Temukan Barang Pertempuran II"
"quests.name.beachparty","Pesta Pantai"
"quests.name.beowulf","Tantangan Beowulf"
"quests.name.castle","Bentrokan Kesatria"
"quests.name.circus","Sirkus Bintang Jatuh"
"quests.name.class_decimate","Uji Pembantaian"
"quests.name.class_fortitude","Uji Ketabahan"
"quests.name.class_inner_peace","Uji Rahayu"
"quests.name.class_justice","Uji Keadilan"
"quests.name.class_mystic","Uji Mistis"
"quests.name.class_nature","Uji Alam"
"quests.name.class_piety","Uji Kesalehan"
"quests.name.class_shadows","Uji Bayangan"
"quests.name.class_strength","Uji Kekuatan"
"quests.name.class_survivor","Uji Sintas"
"quests.name.costume_quest1","Pesta Topeng"
"quests.name.covenant","Petualangan Perjanjian"
"quests.name.covenant_1","Petualangan Perjanjian"
"quests.name.covenant_2","Petualangan Perjanjian"
"quests.name.crafting","Temukan Material Produksi"
"quests.name.crafting_uncommon","Temukan Material Produksi II"
"quests.name.dragon_battle_and_crafting","Malam Barang"
"quests.name.dragon_cave_classic","Gua Naga"
"quests.name.dragon_dragonlings_and_xp","Selamatkan Anak Naga"
"quests.name.dragon_dragonstone_and_fish","Sungai Sumber Daya"
"quests.name.dragon_element_blue","Gua Safir"
"quests.name.dragon_element_extra","Gua Pelangi"
"quests.name.dragon_element_extra2","Gua Perhiasan"
"quests.name.dragon_element_green","Gua Giok"
"quests.name.dragon_element_purple","Gua Kecubung"
"quests.name.dragon_element_red","Gua Ruby"
"quests.name.dragon_element_yellow","Gua Topas"
"quests.name.dragon_legendary","Petualangan Naga Legendaris"
"quests.name.dragon_scroll","Gua Gulungan"
"quests.name.element_blue","Frostmarch"
"quests.name.element_extra","Farholme Pass"
"quests.name.element_extra2","Farholme Pass"
"quests.name.element_green","Shrikewood"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Gunung Umber"
"quests.name.element_yellow","Gurun Shiloh"
"quests.name.festival","Festival Tantangan I"
"quests.name.festival_b","Festival Tantangan II"
"quests.name.food","Kumpulkan Makanan"
"quests.name.gargoyles","Suaka Gargoyle"
"quests.name.gargoyles2","Kembali ke Suaka"
"quests.name.gem","Kumpulkan Permata"
"quests.name.gem_uncommon","Kumpulkan Permata II"
"quests.name.goblin","Desa Goblin"
"quests.name.guestip1","Acara Tamu Khusus"
"quests.name.halloween_2018","Pulang ke Morlovia"
"quests.name.halloween_2025","Pesta Optimis"
"quests.name.hotm_quest1","Kedai Minum Legenda"
"quests.name.iron","Tambang Besi"
"quests.name.kalevala","Kalevala"
"quests.name.limit_breaker_dark","Fatamorgana Omega"
"quests.name.limit_breaker_fire","Fatamorgana Omega"
"quests.name.limit_breaker_holy","Fatamorgana Omega"
"quests.name.limit_breaker_ice","Fatamorgana Omega"
"quests.name.limit_breaker_nature","Fatamorgana Omega"
"quests.name.lunar_new_year","Imlek"
"quests.name.magic","Menara Sihir"
"quests.name.magic_impossible","Menara Sihir: Mustahil"
"quests.name.masquerade","Karnaval Dewa"
"quests.name.mighty_pets","Piaraan Perkasa"
"quests.name.monster_island_horde","Gerombolan Monster"
"quests.name.monster_island_horde_large","Gerombolan Monster Besar"
"quests.name.monster_island_horde_large_blue","Gerombolan Kadal Kamuflase Besar"
"quests.name.monster_island_horde_large_green","Gerombolan Plantipede Besar"
"quests.name.monster_island_horde_large_purple","Gerombolan Bitloid Besar"
"quests.name.monster_island_horde_large_red","Gerombolan Kadal Kamuflase Besar"
"quests.name.monster_island_horde_large_yellow","Gerombolan Bitloid Besar"
"quests.name.monster_island_horde_medium","Gerombolan Monster Sedang"
"quests.name.monster_island_horde_medium_blue","Gerombolan Kadal Kamuflase Sedang"
"quests.name.monster_island_horde_medium_green","Gerombolan Plantipede Sedang"
"quests.name.monster_island_horde_medium_purple","Gerombolan Bitloid Sedang"
"quests.name.monster_island_horde_medium_red","Gerombolan Kadal Kamuflase Sedang"
"quests.name.monster_island_horde_medium_yellow","Gerombolan Bitloid Sedang"
"quests.name.monster_island_horde_small","Gerombolan Monster Kecil"
"quests.name.monster_island_horde_small_blue","Gerombolan Kadal Kamuflase Kecil"
"quests.name.monster_island_horde_small_green","Gerombolan Plantipede Kecil"
"quests.name.monster_island_horde_small_purple","Gerombolan Bitloid Kecil"
"quests.name.monster_island_horde_small_red","Gerombolan Kadal Kamuflase Kecil"
"quests.name.monster_island_horde_small_yellow","Gerombolan Bitloid Kecil"
"quests.name.moths","Malam Ngengat"
"quests.name.musketeers","Si Pemberani & si Cantik"
"quests.name.ninja","Menara Ninja"
"quests.name.ninja_impossible","Menara Ninja: Mustahil"
"quests.name.opera","Rahasia Opera"
"quests.name.owl","Menara Burung Hantu"
"quests.name.owl_impossible","Menara Burung Hantu: Mustahil"
"quests.name.recruits","Temukan Prajurit"
"quests.name.recruits_uncommon","Temukan Prajurit II"
"quests.name.scavenging","Keruk Sumber Daya"
"quests.name.shadow_quest","Bayangan dari Kedalaman"
"quests.name.slayers","Pembunuh Bayangan Jatuh"
"quests.name.spring_2018","Festival Springvale"
"quests.name.starter","Petualangan Permula"
"quests.name.styx","Menara Stiks"
"quests.name.styx_impossible","Menara Stiks: Mustahil"
"quests.name.summer_2018","Kekaisaran Pasir"
"quests.name.super_class_barbarian","Uji Coba Master Barbar"
"quests.name.super_class_cleric","Uji Coba Master Padri"
