"quests.name.ancient_dragon","Sottosuolo antico"
"quests.name.ascension","Trova oggetti di addestramento"
"quests.name.astralelves","Piano astrale"
"quests.name.battle_item","Trova oggetti di battaglia"
"quests.name.battle_item_uncommon","Trova oggetti di battaglia II"
"quests.name.beachparty","Festa sulla spiaggia"
"quests.name.beowulf","Sfida di Beowulf"
"quests.name.castle","Cavalieri in guerra"
"quests.name.circus","Circo di Pioggia stellare"
"quests.name.class_decimate","Prove della decimazione"
"quests.name.class_fortitude","Prove della fermezza"
"quests.name.class_inner_peace","Prove della serenità"
"quests.name.class_justice","Prove della giustizia"
"quests.name.class_mystic","Prove del misticismo"
"quests.name.class_nature","Prove della natura"
"quests.name.class_piety","Prove della devozione"
"quests.name.class_shadows","Prove delle ombre"
"quests.name.class_strength","Prove della forza"
"quests.name.class_survivor","Prove della sopravvivenza"
"quests.name.costume_quest1","Mascherata"
"quests.name.covenant","Impresa del patto"
"quests.name.covenant_1","Impresa del patto"
"quests.name.covenant_2","Impresa del patto"
"quests.name.crafting","Trova materiali di creazione"
"quests.name.crafting_uncommon","Trova materiali di creazione II"
"quests.name.dragon_battle_and_crafting","Notte degli oggetti"
"quests.name.dragon_cave_classic","Caverna del drago"
"quests.name.dragon_dragonlings_and_xp","Recupera cuccioli di drago"
"quests.name.dragon_dragonstone_and_fish","Fiume di risorse"
"quests.name.dragon_element_blue","Caverna dello zaffiro"
"quests.name.dragon_element_extra","Caverna dell'arcobaleno"
"quests.name.dragon_element_extra2","Caverna dei gioielli"
"quests.name.dragon_element_green","Caverna della giada"
"quests.name.dragon_element_purple","Caverna dell'ametista"
"quests.name.dragon_element_red","Caverna del rubino"
"quests.name.dragon_element_yellow","Caverna del topazio"
"quests.name.dragon_legendary","Impresa dei draghi leggendari"
"quests.name.dragon_scroll","Caverna delle pergamene"
"quests.name.element_blue","Marcia del gelo"
"quests.name.element_extra","Passo di Farholme"
"quests.name.element_extra2","Passo di Farholme"
"quests.name.element_green","Shrikewood"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Monte Umber"
"quests.name.element_yellow","Deserto Shiloh"
"quests.name.festival","Festival delle sfide I"
"quests.name.festival_b","Festival delle sfide II"
"quests.name.food","Raccogli cibo"
"quests.name.gargoyles","Santuario dei Gargoyle"
"quests.name.gargoyles2","Ritorno al santuario"
"quests.name.gem","Raccogli Gemme"
"quests.name.gem_uncommon","Raccogli Gemme II"
"quests.name.goblin","Villaggio goblin"
"quests.name.guestip1","Evento Ospite speciale"
"quests.name.halloween_2018","Ritorno a Morlovia"
"quests.name.halloween_2025","Il Banchetto sanguigno"
"quests.name.hotm_quest1","Taverna delle Leggende"
"quests.name.iron","Estrai il ferro nella miniera"
"quests.name.kalevala","Kalevala"
"quests.name.limit_breaker_dark","Miraggi di Omega"
"quests.name.limit_breaker_fire","Miraggi di Omega"
"quests.name.limit_breaker_holy","Miraggi di Omega"
"quests.name.limit_breaker_ice","Miraggi di Omega"
"quests.name.limit_breaker_nature","Miraggi di Omega"
"quests.name.lunar_new_year","Capodanno lunare"
"quests.name.magic","Torre della magia"
"quests.name.magic_impossible","Torre della magia: impossibile"
"quests.name.masquerade","Carnevale degli dèi"
"quests.name.mighty_pets","Animali bestiali"
"quests.name.monster_island_horde","Orda di mostri"
"quests.name.monster_island_horde_large","Orda di mostri grande"
"quests.name.monster_island_horde_large_blue","Orda di lucertole mimetiche grande"
"quests.name.monster_island_horde_large_green","Orda di piantipiedi grande"
"quests.name.monster_island_horde_large_purple","Orda di scarafoidi grande"
"quests.name.monster_island_horde_large_red","Orda di lucertole mimetiche grande"
"quests.name.monster_island_horde_large_yellow","Orda di scarafoidi grande"
"quests.name.monster_island_horde_medium","Orda di mostri media"
"quests.name.monster_island_horde_medium_blue","Orda di lucertole mimetiche media"
"quests.name.monster_island_horde_medium_green","Orda di piantipiedi media"
"quests.name.monster_island_horde_medium_purple","Orda di scarafoidi media"
