"quests.name.ancient_dragon","古の地下茎"
"quests.name.ascension","訓練アイテムを発見せよ"
"quests.name.astralelves","アストラルプレーン"
"quests.name.battle_item","バトルアイテムを発見せよ"
"quests.name.battle_item_uncommon","バトルアイテムを発見せよ II"
"quests.name.beachparty","ビーチ パーティー"
"quests.name.beowulf","ベオウルフの挑戦"
"quests.name.castle","クラッシュオブナイツ"
"quests.name.circus","スターフォールサーカス"
"quests.name.class_decimate","大破壊の試練"
"quests.name.class_fortitude","堅忍の試練"
"quests.name.class_inner_peace","静穏の試練"
"quests.name.class_justice","正義の試練"
"quests.name.class_mystic","神秘の試練"
"quests.name.class_nature","自然の試練"
"quests.name.class_piety","信心の試練"
"quests.name.class_shadows","影の試練"
"quests.name.class_strength","力の試練"
"quests.name.class_survivor","生存の試練"
"quests.name.costume_quest1","仮装舞踏会"
"quests.name.covenant","盟約クエスト"
"quests.name.covenant_1","盟約クエスト"
"quests.name.covenant_2","盟約クエスト"
"quests.name.crafting","作成用素材集め"
"quests.name.crafting_uncommon","作成用素材集め II"
"quests.name.dragon_battle_and_crafting","アイテムの夜"
"quests.name.dragon_cave_classic","ドラゴンの洞穴"
"quests.name.dragon_dragonlings_and_xp","ベビードラゴンの救出"
"quests.name.dragon_dragonstone_and_fish","資源の川"
"quests.name.dragon_element_blue","サファイアの大洞窟"
"quests.name.dragon_element_extra","虹の大洞窟"
"quests.name.dragon_element_extra2","宝石の大洞窟"
"quests.name.dragon_element_green","翡翠の大洞窟"
"quests.name.dragon_element_purple","アメジストの大洞窟"
"quests.name.dragon_element_red","ルビーの大洞窟"
"quests.name.dragon_element_yellow","トパーズの大洞窟"
"quests.name.dragon_legendary","レジェンドドラゴンクエスト"
"quests.name.dragon_scroll","巻物の大洞窟"
"quests.name.element_blue","フロストマーチ"
"quests.name.element_extra","ファーホルム峠"
"quests.name.element_extra2","ファーホルム峠"
"quests.name.element_green","シュライクウッド"
"quests.name.element_purple","モルロヴィア"
"quests.name.element_red","ウンバー山"
"quests.name.element_yellow","シロウ砂漠"
"quests.name.festival","チャレンジ フェスティバル I"
"quests.name.festival_b","チャレンジ フェスティバル II"
"quests.name.food","食糧を集めろ"
"quests.name.gargoyles","ガーゴイルの聖域"
"quests.name.gargoyles2","聖域への帰還"
"quests.name.gem","ジェムを集めろ"
"quests.name.gem_uncommon","ジェムを集めろ II"
"quests.name.goblin","ゴブリンの村"
"quests.name.guestip1","スペシャルゲストイベント"
"quests.name.halloween_2018","モルロヴィアへの帰還"
"quests.name.halloween_2025","血の饗宴"
"quests.name.hotm_quest1","伝説の酒場"
"quests.name.iron","鉄を精製せよ"
"quests.name.kalevala","カレワラ"
"quests.name.legendary_troop","レジェンドたちの特殊訓練場"
"quests.name.limit_breaker_dark","オメガの蜃気楼"
"quests.name.limit_breaker_fire","オメガの蜃気楼"
"quests.name.limit_breaker_holy","オメガの蜃気楼"
"quests.name.limit_breaker_ice","オメガの蜃気楼"
"quests.name.limit_breaker_nature","オメガの蜃気楼"
"quests.name.lunar_new_year","旧正月"
"quests.name.magic","魔法のタワー"
"quests.name.magic_impossible","魔法のタワー: 超難関"
"quests.name.masquerade","神の祭典"
"quests.name.mighty_pets","マイティペット"
"quests.name.monster_island_horde","モンスター軍団"
"quests.name.monster_island_horde_large","モンスター軍団（大）"
"quests.name.monster_island_horde_large_blue","迷彩トカゲ軍団（大）"
"quests.name.monster_island_horde_large_green","植物ムカデ軍団（大）"
"quests.name.monster_island_horde_large_purple","カブトロイド軍団（大）"
"quests.name.monster_island_horde_large_red","迷彩トカゲ軍団（大）"
"quests.name.monster_island_horde_large_yellow","カブトロイド軍団（大）"
"quests.name.monster_island_horde_medium","モンスター軍団（中）"
"quests.name.monster_island_horde_medium_blue","迷彩トカゲ軍団（中）"
"quests.name.monster_island_horde_medium_green","植物ムカデ軍団（中）"
"quests.name.monster_island_horde_medium_purple","カブトロイド軍団（中）"
"quests.name.monster_island_horde_medium_red","迷彩トカゲ軍団（中）"
"quests.name.monster_island_horde_medium_yellow","カブトロイド軍団（中）"
"quests.name.monster_island_horde_small","モンスター軍団（小）"
"quests.name.monster_island_horde_small_blue","迷彩トカゲ軍団（小）"
"quests.name.monster_island_horde_small_green","植物ムカデ軍団（小）"
"quests.name.monster_island_horde_small_purple","カブトロイド軍団（小）"
"quests.name.monster_island_horde_small_red","迷彩トカゲ軍団（小）"
"quests.name.monster_island_horde_small_yellow","カブトロイド軍団（小）"
"quests.name.moths","蛾の夜"
"quests.name.musketeers","ブレイブ&ビューティフル"
"quests.name.ninja","ニンジャタワー"
"quests.name.ninja_impossible","ニンジャタワー: 超難関"
"quests.name.opera","オペラ座の秘密"
"quests.name.owl","オウルタワー"
"quests.name.owl_impossible","オウルタワー：超難関"
"quests.name.recruits","新兵を集めろ"
"quests.name.recruits_uncommon","新兵を集めろ II"
"quests.name.scavenging","資源をかき集めろ"
"quests.name.shadow_quest","深淵のシャドウ"
"quests.name.slayers","不吉な影のスレイヤー"
"quests.name.spring_2018","スプリングヴェイルの祝祭"
"quests.name.starter","スタータークエスト"
"quests.name.styx","ステュクスタワー"
"quests.name.styx_impossible","ステュクスタワー: 超難関"
"quests.name.summer_2018","砂の国"
"quests.name.super_class_barbarian","マスターバーバリアンの試練"
"quests.name.super_class_cleric","マスター牧師の試練"
