"quests.name.ancient_dragon","고대 언더루트"
"quests.name.ascension","훈련 아이템 찾기"
"quests.name.astralelves","아스트랄 평원"
"quests.name.battle_item","전투 아이템 찾기"
"quests.name.battle_item_uncommon","전투 아이템 찾기 II"
"quests.name.beachparty","해변 파티"
"quests.name.beowulf","베오울프의 도전"
"quests.name.castle","기사의 격돌"
"quests.name.circus","스타폴 서커스"
"quests.name.class_decimate","절멸의 시련"
"quests.name.class_fortitude","불굴의 시련"
"quests.name.class_inner_peace","평온의 시련"
"quests.name.class_justice","정의의 시련"
"quests.name.class_mystic","신비의 시련"
"quests.name.class_nature","자연의 시련"
"quests.name.class_piety","경건함의 시련"
"quests.name.class_shadows","그림자의 시련"
"quests.name.class_strength","힘의 시련"
"quests.name.class_survivor","생존의 시련"
"quests.name.costume_quest1","가장 무도회"
"quests.name.covenant","서약 퀘스트"
"quests.name.covenant_1","서약 퀘스트"
"quests.name.covenant_2","서약 퀘스트"
"quests.name.crafting","제작 재료 찾기"
"quests.name.crafting_uncommon","제작 재료 찾기 II"
"quests.name.dragon_battle_and_crafting","아이템의 밤"
"quests.name.dragon_cave_classic","드래곤 동굴"
"quests.name.dragon_dragonlings_and_xp","새끼 드래곤 구조하기"
"quests.name.dragon_dragonstone_and_fish","자원의 강"
"quests.name.dragon_element_blue","사파이어 동굴"
"quests.name.dragon_element_extra","무지개 동굴"
"quests.name.dragon_element_extra2","보석 동굴"
"quests.name.dragon_element_green","옥 동굴"
"quests.name.dragon_element_purple","자수정 동굴"
"quests.name.dragon_element_red","루비 동굴"
"quests.name.dragon_element_yellow","토파즈 동굴"
"quests.name.dragon_legendary","전설 드래곤 퀘스트"
"quests.name.dragon_scroll","두루마리 동굴"
"quests.name.element_blue","프로스트마치"
"quests.name.element_extra","파홀름 통행로"
"quests.name.element_extra2","파홀름 통행로"
"quests.name.element_green","때까치 숲"
"quests.name.element_purple","몰로비아"
"quests.name.element_red","움버 산"
"quests.name.element_yellow","쉴로 사막"
"quests.name.festival","도전 축제 I"
"quests.name.festival_b","도전 축제 II"
"quests.name.food","식량 수집"
"quests.name.gargoyles","가고일의 안식처"
"quests.name.gargoyles2","안식처로 돌아가기"
"quests.name.gem","보석 수집"
"quests.name.gem_uncommon","보석 수집 II"
"quests.name.goblin","고블린 마을"
"quests.name.guestip1","특별 게스트 이벤트"
"quests.name.halloween_2018","몰로비아로 귀환"
"quests.name.halloween_2025","핏빛 연회"
"quests.name.hotm_quest1","여관의 전설"
"quests.name.iron","철 채광"
"quests.name.kalevala","칼레발라"
"quests.name.limit_breaker_dark","오메가의 신기루"
"quests.name.limit_breaker_fire","오메가의 신기루"
"quests.name.limit_breaker_holy","오메가의 신기루"
"quests.name.limit_breaker_ice","오메가의 신기루"
"quests.name.limit_breaker_nature","오메가의 신기루"
"quests.name.lunar_new_year","설날"
"quests.name.magic","마법 타워"
"quests.name.magic_impossible","마법 타워: 임파서블"
"quests.name.masquerade","신들의 축제"
"quests.name.mighty_pets","강력한 펫"
"quests.name.monster_island_horde","몬스터 무리"
"quests.name.monster_island_horde_large","대형 몬스터 무리"
"quests.name.monster_island_horde_large_blue","큰 카모 도마뱀 무리"
"quests.name.monster_island_horde_large_green","큰 플랜티피드 무리"
"quests.name.monster_island_horde_large_purple","큰 비틀로이드 무리"
"quests.name.monster_island_horde_large_red","큰 카모 도마뱀 무리"
"quests.name.monster_island_horde_large_yellow","큰 비틀로이드 무리"
"quests.name.monster_island_horde_medium","중형 몬스터 무리"
"quests.name.monster_island_horde_medium_blue","중간 카모 도마뱀 무리"
"quests.name.monster_island_horde_medium_green","중간 플랜티피드 무리"
"quests.name.monster_island_horde_medium_purple","중간 비틀로이드 무리"
"quests.name.monster_island_horde_medium_red","중간 카모 도마뱀 무리"
"quests.name.monster_island_horde_medium_yellow","중간 비틀로이드 무리"
"quests.name.monster_island_horde_small","소형 몬스터 무리"
"quests.name.monster_island_horde_small_blue","작은 카모 도마뱀 무리"
"quests.name.monster_island_horde_small_green","작은 플랜티피드 무리"
"quests.name.monster_island_horde_small_purple","작은 비틀로이드 무리"
"quests.name.monster_island_horde_small_red","작은 카모 도마뱀 무리"
"quests.name.monster_island_horde_small_yellow","작은 비틀로이드 무리"
"quests.name.moths","나방의 밤"
"quests.name.musketeers","용자와 미녀"
"quests.name.ninja","닌자 타워"
"quests.name.ninja_impossible","닌자 타워: 임파서블"
"quests.name.opera","오페라의 비밀"
"quests.name.owl","올빼미 탑"
"quests.name.owl_impossible","올빼미 타워: 임파서블"
"quests.name.recruits","모집병 찾기"
"quests.name.recruits_uncommon","모집병 찾기 II"
"quests.name.scavenging","자원 수집"
"quests.name.shadow_quest","심연의 그림자"
"quests.name.slayers","펠 섀도우의 처단자"
"quests.name.spring_2018","스프링베일 축제"
"quests.name.starter","초보자 퀘스트"
"quests.name.styx","스틱스의 탑"
"quests.name.styx_impossible","스틱스의 탑: 임파서블"
"quests.name.summer_2018","모래 제국"
"quests.name.super_class_barbarian","마스터 야만전사 시험"
"quests.name.super_class_cleric","마스터 성직자 시험"
"quests.name.super_class_druid","마스터 드루이드 시험"
"quests.name.super_class_fighter","마스터 전투사 시험"
"quests.name.super_class_monk","마스터 수도승 시험"
"quests.name.super_class_paladin","마스터 성전사 시험"
"quests.name.super_class_ranger","마스터 레인저 시험"
"quests.name.super_class_rogue","마스터 도적 시험"
"quests.name.super_class_sorcerer","마스터 마술사 시험"
"quests.name.super_class_wizard","마스터 마법사 시험"
"quests.name.super_elemental","속성 대회"
"quests.name.treasure_quest","보물 퀘스트"
"quests.name.valentines","사랑의 시즌"
"quests.name.villains","빌런 리그"
"quests.name.xmas_2017","겨울을 지켜라"
"quests.name.xmas_2018","산타의 도전"
"quests.name.xp","경험치 획득"
"quests.special_rule.name.assist_dragon_mastery","보조 드래곤 대가"
"quests.special_rule.name.astralelves","아스트랄 엘프"
"quests.special_rule.name.covenant","챔피언의 서약"
"quests.special_rule.name.event_bonus","이벤트 영웅 보너스"
"quests.special_rule.name.family_bonus","추천 패밀리"
"quests.special_rule.name.goblin","고블린 마을"
"quests.special_rule.name.hero_roster_mastery","영웅 목록의 대가"
"quests.special_rule.name.magiccurse","마법 저주"
"quests.special_rule.name.onicurse","도깨비 저주"
