"quests.name.ancient_dragon","Eeuwenoude onderwortel"
"quests.name.ascension","Vind Trainingsmaterialen"
"quests.name.astralelves","Astrale Vlak"
"quests.name.battle_item","Vind Strijdvoorwerpen"
"quests.name.battle_item_uncommon","Vind Strijdvoorwerpen II"
"quests.name.beachparty","Strandfeest"
"quests.name.beowulf","De uitdaging van Beowulf"
"quests.name.castle","Ridderstrijd"
"quests.name.circus","Circus Valster"
"quests.name.class_decimate","Proeve der Vernietiging"
"quests.name.class_fortitude","Proeve der Standvastigheid"
"quests.name.class_inner_peace","Proeve der Kalmte"
"quests.name.class_justice","Proeve der Gerechtigheid"
"quests.name.class_mystic","Proeve der Mystiek"
"quests.name.class_nature","Proeve der Natuur"
"quests.name.class_piety","Proeve der Vroomheid"
"quests.name.class_shadows","Proeve der Schaduwen"
"quests.name.class_strength","Proeve der Kracht"
"quests.name.class_survivor","Proeve der Overleving"
"quests.name.costume_quest1","Het gemaskerd bal"
"quests.name.covenant","Convenantopdracht"
"quests.name.covenant_1","Convenantopdracht"
"quests.name.covenant_2","Convenantopdracht"
"quests.name.crafting","Productiemateriaal vinden"
"quests.name.crafting_uncommon","Productiemateriaal vinden II"
"quests.name.dragon_battle_and_crafting","Nacht van de items"
"quests.name.dragon_cave_classic","Drakengrot"
"quests.name.dragon_dragonlings_and_xp","Red draakjes"
"quests.name.dragon_dragonstone_and_fish","Rivier van grondstoffen"
"quests.name.dragon_element_blue","Saffierengrot"
"quests.name.dragon_element_extra","Regenbooggrot"
"quests.name.dragon_element_extra2","Sierradengrot"
"quests.name.dragon_element_green","Jadegrot"
"quests.name.dragon_element_purple","Amethistengrot"
"quests.name.dragon_element_red","Robijnengrot"
"quests.name.dragon_element_yellow","Topazengrot"
"quests.name.dragon_legendary","Legendarische drakenopdrachten"
"quests.name.dragon_scroll","Rollengrot"
"quests.name.element_blue","Vorstmark"
"quests.name.element_extra","Verwegpas"
"quests.name.element_extra2","Verwegpas"
"quests.name.element_green","Shrikewoud"
"quests.name.element_purple","Morlovië"
"quests.name.element_red","Umberberg"
"quests.name.element_yellow","Shilohwoestijn"
"quests.name.festival","Uitdagingsfestival I"
"quests.name.festival_b","Uitdagingsfestival II"
"quests.name.food","Verzamel Voedsel"
"quests.name.gargoyles","Heiligdom van gargouilles"
"quests.name.gargoyles2","Terugkeer naar heiligdom"
"quests.name.gem","Verzamel Edelstenen"
"quests.name.gem_uncommon","Verzamel Edelstenen II"
"quests.name.goblin","Koboldendorp"
"quests.name.guestip1","Speciale gasten-evenement"
"quests.name.halloween_2018","Terug naar Morlovië"
"quests.name.halloween_2025","Het bloederige feestmaal"
"quests.name.hotm_quest1","Taverne der legenden"
"quests.name.iron","Delf IJzer"
"quests.name.kalevala","Kalevala"
"quests.name.limit_breaker_dark","Luchtspiegelingen van Omega"
"quests.name.limit_breaker_fire","Luchtspiegelingen van Omega"
"quests.name.limit_breaker_holy","Luchtspiegelingen van Omega"
"quests.name.limit_breaker_ice","Luchtspiegelingen van Omega"
"quests.name.limit_breaker_nature","Luchtspiegelingen van Omega"
"quests.name.lunar_new_year","Chinees Nieuwjaar"
"quests.name.magic","Magische toren"
"quests.name.magic_impossible","Magische toren: onmogelijk"
"quests.name.masquerade","Carnaval van de goden"
"quests.name.mighty_pets","Almachtige huisdieren"
"quests.name.monster_island_horde","Monsterhorde"
"quests.name.monster_island_horde_large","Grote monsterhorde"
"quests.name.monster_island_horde_large_blue","Grote camouflagehagedishorde"
"quests.name.monster_island_horde_large_green","Grote plantenpoothorde"
"quests.name.monster_island_horde_large_purple","Grote keveroïdehorde"
"quests.name.monster_island_horde_large_red","Grote camouflagehagedishorde"
"quests.name.monster_island_horde_large_yellow","Grote keveroïdehorde"
"quests.name.monster_island_horde_medium","Gemiddelde monsterhorde"
"quests.name.monster_island_horde_medium_blue","Middelgrote camouflagehagedishorde"
"quests.name.monster_island_horde_medium_green","Middelgrote plantenpoothorde"
"quests.name.monster_island_horde_medium_purple","Middelgrote keveroïdehorde"
"quests.name.monster_island_horde_medium_red","Middelgrote camouflagehagedishorde"
"quests.name.monster_island_horde_medium_yellow","Middelgrote keveroïdehorde"
"quests.name.monster_island_horde_small","Kleine monsterhorde"
"quests.name.monster_island_horde_small_blue","Kleine camouflagehagedishorde"
"quests.name.monster_island_horde_small_green","Kleine plantenpoothorde"
"quests.name.monster_island_horde_small_purple","Kleine keveroïdehorde"
"quests.name.monster_island_horde_small_red","Kleine camouflagehagedishorde"
"quests.name.monster_island_horde_small_yellow","Kleine keveroïdehorde"
"quests.name.moths","Nacht van de mot"
"quests.name.musketeers","De dappere en de schoonheid"
"quests.name.ninja","Ninjatoren"
"quests.name.ninja_impossible","Ninjatoren: onmogelijk"
"quests.name.opera","Geheimen van de opera"
"quests.name.owl","Uilentoren"
"quests.name.owl_impossible","Uilentoren: onmogelijk"
"quests.name.recruits","Vind Rekruten"
"quests.name.recruits_uncommon","Vind Rekruten II"
"quests.name.scavenging","Zoek naar Grondstoffen"
"quests.name.shadow_quest","Schaduw van de diepte"
"quests.name.slayers","Slachters uit de hooglandschaduwen"
"quests.name.spring_2018","Springevale-festival"
"quests.name.starter","Startersopdracht"
"quests.name.styx","Styx-toren"
"quests.name.styx_impossible","Styx-toren: onmogelijk"
"quests.name.summer_2018","Het Zandrijk"
"quests.name.super_class_barbarian","Proeve van de meesterbarbaar"
"quests.name.super_class_cleric","Proeve van de meesterpriester"
"quests.name.super_class_druid","Proeve van de meesterdruïde"
"quests.name.super_class_fighter","Proeve van de meesterkrijger"
"quests.name.super_class_monk","Proeve van de meestermonnik"
"quests.name.super_class_paladin","Proeve van de meesterpaladijn"
"quests.name.super_class_ranger","Proeve van de meesterboogschutter"
"quests.name.super_class_rogue","Proeve van de meesterdief"
"quests.name.super_class_sorcerer","Proeve van de meestertovenaar"
"quests.name.super_class_wizard","Proeve van de meestermagiër"
"quests.name.super_elemental","Elementenstrijd"
"quests.name.treasure_quest","Schattenopdracht"
"quests.name.valentines","Seizoen van de liefde"
"quests.name.villains","Verbond van schurken"
"quests.name.xmas_2017","Red de Winter"
"quests.name.xmas_2018","De kerstuitdaging"
"quests.name.xp","Doe Ervaring op"
"quests.special_rule.name.assist_dragon_mastery","Hulpdrakenmeesterschap"
"quests.special_rule.name.astralelves","Astrale elfen"
"quests.special_rule.name.covenant","Covenant der kampioenen"
"quests.special_rule.name.event_bonus","Evenement-heldenbonus"
"quests.special_rule.name.family_bonus","Uitgelichte families"
"quests.special_rule.name.goblin","Koboldendorp"
"quests.special_rule.name.hero_roster_mastery","Meesterheldenselectie"
"quests.special_rule.name.magiccurse","Magische vloek"
"quests.special_rule.name.onicurse","Oni-vloek"
