"quests.name.ancient_dragon","Gammel Underrot"
"quests.name.ascension","Finn treningselementer"
"quests.name.astralelves","Astralsletten"
"quests.name.battle_item","Finn kampelementer"
"quests.name.battle_item_uncommon","Finn kampelementer II"
"quests.name.beachparty","Strandfest"
"quests.name.beowulf","Beowulfs utfordring"
"quests.name.castle","Riddernes kamp"
"quests.name.circus","Stjerneskudd-sirkus"
"quests.name.class_decimate","Prøvelser i desimering"
"quests.name.class_fortitude","Prøvelser i heltemot"
"quests.name.class_inner_peace","Prøvelser i sinnsro"
"quests.name.class_justice","Prøvelser i rettferdighet"
"quests.name.class_mystic","Prøvelser i mystikk"
"quests.name.class_nature","Prøvelser i natur"
"quests.name.class_piety","Prøvelser i fromhet"
"quests.name.class_shadows","Prøvelser i skygger"
"quests.name.class_strength","Prøvelser i styrke"
"quests.name.class_survivor","Prøvelser i overlevelse"
"quests.name.costume_quest1","Maskerade"
"quests.name.covenant","Paktoppdrag"
"quests.name.covenant_1","Paktoppdrag"
"quests.name.covenant_2","Paktoppdrag"
"quests.name.crafting","Finn produksjonsmaterialer"
"quests.name.crafting_uncommon","Finn produksjonsmaterialer II"
"quests.name.dragon_battle_and_crafting","Gjenstandskveld"
"quests.name.dragon_cave_classic","Dragegrotte"
"quests.name.dragon_dragonlings_and_xp","Redd smådrager"
"quests.name.dragon_dragonstone_and_fish","Ressurselv"
"quests.name.dragon_element_blue","Safirhule"
"quests.name.dragon_element_extra","Regnbuehule"
"quests.name.dragon_element_extra2","Juvelhule"
"quests.name.dragon_element_green","Jadehule"
"quests.name.dragon_element_purple","Ametysthule"
"quests.name.dragon_element_red","Rubinhule"
"quests.name.dragon_element_yellow","Topashule"
"quests.name.dragon_legendary","Legendarisk drageoppdrag"
"quests.name.dragon_scroll","Pergamenthule"
"quests.name.element_blue","Frostgrensen"
"quests.name.element_extra","Farholme-passet"
"quests.name.element_extra2","Farholme-passet"
"quests.name.element_green","Skrikeskogen"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Umber-fjellet"
"quests.name.element_yellow","Shiloh-ørkenen"
"quests.name.festival","Utfordringsfestival I"
"quests.name.festival_b","Utfordringsfestival II"
"quests.name.food","Samle mat"
"quests.name.gargoyles","Griffenes tilfluktssted"
"quests.name.gargoyles2","Returner til tilfluktssted"
"quests.name.gem","Samle juveler"
"quests.name.gem_uncommon","Samle juveler II"
"quests.name.goblin","Goblinlandsby"
"quests.name.guestip1","Spesiell gjest-hendelse"
"quests.name.halloween_2018","Tilbake til Morlovia"
"quests.name.halloween_2025","Det optimistiske festmåltidet"
"quests.name.hotm_quest1","Legendenes kro"
"quests.name.iron","Utvinn jern"
"quests.name.kalevala","Kalevala"
