"quests.name.ancient_dragon","Starożytny Podkorzeń"
"quests.name.ascension","Znajdź przedmioty szkoleniowe"
"quests.name.astralelves","Sfera astralna"
"quests.name.battle_item","Znajdź artefakty bitewne"
"quests.name.battle_item_uncommon","Znajdź artefakty bitewne II"
"quests.name.beachparty","Impreza na plaży"
"quests.name.beowulf","Wyzwanie Beowulfa"
"quests.name.castle","Starcie Rycerzy"
"quests.name.chess","Wydarzenie szachowe"
"quests.name.circus","Cyrk Spadającej Gwiazdy"
"quests.name.class_decimate","Próby pogromu"
"quests.name.class_fortitude","Próby męstwa"
"quests.name.class_inner_peace","Próby spokoju"
"quests.name.class_justice","Próby sprawiedliwości"
"quests.name.class_mystic","Próby mistycyzmu"
"quests.name.class_nature","Próby natury"
"quests.name.class_piety","Próby pobożności"
"quests.name.class_shadows","Próby cieni"
"quests.name.class_strength","Próby siły"
"quests.name.class_survivor","Próby przetrwania"
"quests.name.costume_quest1","Maskarada"
"quests.name.covenant","Misja Przymierza"
"quests.name.covenant_1","Misja Przymierza"
"quests.name.covenant_2","Misja Przymierza"
"quests.name.crafting","Znajdź materiały do budowy"
"quests.name.crafting_uncommon","Znajdź materiały do budowy 2"
"quests.name.dragon_battle_and_crafting","Noc przedmiotów"
"quests.name.dragon_cave_classic","Smocza jaskinia"
"quests.name.dragon_dragonlings_and_xp","Ocal smoczątka"
"quests.name.dragon_dragonstone_and_fish","Rzeka zasobów"
"quests.name.dragon_element_blue","Szafirowa jaskinia"
"quests.name.dragon_element_extra","Tęczowa jaskinia"
"quests.name.dragon_element_extra2","Jaskinia z biżuterią"
"quests.name.dragon_element_green","Nefrytowa jaskinia"
"quests.name.dragon_element_purple","Ametystowa jaskinia"
"quests.name.dragon_element_red","Rubinowa jaskinia"
"quests.name.dragon_element_yellow","Topazowa jaskinia"
"quests.name.dragon_legendary","Legendarne smocze zadanie"
"quests.name.dragon_scroll","Jaskinia ze zwojami"
"quests.name.element_blue","Ziębimarsz"
"quests.name.element_extra","Przełęcz Farholme"
"quests.name.element_extra2","Przełęcz Farholme"
"quests.name.element_green","Jękolas"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Góra Umber"
"quests.name.element_yellow","Pustynia Shiloh"
"quests.name.farmland","Czujne warzywa"
"quests.name.festival","Festiwal Wyzwań I"
"quests.name.festival_b","Festiwal Wyzwań II"
"quests.name.food","Zbierz żywność"
"quests.name.gargoyles","Sanktuarium Gargulców"
"quests.name.gargoyles2","Powrót do Sanktuarium"
"quests.name.gem","Zbierz klejnoty"
"quests.name.gem_uncommon","Zbierz klejnoty II"
"quests.name.goblin","Wioska goblinów"
"quests.name.guestip1","Wydarzenie gościa specjalnego"
"quests.name.halloween_2018","Powrót do Morlovii"
"quests.name.halloween_2025","Sangwiniczna uczta"
"quests.name.hotm_quest1","Tawerna Legend"
"quests.name.iron","Wydobywaj żelazo"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Sesja sparingowa oddziałów"
"quests.name.limit_breaker_dark","Miraże omegi"
"quests.name.limit_breaker_fire","Miraże omegi"
"quests.name.limit_breaker_holy","Miraże omegi"
"quests.name.limit_breaker_ice","Miraże omegi"
"quests.name.limit_breaker_nature","Miraże omegi"
"quests.name.lunar_new_year","Księżycowy nowy rok"
"quests.name.lunar_new_year_2026","Festiwal Fortuny"
"quests.name.magic","Wieża Magii"
"quests.name.magic_impossible","Wieża Magii: poz. niemożliwy"
"quests.name.masquerade","Karnawał Bogów"
"quests.name.mighty_pets","Potężne zwierzaki"
"quests.name.monster_island_horde","Horda potworów"
"quests.name.monster_island_horde_large","Duża horda potworów"
"quests.name.monster_island_horde_large_blue","Duża horda zakamuflowanych jaszczurek"
"quests.name.monster_island_horde_large_green","Duża horda roślinogów"
"quests.name.monster_island_horde_large_purple","Duża horda żukoidów"
"quests.name.monster_island_horde_large_red","Duża horda zakamuflowanych jaszczurek"
"quests.name.monster_island_horde_large_yellow","Duża horda żukoidów"
"quests.name.monster_island_horde_medium","Średnia horda potworów"
"quests.name.monster_island_horde_medium_blue","Średnia horda zakamuflowanych jaszczurek"
"quests.name.monster_island_horde_medium_green","Średnia horda roślinogów"
"quests.name.monster_island_horde_medium_purple","Średnia horda żukoidów"
"quests.name.monster_island_horde_medium_red","Średnia horda zakamuflowanych jaszczurek"
"quests.name.monster_island_horde_medium_yellow","Średnia horda żukoidów"
"quests.name.monster_island_horde_small","Mała horda potworów"
"quests.name.monster_island_horde_small_blue","Mała horda zakamuflowanych jaszczurek"
"quests.name.monster_island_horde_small_green","Mała horda roślinogów"
"quests.name.monster_island_horde_small_purple","Mała horda żukoidów"
"quests.name.monster_island_horde_small_red","Mała horda zakamuflowanych jaszczurek"
"quests.name.monster_island_horde_small_yellow","Mała horda żukoidów"
"quests.name.moths","Noc ćmy"
"quests.name.musketeers","Piękni i odważni"
"quests.name.ninja","Wieża Ninja"
"quests.name.ninja_impossible","Wieża Ninja: poz. niemożliwy"
"quests.name.opera","Tajemnice Opery"
"quests.name.owl","Wieża Sów"
"quests.name.owl_impossible","Wieża Sów: poz. niemożliwy"
"quests.name.recruits","Szukaj rekrutów"
"quests.name.recruits_uncommon","Szukaj rekrutów II"
"quests.name.scavenging","Szukaj zasobów"
"quests.name.shadow_quest","Cienie z Głębin"
"quests.name.slayers","Pogromcy Dzikich Cieni"
"quests.name.spring_2018","Festiwal Doliny Wiosny"
"quests.name.starter","Zadanie początkowe"
"quests.name.styx","Wieża Styksu"
"quests.name.styx_impossible","Wieża Styksu: poz. niemożliwy"
"quests.name.summer_2018","Piaskowe Imperium"
"quests.name.super_class_barbarian","Mistrzowskie próby barbarzyńcy"
"quests.name.super_class_cleric","Mistrzowskie próby kleryka"
"quests.name.super_class_druid","Mistrzowskie próby druida"
"quests.name.super_class_fighter","Mistrzowskie próby wojownika"
"quests.name.super_class_monk","Mistrzowskie próby mnicha"
"quests.name.super_class_paladin","Mistrzowskie próby paladyna"
"quests.name.super_class_ranger","Mistrzowskie próby strażnika lasu"
"quests.name.super_class_rogue","Mistrzowskie próby łotrzyka"
"quests.name.super_class_sorcerer","Mistrzowskie próby czarodzieja"
"quests.name.super_class_wizard","Mistrzowskie próby czarnoksiężnika"
"quests.name.super_elemental","Rywalizacja Żywiołów"
"quests.name.treasure_quest","Misja skarbu"
"quests.name.valentines","Czas na Miłość"
"quests.name.villains","Liga Złoczyńców"
"quests.name.xmas_2017","Ocal zimę"
"quests.name.xmas_2018","Wyzwanie św. Mikołaja"
"quests.name.xp","Zyskaj doświadczenie"
"quests.special_rule.name.assist_dragon_mastery","Mistrzostwo smoka wsparcia"
"quests.special_rule.name.astralelves","Astralne elfy"
"quests.special_rule.name.covenant","Przymierze Czempionów"
"quests.special_rule.name.event_bonus","Premia za bohatera z wydarzenia"
"quests.special_rule.name.family_bonus","Wyróżnione rodziny"
"quests.special_rule.name.goblin","Wioska goblinów"
"quests.special_rule.name.hero_roster_mastery","Mistrzostwo składu bohaterów"
"quests.special_rule.name.magiccurse","Magiczna klątwa"
"quests.special_rule.name.onicurse","Klątwa Oni"
