"quests.name.ancient_dragon","Raiz Profunda"
"quests.name.ascension","Encontre itens de treinamento"
"quests.name.astralelves","Plano Astral"
"quests.name.battle_item","Encontre itens de batalha"
"quests.name.battle_item_uncommon","Encontre itens de batalha II"
"quests.name.beachparty","Festa na Praia"
"quests.name.beowulf","Desafio de Beowulf"
"quests.name.castle","Embate de Cavaleiros"
"quests.name.chess","Evento de Xadrez"
"quests.name.circus","Circo Chuva Estelar"
"quests.name.class_decimate","Provações da Dizimação"
"quests.name.class_fortitude","Provações de Fortitude"
"quests.name.class_inner_peace","Provações da Serenidade"
"quests.name.class_justice","Provações da Justiça"
"quests.name.class_mystic","Provações do Misticismo"
"quests.name.class_nature","Provações da Natureza"
"quests.name.class_piety","Provações da Piedade"
"quests.name.class_shadows","Provações das Sombras"
"quests.name.class_strength","Provações de Força"
"quests.name.class_survivor","Provações de Sobrevivência"
"quests.name.costume_quest1","O Baile de Máscaras"
"quests.name.covenant","Objetivo do Pacto"
"quests.name.covenant_1","Objetivo do Pacto"
"quests.name.covenant_2","Objetivo do Pacto"
"quests.name.crafting","Encontrar materiais de Criação"
"quests.name.crafting_uncommon","Encontrar materiais de Criação II"
"quests.name.dragon_battle_and_crafting","Noite dos Itens"
"quests.name.dragon_cave_classic","Caverna Dracônica"
"quests.name.dragon_dragonlings_and_xp","Resgate os Filhotes de Dragão"
"quests.name.dragon_dragonstone_and_fish","Rio de Recursos"
"quests.name.dragon_element_blue","Caverna da Safira"
"quests.name.dragon_element_extra","Caverna do Arco-Íris"
"quests.name.dragon_element_extra2","Caverna das Joias"
"quests.name.dragon_element_green","Caverna de Jade"
"quests.name.dragon_element_purple","Caverna da Ametista"
"quests.name.dragon_element_red","Caverna do Rubi"
"quests.name.dragon_element_yellow","Caverna de Topázio"
"quests.name.dragon_legendary","Objetivo de dragão lendário"
"quests.name.dragon_scroll","Caverna dos Pergaminhos"
"quests.name.element_blue","Marcha de Gelo"
"quests.name.element_extra","Desfiladeiro de Farholme"
"quests.name.element_extra2","Desfiladeiro de Farholme"
"quests.name.element_green","Bosque do Barrete"
"quests.name.element_purple","Morlóvia"
"quests.name.element_red","Monte Umber"
"quests.name.element_yellow","Deserto de Shiloh"
"quests.name.farmland","Vegetais Vigilantes"
"quests.name.festival","Festival de Desafios I"
"quests.name.festival_b","Festival de Desafios II"
"quests.name.food","Reúna Alimentos"
"quests.name.gargoyles","Santuário dos Gárgulas"
"quests.name.gargoyles2","Retorno ao Santuário"
"quests.name.gem","Colete Gemas"
"quests.name.gem_uncommon","Colete Gemas II"
"quests.name.goblin","Aldeia Goblin"
"quests.name.guestip1","Evento de convidados especiais"
"quests.name.halloween_2018","Volta a Morlóvia"
"quests.name.halloween_2025","Banquete Sanguíneo"
"quests.name.hotm_quest1","Taberna das Lendas"
"quests.name.iron","Minere Ferro"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Sessão de treino de tropas"
"quests.name.limit_breaker_dark","Miragens de Ômega"
"quests.name.limit_breaker_fire","Miragens de Ômega"
"quests.name.limit_breaker_holy","Miragens de Ômega"
"quests.name.limit_breaker_ice","Miragens de Ômega"
"quests.name.limit_breaker_nature","Miragens de Ômega"
"quests.name.lunar_new_year","Ano Novo Lunar"
"quests.name.lunar_new_year_2026","Festival da Fortuna"
"quests.name.magic","Torre da Magia"
"quests.name.magic_impossible","Torre da Magia: Impossível"
"quests.name.masquerade","Carnaval dos Deuses"
"quests.name.mighty_pets","Feras de Estimação"
"quests.name.monster_island_horde","Horda de Monstros"
"quests.name.monster_island_horde_large","Horda de Monstros Grande"
"quests.name.monster_island_horde_large_blue","Horda de Lagartos Camuflados Grande"
"quests.name.monster_island_horde_large_green","Horda de Platopeias Grande"
"quests.name.monster_island_horde_large_purple","Horda de Besouroides Grande"
"quests.name.monster_island_horde_large_red","Horda de Lagartos Camuflados Grande"
"quests.name.monster_island_horde_large_yellow","Horda de Besouroides Grande"
"quests.name.monster_island_horde_medium","Horda de Monstros Média"
"quests.name.monster_island_horde_medium_blue","Horda de Lagartos Camuflados Média"
"quests.name.monster_island_horde_medium_green","Horda de Platopeias Média"
"quests.name.monster_island_horde_medium_purple","Horda de Besouroides Média"
"quests.name.monster_island_horde_medium_red","Horda de Lagartos Camuflados Média"
"quests.name.monster_island_horde_medium_yellow","Horda de Besouroides Média"
"quests.name.monster_island_horde_small","Horda de Monstros Pequena"
"quests.name.monster_island_horde_small_blue","Horda de Lagartos Camuflados Pequena"
"quests.name.monster_island_horde_small_green","Horda de Plantopeias Pequena"
"quests.name.monster_island_horde_small_purple","Horda de Besouroides Pequena"
