"quests.name.ancient_dragon","Древнее Подкоренье"
"quests.name.ascension","Найдите предметы для обучения"
"quests.name.astralelves","Астральный план"
"quests.name.battle_item","Найдите боевое снаряжение"
"quests.name.battle_item_uncommon","Найдите боевое снаряжение II"
"quests.name.beachparty","Пляжная вечеринка"
"quests.name.beowulf","Испытание Беовульфа"
"quests.name.castle","Столкновение рыцарей"
"quests.name.chess","Шахматы"
"quests.name.circus","Звездный цирк"
"quests.name.class_decimate","Испытания Истребления"
"quests.name.class_fortitude","Испытания Силы Духа"
"quests.name.class_inner_peace","Испытания Безмятежности"
"quests.name.class_justice","Испытания Справедливости"
"quests.name.class_mystic","Испытания Мистики"
"quests.name.class_nature","Испытания Природы"
"quests.name.class_piety","Испытания Благочестия"
"quests.name.class_shadows","Испытания Теней"
"quests.name.class_strength","Испытания Силы"
"quests.name.class_survivor","Испытания Выживания"
"quests.name.costume_quest1","Маскарад"
"quests.name.covenant","Заветный квест"
"quests.name.covenant_1","Заветный квест"
"quests.name.covenant_2","Заветный квест"
"quests.name.crafting","Найдите ремесленные материалы"
"quests.name.crafting_uncommon","Найдите ремесленные материалы II"
"quests.name.dragon_battle_and_crafting","Ночь предметов"
"quests.name.dragon_cave_classic","Пещера драконов"
"quests.name.dragon_dragonlings_and_xp","Спасите дракончиков"
"quests.name.dragon_dragonstone_and_fish","Река ресурсов"
"quests.name.dragon_element_blue","Сапфировый грот"
"quests.name.dragon_element_extra","Радужная каверна"
"quests.name.dragon_element_extra2","Самоцветная каверна"
"quests.name.dragon_element_green","Нефритовый грот"
"quests.name.dragon_element_purple","Аметистовый грот"
"quests.name.dragon_element_red","Рубиновый грот"
"quests.name.dragon_element_yellow","Топазовый грот"
"quests.name.dragon_legendary","Квест легендарного дракона"
"quests.name.dragon_scroll","Каверна свитков"
"quests.name.element_blue","Ледяной покров"
"quests.name.element_extra","Фархолмская переправа"
"quests.name.element_extra2","Фархолмская переправа"
"quests.name.element_green","Шрайквуд"
"quests.name.element_purple","Морловия"
"quests.name.element_red","Гора Умбер"
"quests.name.element_yellow","Пустыня Шило"
"quests.name.farmland","Бдительные овощи"
"quests.name.festival","Фестиваль испытаний I"
"quests.name.festival_b","Фестиваль испытаний II"
"quests.name.food","Соберите пищу"
