"quests.name.ancient_dragon","Uråldrig rot"
"quests.name.ascension","Hitta Träningsutrustning"
"quests.name.astralelves","Stjärnplanet"
"quests.name.battle_item","Hitta stridsutrustning"
"quests.name.battle_item_uncommon","Hitta stridsutrustning II"
"quests.name.beachparty","Strandfest"
"quests.name.beowulf","Beowulfs utmaning"
"quests.name.castle","Riddarnas kamp"
"quests.name.circus","Stjärnfallscirkusen"
"quests.name.class_decimate","Decimeringens prövningar"
"quests.name.class_fortitude","Modets prövningar"
"quests.name.class_inner_peace","Lugnets prövningar"
"quests.name.class_justice","Rättvisans prövningar"
"quests.name.class_mystic","Mysticismens prövningar"
"quests.name.class_nature","Naturens prövningar"
"quests.name.class_piety","Fromhetens prövningar"
"quests.name.class_shadows","Skuggornas prövningar"
"quests.name.class_strength","Styrkans prövningar"
"quests.name.class_survivor","Överlevnadens prövningar"
"quests.name.costume_quest1","Maskeraden"
"quests.name.covenant","Förbundsäventyr"
"quests.name.covenant_1","Förbundsäventyr"
"quests.name.covenant_2","Förbundsäventyr"
"quests.name.crafting","Hitta tillverkningsmaterial"
"quests.name.crafting_uncommon","Hitta tillverkningsmaterial II"
"quests.name.dragon_battle_and_crafting","Föremålens natt"
"quests.name.dragon_cave_classic","Drakgrottan"
"quests.name.dragon_dragonlings_and_xp","Rädda drakungar"
"quests.name.dragon_dragonstone_and_fish","Resursernas flod"
"quests.name.dragon_element_blue","Safirgrotta"
"quests.name.dragon_element_extra","Regnbågsgrotta"
"quests.name.dragon_element_extra2","Smyckesgrotta"
"quests.name.dragon_element_green","Jadegrotta"
"quests.name.dragon_element_purple","Ametistgrotta"
"quests.name.dragon_element_red","Rubingrotta"
"quests.name.dragon_element_yellow","Topasgrotta"
"quests.name.dragon_legendary","Legendariska drakuppdrag"
"quests.name.dragon_scroll","Skriftrullegrotta"
"quests.name.element_blue","Frostträsket"
"quests.name.element_extra","Farholmepasset"
"quests.name.element_extra2","Farholmepasset"
"quests.name.element_green","Törnskogen"
"quests.name.element_purple","Morlovien"
"quests.name.element_red","Umbraberget"
"quests.name.element_yellow","Shilohöknen"
"quests.name.festival","Utmaningsfestivalen I"
"quests.name.festival_b","Utmaningsfestivalen II"
"quests.name.food","Samla Mat"
"quests.name.gargoyles","Groteskernas fristad"
"quests.name.gargoyles2","Återkomsten till fristaden"
"quests.name.gem","Samla Ädelstenar"
"quests.name.gem_uncommon","Samla Ädelstenar II"
"quests.name.goblin","Svartalfsbyn"
"quests.name.guestip1","Specialgästevenemang"
"quests.name.halloween_2018","Återvänd till Morlovien"
"quests.name.halloween_2025","Blodfesten"
"quests.name.hotm_quest1","Legendernas värdshus"
"quests.name.iron","Bryt Järn"
"quests.name.kalevala","Kalevala"
"quests.name.legendary_troop","Legendernas barack"
"quests.name.limit_breaker_dark","Omegas hägringar"
"quests.name.limit_breaker_fire","Omegas hägringar"
"quests.name.limit_breaker_holy","Omegas hägringar"
"quests.name.limit_breaker_ice","Omegas hägringar"
"quests.name.limit_breaker_nature","Omegas hägringar"
"quests.name.lunar_new_year","Gott nytt år"
"quests.name.magic","Magitornet"
"quests.name.magic_impossible","Magitornet: Omöjligt"
"quests.name.masquerade","Gudarnas karneval"
"quests.name.mighty_pets","Mäktiga djur"
"quests.name.monster_island_horde","Monsterhord"
"quests.name.monster_island_horde_large","Stor monsterhord"
"quests.name.monster_island_horde_large_blue","Stor kamouflödlehord"
"quests.name.monster_island_horde_large_green","Stor växtfotingshord"
"quests.name.monster_island_horde_large_purple","Stor beetloid-hord"
"quests.name.monster_island_horde_large_red","Stor kamouflödlehord"
"quests.name.monster_island_horde_large_yellow","Stor beetloid-hord"
"quests.name.monster_island_horde_medium","Medelstor monsterhord"
"quests.name.monster_island_horde_medium_blue","Medelstor kamouflödlehord"
"quests.name.monster_island_horde_medium_green","Medelstor växtfotingshord"
"quests.name.monster_island_horde_medium_purple","Medelstor beetloid-hord"
"quests.name.monster_island_horde_medium_red","Medelstor kamouflödlehord"
"quests.name.monster_island_horde_medium_yellow","Medelstor beetloid-hord"
"quests.name.monster_island_horde_small","Liten monsterhord"
"quests.name.monster_island_horde_small_blue","Liten kamouflödlehord"
"quests.name.monster_island_horde_small_green","Liten växtfotingshord"
"quests.name.monster_island_horde_small_purple","Liten beetloid-hord"
"quests.name.monster_island_horde_small_red","Liten kamouflödlehord"
"quests.name.monster_island_horde_small_yellow","Liten beetloid-hord"
"quests.name.moths","Malens natt"
"quests.name.musketeers","De modiga och de vackra"
"quests.name.ninja","Ninjatornet"
"quests.name.ninja_impossible","Ninjatornet: Omöjligt"
"quests.name.opera","Operans hemligheter"
"quests.name.owl","Uggletornet"
"quests.name.owl_impossible","Uggletornet: Omöjligt"
"quests.name.recruits","Hitta Rekryter"
"quests.name.recruits_uncommon","Hitta Rekryter II"
"quests.name.scavenging","Leta Resurser"
"quests.name.shadow_quest","Skuggor i djupet"
"quests.name.slayers","De grymma skuggornas dräpare"
"quests.name.spring_2018","Springvale-festival"
"quests.name.starter","Startäventyr"
"quests.name.styx","Styx torn"
"quests.name.styx_impossible","Styx torn: Omöjligt"
"quests.name.summer_2018","Sandimperiet"
"quests.name.super_class_barbarian","Barbarmästarens prövningar"
"quests.name.super_class_cleric","Prästmästarens prövningar"
"quests.name.super_class_druid","Druidmästarens prövningar"
"quests.name.super_class_fighter","Kämpemästarens prövningar"
"quests.name.super_class_monk","Munkmästarens prövningar"
"quests.name.super_class_paladin","Paladinmästarens prövningar"
"quests.name.super_class_ranger","Skyttmästarens prövningar"
"quests.name.super_class_rogue","Tjuvmästarens prövningar"
"quests.name.super_class_sorcerer","Häxmästarens prövningar"
"quests.name.super_class_wizard","Trollkarlsmästarens prövningar"
"quests.name.super_elemental","Elementtävling"
"quests.name.treasure_quest","Skattäventyr"
"quests.name.valentines","Kärlekens tid"
"quests.name.villains","Skurkarnas förbund"
"quests.name.xmas_2017","Rädda vintern"
"quests.name.xmas_2018","Tomtens utmaning"
"quests.name.xp","Skaffa Erfarenhet"
"quests.special_rule.name.assist_dragon_mastery","Hjälpdrakebemästring"
"quests.special_rule.name.astralelves","Stjärnalver"
"quests.special_rule.name.covenant","Mästarnas förbund"
"quests.special_rule.name.event_bonus","Evenemangshjältebonus"
"quests.special_rule.name.family_bonus","Utvalda familjer"
"quests.special_rule.name.goblin","Svartalfsbyn"
"quests.special_rule.name.hero_roster_mastery","Bemästring av hjälteteam"
"quests.special_rule.name.magiccurse","Magisk förbannelse"
"quests.special_rule.name.onicurse","Oniförhäxning"
