"quests.name.ancient_dragon","遠古地根"
"quests.name.ascension","找到訓練物品"
"quests.name.astralelves","星界"
"quests.name.battle_item","找到戰鬥物品"
"quests.name.battle_item_uncommon","找到戰鬥物品 II"
"quests.name.beachparty","海灘派對"
"quests.name.beowulf","貝武夫的挑戰"
"quests.name.castle","騎士衝突"
"quests.name.circus","星隕馬戲團"
"quests.name.class_decimate","絕殺試煉"
"quests.name.class_fortitude","堅毅試煉"
"quests.name.class_inner_peace","靜謐試煉"
"quests.name.class_justice","正義試煉"
"quests.name.class_mystic","神秘試煉"
"quests.name.class_nature","自然試煉"
"quests.name.class_piety","虔誠試煉"
"quests.name.class_shadows","暗影試煉"
"quests.name.class_strength","力量試煉"
"quests.name.class_survivor","生存試煉"
"quests.name.costume_quest1","假面舞會"
"quests.name.covenant","聖約任務"
"quests.name.covenant_1","聖約任務"
"quests.name.covenant_2","聖約任務"
"quests.name.crafting","找出鍛造材料"
"quests.name.crafting_uncommon","找出鍛造材料 II"
"quests.name.dragon_battle_and_crafting","物品之夜"
"quests.name.dragon_cave_classic","巨龍洞穴"
"quests.name.dragon_dragonlings_and_xp","營救幼龍"
"quests.name.dragon_dragonstone_and_fish","資源之河"
"quests.name.dragon_element_blue","藍寶石洞窟"
"quests.name.dragon_element_extra","彩虹洞窟"
"quests.name.dragon_element_extra2","珠寶洞窟"
"quests.name.dragon_element_green","翡翠洞窟"
"quests.name.dragon_element_purple","紫晶洞窟"
"quests.name.dragon_element_red","紅寶石洞窟"
"quests.name.dragon_element_yellow","黃玉洞窟"
"quests.name.dragon_legendary","傳奇巨龍任務"
"quests.name.dragon_scroll","捲軸洞窟"
"quests.name.element_blue","冰霜遠征"
"quests.name.element_extra","法霍姆山口"
"quests.name.element_extra2","法霍姆山口"
"quests.name.element_green","伯勞木"
"quests.name.element_purple","莫洛維亞"
"quests.name.element_red","棕土之山"
"quests.name.element_yellow","夏伊洛沙漠"
"quests.name.festival","挑戰節I"
"quests.name.festival_b","挑戰節II"
"quests.name.food","收集食物"
"quests.name.gargoyles","石像鬼聖殿"
"quests.name.gargoyles2","返回聖殿"
"quests.name.gem","收集寶石"
"quests.name.gem_uncommon","收集寶石 II"
"quests.name.goblin","哥布林村"
