"quests.name.ancient_dragon","Kadim Yer Altı Kökü"
"quests.name.ascension","Eğitim Nesneleri bul"
"quests.name.astralelves","Astral Düzlem"
"quests.name.battle_item","Savaş Nesneleri bul"
"quests.name.battle_item_uncommon","Savaş Nesneleri bul II"
"quests.name.beachparty","Plaj Partisi"
"quests.name.beowulf","Beowulf'un Mücadelesi"
"quests.name.castle","Şövalyelerin Çarpışması"
"quests.name.circus","Yıldız Kayması Sirki"
"quests.name.class_decimate","Katliam Denemeleri"
"quests.name.class_fortitude","Cesaret Denemeleri"
"quests.name.class_inner_peace","Huzur Denemeleri"
"quests.name.class_justice","Adalet Denemeleri"
"quests.name.class_mystic","Mistisizm Denemeleri"
"quests.name.class_nature","Doğa Denemeleri"
"quests.name.class_piety","Saygı Denemeleri"
"quests.name.class_shadows","Gölge Denemeleri"
"quests.name.class_strength","Güç Denemeleri"
"quests.name.class_survivor","Hayatta Kalma Denemeleri"
"quests.name.costume_quest1","Maskeli Balo"
"quests.name.covenant","Pakt Görevi"
"quests.name.covenant_1","Pakt Görevi"
"quests.name.covenant_2","Pakt Görevi"
"quests.name.crafting","Üretim Malzemeleri bul"
"quests.name.crafting_uncommon","Üretim Malzemeleri bul II"
"quests.name.dragon_battle_and_crafting","Nesne Gecesi"
"quests.name.dragon_cave_classic","Ejderha Mağarası"
"quests.name.dragon_dragonlings_and_xp","Ejderha Yavrularını kurtar"
"quests.name.dragon_dragonstone_and_fish","Kaynak Gölü"
"quests.name.dragon_element_blue","Safir Mağarası"
"quests.name.dragon_element_extra","Gökkuşağı Mağarası"
"quests.name.dragon_element_extra2","Mücevher Mağarası"
"quests.name.dragon_element_green","Yeşim Mağarası"
"quests.name.dragon_element_purple","Ametist Mağarası"
"quests.name.dragon_element_red","Yakut Mağarası"
"quests.name.dragon_element_yellow","Topaz Mağarası"
"quests.name.dragon_legendary","Efsanevi Ejderha Görevi"
"quests.name.dragon_scroll","Parşömen Mağarası"
"quests.name.element_blue","Ayaz Yürüyüşü"
"quests.name.element_extra","Farholme Geçidi"
"quests.name.element_extra2","Farholme Geçidi"
"quests.name.element_green","Shrikewood"
"quests.name.element_purple","Morlovia"
"quests.name.element_red","Ombra Dağı"
"quests.name.element_yellow","Shiloh Çölü"
"quests.name.festival","Mücadele Festivali I"
"quests.name.festival_b","Mücadele Festivali II"
"quests.name.food","Gıda topla"
"quests.name.gargoyles","Yaratık Sığınağı"
"quests.name.gargoyles2","Sığınağa Dönüş"
"quests.name.gem","Mücevher topla"
"quests.name.gem_uncommon","Mücevher Topla II"
"quests.name.goblin","Goblin Köyü"
"quests.name.guestip1","Özel Konuk Etkinliği"
"quests.name.halloween_2018","Morlovia'ya geri dön"
"quests.name.halloween_2025","Kan Kırmızısı Ziyafet"
"quests.name.hotm_quest1","Efsaneler Tavernası"
"quests.name.iron","Maden demiri"
"quests.name.kalevala","Kalevala"
"quests.name.limit_breaker_dark","Omega Serapları"
"quests.name.limit_breaker_fire","Omega Serapları"
"quests.name.limit_breaker_holy","Omega Serapları"
"quests.name.limit_breaker_ice","Omega Serapları"
"quests.name.limit_breaker_nature","Omega Serapları"
"quests.name.lunar_new_year","Ay Yeni Yılı"
"quests.name.magic","Büyü Kulesi"
"quests.name.magic_impossible","Büyü Kulesi: İmkansız"
"quests.name.masquerade","Tanrılar Karnavalı"
"quests.name.mighty_pets","Güçlü Evcil Hayvanlar"
"quests.name.monster_island_horde","Canavar Sürüsü"
"quests.name.monster_island_horde_large","Büyük Canavar Sürüsü"
"quests.name.monster_island_horde_large_blue","Büyük Kamuflajlı Kertenkele Sürüsü"
"quests.name.monster_island_horde_large_green","Büyük Bitki Çıyanı Sürüsü"
"quests.name.monster_island_horde_large_purple","Büyük Böcekoid Sürüsü"
"quests.name.monster_island_horde_large_red","Büyük Kamuflajlı Kertenkele Sürüsü"
"quests.name.monster_island_horde_large_yellow","Büyük Böcekoid Sürüsü"
"quests.name.monster_island_horde_medium","Orta Canavar Sürüsü"
"quests.name.monster_island_horde_medium_blue","Orta Kamuflajlı Kertenkele Sürüsü"
"quests.name.monster_island_horde_medium_green","Orta Bitki Çıyanı Sürüsü"
"quests.name.monster_island_horde_medium_purple","Orta Böcekoid Sürüsü"
"quests.name.monster_island_horde_medium_red","Orta Kamuflajlı Kertenkele Sürüsü"
"quests.name.monster_island_horde_medium_yellow","Orta Böcekoid Sürüsü"
"quests.name.monster_island_horde_small","Küçük Canavar Sürüsü"
"quests.name.monster_island_horde_small_blue","Küçük Kamuflajlı Kertenkele Sürüsü"
"quests.name.monster_island_horde_small_green","Küçük Bitki Çıyanı Sürüsü"
"quests.name.monster_island_horde_small_purple","Küçük Böcekoid Sürüsü"
"quests.name.monster_island_horde_small_red","Küçük Kamuflajlı Kertenkele Sürüsü"
"quests.name.monster_island_horde_small_yellow","Küçük Böcekoid Sürüsü"
"quests.name.moths","Güve Gecesi"
"quests.name.musketeers","Cesur ve Güzel"
"quests.name.ninja","Ninja Kulesi"
"quests.name.ninja_impossible","Büyü Kulesi: İmkansız"
"quests.name.opera","Operanın Sırları"
