"specials.name.a_cozy_break","舒适小憩"
"specials.name.a_moment_of_joy","顷刻欢乐"
"specials.name.a_rare_cultivar","稀有品种"
"specials.name.abiding_dogma","永恒信条"
"specials.name.absorbed_underlings","吸纳喽啰"
"specials.name.absordium_deflectors","汲金防护罩"
"specials.name.abyssal_incantation","深渊魔咒"
"specials.name.accelerated_growth","加速增长"
"specials.name.aces_high","至高至强"
"specials.name.acid_bite","腐蚀撕咬"
"specials.name.acoustic_surge","音浪"
"specials.name.acute_cut","锋锐切割"
"specials.name.adamantite_claw","金刚利爪"
"specials.name.adamantium_horn","金刚角"
"specials.name.adorable_beam","卡通光束"
"specials.name.adorable_bolt","卡通闪电"
"specials.name.adorable_burning_strike","卡通火焰攻击"
"specials.name.adorable_cold_blast","卡通暴风雪"
"specials.name.adorable_entangling_shot","卡通梦幻射击"
"specials.name.adorable_four_blades","卡通四刃斩"
"specials.name.adorable_gamblers_stance","卡通姿态"
"specials.name.adorable_hammer","卡通之锤"
"specials.name.adorable_have_faith","卡通信仰"
"specials.name.adorable_heal","卡通治疗"
"specials.name.adorable_massive_chop","卡通梦幻斩击"
"specials.name.adorable_pest","迷人害虫"
"specials.name.adorable_piercing_strike","卡通之力猛击"
"specials.name.adorable_pulverizer","卡通粉碎者"
"specials.name.adorable_purification","卡通净化"
"specials.name.adorable_ramming_rush","卡通梦幻突袭"
"specials.name.adorable_ramming_rush_isshtak","卡通突袭"
"specials.name.adorable_shatter","卡通碎裂"
"specials.name.adorable_shield","卡通之盾"
"specials.name.adorable_skin","卡通皮肤"
"specials.name.adorable_sonic_wall","卡通障壁"
"specials.name.adorable_spear","卡通之矛"
"specials.name.adorable_strike","卡通之击"
"specials.name.adorable_swords","卡通剑墙"
"specials.name.adorable_tactical_cut","卡通梦幻切割"
"specials.name.adorable_wind_prayer","卡通祷告"
"specials.name.adventure_awaits","冒险之旅即将启程！"
"specials.name.advice_from_beyond","来自远方的建议"
"specials.name.aerial_abduction","空中劫持"
"specials.name.aerial_capture","空中捕捉"
"specials.name.aether_mimic_bite_blue","渴望之咬"
"specials.name.aether_mimic_bite_green","渴望之咬"
"specials.name.aether_mimic_bite_purple","渴望之咬"
"specials.name.aether_mimic_bite_red","渴望之咬"
"specials.name.aether_mimic_bite_yellow","渴望之咬"
"specials.name.age_old_antlers","古老鹿角"
"specials.name.aggravating_gaze","激怒凝视"
"specials.name.alchemy_experiment","炼金实验"
"specials.name.alpha_roar","首领咆哮"
"specials.name.amazing_deals","超值优惠"
"specials.name.amazing_deals_clearance_sale","清仓甩卖"
"specials.name.amazing_deals_dull_swords","钝剑"
"specials.name.amazing_deals_questionable_snake_oil","可疑蛇油"
"specials.name.amphibian_sword_sting","两栖剑刺"
"specials.name.amphibious_assault","两栖突击"
"specials.name.ancient_dragon_sword","远古巨龙之剑"
"specials.name.ancient_enchantment","上古魔咒"
"specials.name.ancient_flames","远古火焰"
"specials.name.ancient_martial_arts","远古武术"
"specials.name.ancient_mirror","先祖镜子"
