"specials.name.a_cozy_break","En hyggelig pause"
"specials.name.a_moment_of_joy","Et øjebliks glæde"
"specials.name.a_rare_cultivar","En sjæden kultivar"
"specials.name.abiding_dogma","Holder sig til dogmerne"
"specials.name.absorbed_underlings","Absorberede underordnede"
"specials.name.absordium_deflectors","Absordium-afledere"
"specials.name.abyssal_incantation","Dybets besværgelse"
"specials.name.accelerated_growth","Accelereret vækst"
"specials.name.aces_high","Es i ærmet"
"specials.name.acid_bite","Ætsende bid"
"specials.name.acoustic_surge","Akustisk bølge"
"specials.name.acute_cut","Alvorligt snitsår"
"specials.name.adamantite_claw","Adamantklo"
"specials.name.adamantium_horn","Urokkeligt horn"
"specials.name.adorable_beam","Tegneseriestråle"
"specials.name.adorable_bolt","Tegneserielyn"
"specials.name.adorable_burning_strike","Tegneserie-brandangreb"
"specials.name.adorable_cold_blast","Tegneseriesnestorm"
"specials.name.adorable_entangling_shot","Tegnetastisk skud"
"specials.name.adorable_four_blades","De fire tegnede slag"
"specials.name.adorable_gamblers_stance","Tegneseriestilling"
"specials.name.adorable_hammer","Tegneseriehammer"
"specials.name.adorable_have_faith","Tegneseriefigurens tro"
"specials.name.adorable_heal","Tegneseriehelbredelse"
"specials.name.adorable_massive_chop","Tegnetastisk hak"
"specials.name.adorable_pest","Nuttet skadedyr"
"specials.name.adorable_piercing_strike","Tegneserieangreb"
"specials.name.adorable_pulverizer","Tegne-knuser"
"specials.name.adorable_purification","Tegnificeret"
"specials.name.adorable_ramming_rush","Tegnetastisk sus"
"specials.name.adorable_ramming_rush_isshtak","Tegneseriespurt"
"specials.name.adorable_shatter","Tegneknuser"
"specials.name.adorable_shield","Tegneserieskjold"
"specials.name.adorable_skin","Tegnet skin"
"specials.name.adorable_sonic_wall","Tegnemur"
"specials.name.adorable_spear","Tegneserie-spyd"
"specials.name.adorable_strike","Tegneserieangreb"
"specials.name.adorable_swords","Mur af tegneseriefigurer"
"specials.name.adorable_tactical_cut","Tegnetastisk snit"
"specials.name.adorable_wind_prayer","Tegnebøn"
"specials.name.adventure_awaits","Eventyret venter!"
"specials.name.advice_from_beyond","Gode råd fra det hinsides"
"specials.name.aerial_abduction","Luftkidnapning"
"specials.name.aerial_capture","Luftfangst"
"specials.name.aerial_ram","Luftvædder"
"specials.name.aether_mimic_bite_blue","Hungrende haps"
"specials.name.aether_mimic_bite_green","Hungrende haps"
"specials.name.aether_mimic_bite_purple","Hungrende haps"
"specials.name.aether_mimic_bite_red","Hungrende haps"
"specials.name.aether_mimic_bite_yellow","Hungrende haps"
"specials.name.age_old_antlers","Ældgammelt gevir"
"specials.name.aggravating_gaze","Skærpende blik"
"specials.name.alchemy_experiment","Alkymiforsøg"
"specials.name.alpha_roar","Alfabrøl"
"specials.name.amazing_deals","Fantastiske tilbud"
"specials.name.amazing_deals_clearance_sale","Udsalg"
"specials.name.amazing_deals_dull_swords","Sløve sværd"
"specials.name.amazing_deals_questionable_snake_oil","Mistænkelig slangeolie"
"specials.name.amphibian_sword_sting","Paddesværdsstik"
"specials.name.amphibious_assault","Vandangreb"
"specials.name.ancient_dragon_sword","Ældgammelt dragesværd"
"specials.name.ancient_enchantment","Gammel trolddom"
"specials.name.ancient_flames","Fordums flammer"
"specials.name.ancient_martial_arts","Gammel kampsport"
"specials.name.ancient_mirror","Forhistorisk spejl"
"specials.name.ancient_ritual","Urgammelt ritual"
"specials.name.ancient_spell","Gammel besværgelse"
"specials.name.ancient_technology","Ældgammel teknologi"
"specials.name.ancient_vengeance","Oldgammel hævn"
"specials.name.anger_of_forest","Skovens vrede"
"specials.name.anger_of_the_jester","Narrens vrede"
"specials.name.anger_of_the_woods","Skovens vrede"
"specials.name.anger_of_the_woods_pve","Skovens vrede"
"specials.name.angry_boar","Rasende bjørn"
"specials.name.angry_boar_pve","Rasende bjørn"
"specials.name.anthem_of_the_lake","Søens sang"
"specials.name.aphotic_maw","Det afotiske dyb"
"specials.name.aphotic_whisper","Afotisk hvisken"
"specials.name.apothecary_kit","Apotekersæt"
"specials.name.aquatic_dance","Vanddans"
"specials.name.aquatic_outbreak","Vandudbrud"
"specials.name.arcane_blast","Mystisk eksplosion"
"specials.name.arcane_shock","Magisk chok"
"specials.name.archaic_dread","Arkaisk rædsel"
"specials.name.archaic_sacred_symbol","Arkaisk helligt symbol"
"specials.name.arctic_breeze","Arktisk brise"
"specials.name.arctic_guard","Arktisk vogter"
"specials.name.arctic_veil","Arktisk slør"
"specials.name.arctic_wound","Arktisk sår"
"specials.name.arrow_of_desire","Begærets pil"
"specials.name.arrow_of_nujalik","Nujaliks pil"
"specials.name.arrows_and_claws","Pile og kløer"
"specials.name.arrows_of_altruism_liora","Altruismens pile"
"specials.name.arrows_of_frost","Frostpile"
"specials.name.arrows_of_fury","Vredens pile"
"specials.name.artful_backstab","Kunstfærdig kniv i ryggen"
"specials.name.artful_recreation","Helbredende mesterværk"
"specials.name.artisans_shot","Kunsthåndværkerens skud"
"specials.name.ashes_to_ashes","Aske til aske"
"specials.name.assassins_blades","Snigmorderens klinger"
"specials.name.assassins_in_the_night","Nattens snigmordere"
"specials.name.assassins_in_the_night_pve","Nattens snigmordere"
"specials.name.asterius","Brutalt tyreløb"
"specials.name.astral_assistance","Astral-assistance"
"specials.name.astral_brew","Astral-bryg"
"specials.name.astral_dominion","Astralmagt"
"specials.name.astral_gemstones","Astrale ædelsten"
"specials.name.astral_myrrh","Astralmyrra"
"specials.name.astral_orb","Astralkugle"
"specials.name.astral_pastries","Astralkager"
"specials.name.astral_provocation","Astralprovokation"
"specials.name.astral_summon","Astralhidkaldelse"
"specials.name.athenas_arrow","Athenas pil"
"specials.name.athenas_bow","Athenas bue"
"specials.name.atlantean_blade","Atlantissværd"
"specials.name.atlantean_blade_costume","Atlantisklinge"
"specials.name.atlantean_charge","Atlantisangreb"
"specials.name.atlantean_toon_spear","Atlantisk tegneseriespyd"
"specials.name.atlantean_toon_sword","Atlantisk tegneseriesværd"
"specials.name.attack_rally","Angrebsråb"
"specials.name.aura_of_twilight","Tusmørkets aura"
"specials.name.aura_wave","Aurabølge"
"specials.name.autumnal_wind","Efterårsbrise"
"specials.name.avenger_of_mothkind","Mølhævneren"
"specials.name.awaken_ki","Væk ki"
"specials.name.awe_bolt","Giftlyn"
"specials.name.axe_of_retribution","Gengældelsesøksen"
"specials.name.axe_throw","Øksekast"
"specials.name.azurelight_greatsword","Azurblåt sværd"
"specials.name.backstab","Dolk i ryggen"
"specials.name.bad_fortune","Ulykke"
"specials.name.bag_of_necessities","Pose med fornødenheder"
"specials.name.bagh_nakh_thrust","Bagh nakh-stød"
"specials.name.bakers_baguettes","Bageren flute"
"specials.name.balanced_teamwork","Balanceret holdarbejde"
"specials.name.ballad_of_attraction","Tiltrækningens sang"
"specials.name.ballad_of_condemnation","Fordømmelsens sang"
"specials.name.ballad_of_obsession","Besættelsessangen"
"specials.name.ballad_of_pain","Smertens sang"
"specials.name.ballad_of_passion","Lidenskabens sang"
"specials.name.ballad_of_purple_swan","Den mørke svanes sang"
"specials.name.ballad_of_restoration","Genoprettelsesballade"
"specials.name.ballad_of_the_purple_swan","Den mørke svanes sang"
"specials.name.bandalore_dance","Bandalore-dans"
"specials.name.barb_sting_dragon_pve","Brodstik"
"specials.name.barbed_arrows","Pigtrådspile"
"specials.name.barbed_bolt_zidane","Bolt med modhager"
"specials.name.bark_of_protection","Beskyttelsesbark"
"specials.name.basilisk_breath","Basilisk-ånde"
"specials.name.battering_ram","Rambuk"
"specials.name.battle_boast","Kamppral"
"specials.name.battleclaw_strike","Kampklokrads"
"specials.name.beach_party","Strandfest"
"specials.name.beautiful_petals","Smukke blade"
"specials.name.bee_bombast","Bi-bombast"
"specials.name.bee_bravado","Bi-bravado"
"specials.name.beetle_strike","Billeslag"
"specials.name.berserker_strike","Bersærkerangreb"
"specials.name.bewildering_riddle","Vildledende gåde"
"specials.name.bewitched_daggers","Forheksede dolke"
"specials.name.binding_contract","Bindende kontrakt"
"specials.name.birch_blessing","Birkevelsignelse"
"specials.name.bite_of_protection","Beskyttelsesbid"
"specials.name.bites_of_disorientation","Desorienteringsbid"
"specials.name.bitter_berry_blast_dragon_pve","Bitter bæreksplosion"
"specials.name.bizarre_mist","Bizar tåge"
"specials.name.black_tassel_spear_sting","Sortkvastens spydstik"
"specials.name.black_tide","Sort tidevand"
"specials.name.blade_barrage","Klingebombardement"
"specials.name.blade_dance","Klinger på dansegulvet"
"specials.name.blade_of_betrayal","Svigens klinge"
"specials.name.blade_of_bundelkhand","Klinge fra Bundelkhand"
"specials.name.blade_of_horrid_affliction","Den skrækkelige lidelses kniv"
"specials.name.blade_tail_swipe","Klingens halepisk"
"specials.name.blade_venom","Giftklinger"
"specials.name.blade_wings","Klingevinger"
"specials.name.blazing_beak","Flammenæb"
"specials.name.blazing_corolla","Brændende kronblade"
"specials.name.blazing_inferno","Flammehav"
"specials.name.blazing_rave_dance","Flammende ravedance"
"specials.name.blazing_slam_dunk","Brændende slam dunk"
"specials.name.blazing_venom","Blussende edder"
"specials.name.bleed_inducing_daggers","Dolke med bløderskade"
"specials.name.bleeding_edge","Blødende kant"
"specials.name.bleeding_hammer","Blødende hammer"
"specials.name.bleeding_stab","Blødende stik"
"specials.name.bleeding_thrust","Blødende stød"
"specials.name.blessed_blade","Velsignede sværd"
"specials.name.blessed_blade_pve","Velsignede sværd"
"specials.name.blessed_brew","Hellig bryg"
"specials.name.blessed_solo","Hellig solo"
"specials.name.blessed_tankard","Velsignet sejdel"
"specials.name.blessing_from_the_future","Velsignelse fra fremtiden"
"specials.name.blessing_of_gjallarhorn","Gjallarhornet velsignelse"
"specials.name.blessing_of_the_evergrove","Eviglundens velsignelse"
"specials.name.blessing_of_the_skies","Himlens velsignelse"
"specials.name.blind_rage","Balstyrisk vrede"
"specials.name.blinding_attack","Blændeangreb"
"specials.name.blinding_curse","Blændende forbandelse"
"specials.name.blinding_flash","Blændende lyn"
"specials.name.blinding_flash_s4","Blændende lyn"
"specials.name.blinding_injustice","Blindende uretfærdighed"
"specials.name.blinding_knowledge","Blændende viden"
"specials.name.blinding_light","Blændende lys"
"specials.name.blinding_orb","Blændende kugle"
"specials.name.blinding_pounce","Blændende angreb"
"specials.name.blinding_spell","Blændende besværgelse"
"specials.name.blinding_spit","Blændende spyt"
"specials.name.blinding_stinger","Blændende brod"
"specials.name.blinding_strike","Blændende angreb"
"specials.name.blinding_wisdom","Blændende visdom"
"specials.name.blizzard","Snestorm"
"specials.name.blizzard_roar","Snestormsbrøl"
"specials.name.blob_of_fury","Vredens klat"
"specials.name.blood_illusion","Blodillusion"
"specials.name.blood_petals_of_the_withered","Blodige kronblade"
"specials.name.blood_sacrifice","Blodslag"
"specials.name.bloodthirst","Blodtørst"
"specials.name.blooming_growth","Blomstrende vækst"
"specials.name.bludgeoning","Prygl"
"specials.name.blue_lizard_charge","Blåt Camo Lizard-angreb"
"specials.name.blue_shroom_wand","Blå svampetryllestave"
"specials.name.blur_of_steel","Klingekryds"
"specials.name.blur_of_steel_pve","Klingekryds"
