"specials.name.a_cozy_break","A Cozy Break"
"specials.name.a_moment_of_joy","A Moment of Joy"
"specials.name.a_rare_cultivar","A Rare Cultivar"
"specials.name.abiding_dogma","Abiding Dogma"
"specials.name.absorbed_underlings","Absorbed Underlings"
"specials.name.absordium_deflectors","Absordium Deflectors"
"specials.name.abyssal_incantation","Abyssal Incantation"
"specials.name.accelerated_growth","Accelerated Growth"
"specials.name.aces_high","Aces High"
"specials.name.acid_bite","Corrosive Bite"
"specials.name.acoustic_surge","Acoustic Surge"
"specials.name.acute_cut","Acute Cut"
"specials.name.adamantite_claw","Adamantite Claw"
"specials.name.adamantium_horn","Adamantium Horn"
"specials.name.adorable_beam","Toon Beam"
"specials.name.adorable_bolt","Toon Bolt"
"specials.name.adorable_burning_strike","Toonfire Strike"
"specials.name.adorable_cold_blast","Toon Blizzard"
"specials.name.adorable_entangling_shot","Toontastic Shot"
"specials.name.adorable_four_blades","Slash of Four Toons"
"specials.name.adorable_gamblers_stance","Toon Stance"
"specials.name.adorable_hammer","Toon Hammer"
"specials.name.adorable_have_faith","Toon's Faith"
"specials.name.adorable_heal","Toon Heal"
"specials.name.adorable_massive_chop","Toontastic Chop"
"specials.name.adorable_pest","Adorable Pest"
"specials.name.adorable_piercing_strike","Toonpower Strike"
"specials.name.adorable_pulverizer","Toon Pulverizer"
"specials.name.adorable_purification","Toonification"
"specials.name.adorable_ramming_rush","Toontastic Rush"
"specials.name.adorable_ramming_rush_isshtak","Toon Rush"
"specials.name.adorable_shatter","Toon Shatter"
"specials.name.adorable_shield","Toon Shield"
"specials.name.adorable_skin","Toon Skin"
"specials.name.adorable_sonic_wall","Toon Wall"
"specials.name.adorable_spear","Toon Spear"
"specials.name.adorable_strike","Toonstrike"
"specials.name.adorable_swords","Wall of Toons"
"specials.name.adorable_tactical_cut","Toontastic Cut"
"specials.name.adorable_wind_prayer","Toon Prayer"
"specials.name.adventure_awaits","Adventure Awaits!"
"specials.name.advice_from_beyond","Advice from Beyond"
"specials.name.aerial_abduction","Aerial Abduction"
"specials.name.aerial_capture","Aerial Capture"
"specials.name.aether_mimic_bite_blue","Craving Nip"
"specials.name.aether_mimic_bite_green","Craving Nip"
"specials.name.aether_mimic_bite_purple","Craving Nip"
"specials.name.aether_mimic_bite_red","Craving Nip"
"specials.name.aether_mimic_bite_yellow","Craving Nip"
"specials.name.age_old_antlers","Age-Old Antlers"
"specials.name.aggravating_gaze","Aggravating Gaze"
