"specials.name.a_cozy_break","Un merecido descanso"
"specials.name.a_moment_of_joy","Un momento feliz"
"specials.name.a_rare_cultivar","Una variedad rara"
"specials.name.abiding_dogma","Dogma pertinaz"
"specials.name.absorbed_underlings","Comparsa absorbida"
"specials.name.absordium_deflectors","Deflectores de absordium"
"specials.name.abyssal_incantation","Hechizo abisal"
"specials.name.accelerated_growth","Crecimiento acelerado"
"specials.name.aces_high","Todo un as"
"specials.name.acid_bite","Mordisco corrosivo"
"specials.name.acoustic_surge","Aluvión acústico"
"specials.name.acute_cut","Corte profundo"
"specials.name.adamantite_claw","Garra adamantina"
"specials.name.adamantium_horn","Cuerno de adamantio"
"specials.name.adorable_beam","Rayo caricaturesco"
"specials.name.adorable_bolt","Virote de caricatura"
"specials.name.adorable_burning_strike","Golpe ardiente de caricatura"
"specials.name.adorable_cold_blast","Ventisca caricaturesca"
"specials.name.adorable_entangling_shot","Tiro caricaturesco"
"specials.name.adorable_four_blades","Sablazo de cuatro caricaturas"
"specials.name.adorable_gamblers_stance","Actitud caricaturesca"
"specials.name.adorable_hammer","Martillo de caricatura"
"specials.name.adorable_have_faith","Fe de caricatura"
"specials.name.adorable_heal","Curación de caricatura"
"specials.name.adorable_massive_chop","Golpe masivo de caricatura"
"specials.name.adorable_pest","Plaga adorable"
"specials.name.adorable_piercing_strike","Golpe punzante de caricatura"
"specials.name.adorable_pulverizer","Pulverizador caricaturesco"
"specials.name.adorable_purification","Purificación de caricatura"
"specials.name.adorable_ramming_rush","Avalancha de caricatura"
"specials.name.adorable_ramming_rush_isshtak","Avalancha caricaturesca"
"specials.name.adorable_shatter","Estallido de caricatura"
"specials.name.adorable_shield","Escudo de caricatura"
"specials.name.adorable_skin","Piel de caricatura"
"specials.name.adorable_sonic_wall","Muro caricaturesco"
"specials.name.adorable_spear","Lanza de caricatura"
"specials.name.adorable_strike","Golpe de caricatura"
"specials.name.adorable_swords","Muro de caricaturas"
"specials.name.adorable_tactical_cut","Corte caricaturesco"
"specials.name.adorable_wind_prayer","Oración de la caricatura"
"specials.name.adventure_awaits","¡La aventura aguarda!"
"specials.name.advice_from_beyond","Consejo del más allá"
"specials.name.aerial_abduction","Abducción aérea"
"specials.name.aerial_capture","Captura aérea"
"specials.name.aerial_ram","Ariete aéreo"
"specials.name.aether_mimic_bite_blue","Mordisco de antojo"
"specials.name.aether_mimic_bite_green","Mordisco de antojo"
"specials.name.aether_mimic_bite_purple","Mordisco de antojo"
"specials.name.aether_mimic_bite_red","Mordisco de antojo"
"specials.name.aether_mimic_bite_yellow","Mordisco de antojo"
"specials.name.age_old_antlers","Astas ancestrales"
"specials.name.aggravating_gaze","Mirada molesta"
"specials.name.alchemy_experiment","Experimento alquímico"
"specials.name.alpha_roar","Rugido alfa"
"specials.name.amazing_deals","Ofertas increíbles"
"specials.name.amazing_deals_clearance_sale","Rebajas por liquidación"
"specials.name.amazing_deals_dull_swords","Espadas sin filo"
"specials.name.amazing_deals_questionable_snake_oil","Aceite de serpiente cuestionable"
"specials.name.amphibian_sword_sting","Espada anfibia"
"specials.name.amphibious_assault","Asalto anfibio"
"specials.name.ancient_dragon_sword","Espada dragontina ancestral"
"specials.name.ancient_enchantment","Encantamiento antiguo"
"specials.name.ancient_flames","Llamas ancestrales"
"specials.name.ancient_martial_arts","Artes marciales ancestrales"
"specials.name.ancient_mirror","Espejo antiguo"
"specials.name.ancient_ritual","Ritual antiguo"
"specials.name.ancient_spell","Hechizo antiguo"
"specials.name.ancient_technology","Tecnología antigua"
"specials.name.ancient_vengeance","Venganza antigua"
"specials.name.anger_of_forest","Ira del bosque"
"specials.name.anger_of_the_jester","Ira del bufón"
"specials.name.anger_of_the_woods","Ira de los bosques"
"specials.name.anger_of_the_woods_pve","Ira de los bosques"
"specials.name.angry_boar","Jabalí enfadado"
"specials.name.angry_boar_pve","Jabalí enfadado"
"specials.name.anthem_of_the_lake","Himno del lago"
"specials.name.aphotic_maw","Fauces afóticas"
"specials.name.aphotic_whisper","Susurro afótico"
"specials.name.apothecary_kit","Kit de boticario"
"specials.name.aquatic_dance","Baile acuático"
"specials.name.aquatic_outbreak","Estallido acuático"
"specials.name.arcane_blast","Ráfaga arcana"
"specials.name.arcane_shock","Rayo arcano"
"specials.name.archaic_dread","Pavor arcaico"
"specials.name.archaic_sacred_symbol","Símbolo sagrado arcaico"
"specials.name.arctic_breeze","Brisa ártica"
"specials.name.arctic_guard","Guardia ártico"
"specials.name.arctic_veil","Velo ártico"
"specials.name.arctic_wound","Herida ártica"
"specials.name.arrow_of_desire","Flecha del deseo"
"specials.name.arrow_of_nujalik","Flecha de Nujalik"
"specials.name.arrows_and_claws","Flechas y garras"
"specials.name.arrows_of_altruism_liora","Fechas del altruismo"
"specials.name.arrows_of_frost","Flechas heladas"
"specials.name.arrows_of_fury","Flechas furiosas"
"specials.name.artful_backstab","Puñalada artística"
"specials.name.artful_recreation","Obra maestra restaurativa"
"specials.name.artisans_shot","Tiro de artesanía"
"specials.name.ashes_to_ashes","Polvo al polvo"
"specials.name.assassins_blades","Cuchillas asesinas"
"specials.name.assassins_in_the_night","Asesinos en la noche"
"specials.name.assassins_in_the_night_pve","Asesinos en la noche"
"specials.name.asterius","Ataque taurino brutal"
"specials.name.astral_assistance","Ayuda astral"
"specials.name.astral_brew","Tragos astrales"
"specials.name.astral_dominion","Dominio astral"
"specials.name.astral_gemstones","Gemas astrales"
"specials.name.astral_myrrh","Mirra astral"
"specials.name.astral_orb","Orbe astral"
"specials.name.astral_pastries","Bollos astrales"
"specials.name.astral_provocation","Provocación astral"
"specials.name.astral_summon","Invocación astral"
"specials.name.athenas_arrow","Flecha de Athena"
"specials.name.athenas_bow","Arco de Athena"
"specials.name.atlantean_blade","Espada atlante"
"specials.name.atlantean_blade_costume","Hoja atlante"
"specials.name.atlantean_charge","Embestida atlante"
"specials.name.atlantean_toon_spear","Lanza de caricatura atlante"
"specials.name.atlantean_toon_sword","Espada de caricatura atlante"
"specials.name.attack_rally","Rally de ataque"
"specials.name.aura_of_twilight","Aura del crepúsculo"
"specials.name.aura_wave","Onda de aura"
"specials.name.autumnal_wind","Viento otoñal"
"specials.name.avenger_of_mothkind","Venganza de las polillas"
