"specials.name.a_cozy_break","Miellyttävä tauko"
"specials.name.a_moment_of_joy","Ilon hetki"
"specials.name.a_rare_cultivar","Harvinainen lajike"
"specials.name.abiding_dogma","Dogmien omaksuminen"
"specials.name.absorbed_underlings","Omaksutut alaiset"
"specials.name.absordium_deflectors","Omaksunnan torjujat"
"specials.name.abyssal_incantation","Syvyyksien manaus"
"specials.name.accelerated_growth","Kiihtynyt kasvu"
"specials.name.aces_high","Ässähai"
"specials.name.acid_bite","Syövyttävä puraisu"
"specials.name.acoustic_surge","Akustinen aalto"
"specials.name.acute_cut","Akuutti viilto"
"specials.name.adamantite_claw","Adamantiittikynnet"
"specials.name.adamantium_horn","Adamantium-sarvi"
"specials.name.adorable_beam","Piirretty säde"
"specials.name.adorable_bolt","Piirretty vasama"
"specials.name.adorable_burning_strike","Piirretty tuli-isku"
"specials.name.adorable_cold_blast","Piirretty lumimyrsky"
"specials.name.adorable_entangling_shot","Piirretty laukaus"
"specials.name.adorable_four_blades","Neljän piirretyn sivallus"
"specials.name.adorable_gamblers_stance","Piirretyn asenne"
"specials.name.adorable_hammer","Piirretty vasara"
"specials.name.adorable_have_faith","Piirretyn usko"
"specials.name.adorable_heal","Piirretty parannus"
"specials.name.adorable_massive_chop","Piirretty lyönti"
"specials.name.adorable_pest","Ihastuttava riesa"
"specials.name.adorable_piercing_strike","Piirretty isku"
"specials.name.adorable_pulverizer","Piirretty jauhin"
"specials.name.adorable_purification","Piirustus"
"specials.name.adorable_ramming_rush","Piirretty rynnistys"
"specials.name.adorable_ramming_rush_isshtak","Piirretty rynnistys"
"specials.name.adorable_shatter","Piirretty murskaus"
"specials.name.adorable_shield","Piirretty kilpi"
"specials.name.adorable_skin","Piirretty nahka"
"specials.name.adorable_sonic_wall","Piirretty muuri"
"specials.name.adorable_spear","Piirretty keihäs"
"specials.name.adorable_strike","Piirretty isku"
"specials.name.adorable_swords","Piirretty seinämä"
"specials.name.adorable_tactical_cut","Piirretty viilto"
"specials.name.adorable_wind_prayer","Piirretty rukous"
"specials.name.adventure_awaits","Seikkailu odottaa!"
"specials.name.advice_from_beyond","Neuvo tuonpuoleisesta"
"specials.name.aerial_abduction","Ilmaryöstö"
"specials.name.aerial_capture","Ilmasieppaus"
"specials.name.aether_mimic_bite_blue","Nälkäinen näykkäisy"
"specials.name.aether_mimic_bite_green","Nälkäinen näykkäisy"
"specials.name.aether_mimic_bite_purple","Nälkäinen näykkäisy"
"specials.name.aether_mimic_bite_red","Nälkäinen näykkäisy"
"specials.name.aether_mimic_bite_yellow","Nälkäinen näykkäisy"
"specials.name.age_old_antlers","Ikivanhat sarvet"
"specials.name.aggravating_gaze","Ärsyttävä katse"
"specials.name.alchemy_experiment","Alkemian koe"
"specials.name.alpha_roar","Alfan karjunta"
"specials.name.amazing_deals","Mahtavia alennuksia"
"specials.name.amazing_deals_clearance_sale","Tyhjennysmyynti"
"specials.name.amazing_deals_dull_swords","Tylsiä miekkoja"
"specials.name.amazing_deals_questionable_snake_oil","Arveluttavaa käärmeöljyä"
"specials.name.amphibian_sword_sting","Amfibisen miekan pisto"
"specials.name.amphibious_assault","Amfibinen hyökkäys"
"specials.name.ancient_dragon_sword","Muinainen lohikäärmemiekka"
"specials.name.ancient_enchantment","Muinainen lumous"
"specials.name.ancient_flames","Muinaiset liekit"
"specials.name.ancient_martial_arts","Muinainen kamppailulaji"
"specials.name.ancient_mirror","Muinainen peili"
"specials.name.ancient_ritual","Muinainen rituaali"
"specials.name.ancient_spell","Muinainen loitsu"
"specials.name.ancient_technology","Muinainen teknologia"
"specials.name.ancient_vengeance","Muinainen kosto"
"specials.name.anger_of_forest","Metsän viha"
"specials.name.anger_of_the_jester","Narrin viha"
"specials.name.anger_of_the_woods","Metsän viha"
"specials.name.anger_of_the_woods_pve","Metsän viha"
"specials.name.angry_boar","Vihainen villisika"
"specials.name.angry_boar_pve","Vihainen villisika"
"specials.name.anthem_of_the_lake","Järven veisu"
"specials.name.aphotic_maw","Sysipimeä kita"
"specials.name.aphotic_whisper","Sysipimeä kuiskaus"
"specials.name.apothecary_kit","Parantajan pakkaus"
"specials.name.aquatic_dance","Merellinen tanssi"
"specials.name.aquatic_outbreak","Vetinen purkaus"
"specials.name.arcane_blast","Loitsupuuska"
"specials.name.arcane_shock","Maaginen shokki"
"specials.name.archaic_dread","Muinainen kauhu"
"specials.name.archaic_sacred_symbol","Muinainen pyhä symboli"
"specials.name.arctic_breeze","Arktinen tuuli"
"specials.name.arctic_guard","Arktinen vartija"
"specials.name.arctic_veil","Arktinen huntu"
