"specials.name.a_cozy_break","Pause agréable"
"specials.name.a_moment_of_joy","Instant de joie"
"specials.name.a_rare_cultivar","Une variété rare"
"specials.name.abiding_dogma","Dogme irréductible"
"specials.name.absorbed_underlings","Subordonnés absorbés"
"specials.name.absordium_deflectors","Absorbium Reflector"
"specials.name.abyssal_incantation","Incantation abyssale"
"specials.name.accelerated_growth","Croissance accélérée"
"specials.name.aces_high","Force de l'as"
"specials.name.acid_bite","Morsure corrosive"
"specials.name.acoustic_surge","Surcharge acoustique"
"specials.name.acute_cut","Coupure vive"
"specials.name.adamantite_claw","Griffe Adamantite"
"specials.name.adamantium_horn","Corne en adamantium"
"specials.name.adorable_beam","Rayon cartoonesque"
"specials.name.adorable_bolt","Éclair cartoonesque"
"specials.name.adorable_burning_strike","Flammes cartoonesques"
"specials.name.adorable_cold_blast","Blizzard cartoonesque"
"specials.name.adorable_entangling_shot","Tir cartoonesque"
"specials.name.adorable_four_blades","Frappe des quatre toons"
"specials.name.adorable_gamblers_stance","Posture cartoonesque"
"specials.name.adorable_hammer","Marteau cartoon"
"specials.name.adorable_have_faith","Foi de toon"
"specials.name.adorable_heal","Soin cartoon"
"specials.name.adorable_massive_chop","Attaque cartoonesque"
"specials.name.adorable_pest","Adorable nuisible"
"specials.name.adorable_piercing_strike","Puissance cartoonesque"
"specials.name.adorable_pulverizer","Pulvérisation cartoonesque"
"specials.name.adorable_purification","Cartoonification"
"specials.name.adorable_ramming_rush","Ruée cartoonesque"
"specials.name.adorable_ramming_rush_isshtak","Charge cartoonesque"
"specials.name.adorable_shatter","Destruction cartoonesque"
"specials.name.adorable_shield","Bouclier cartoon"
"specials.name.adorable_skin","Peau de toon"
"specials.name.adorable_sonic_wall","Mur cartoonesque"
"specials.name.adorable_spear","Lance cartoonesque"
"specials.name.adorable_strike","Frappe cartoon"
"specials.name.adorable_swords","Rempart de toons"
"specials.name.adorable_tactical_cut","Coupe cartoonesque"
"specials.name.adorable_wind_prayer","Prière de toon"
"specials.name.adventure_awaits","Soif d'aventure"
"specials.name.adventurers_slash","Taillade d'aventurier"
"specials.name.advice_from_beyond","Conseils de l'au-delà"
"specials.name.aerial_abduction","Enlèvement aérien"
"specials.name.aerial_capture","Capture aérienne"
"specials.name.aerial_ram","Bélier aérien"
"specials.name.aether_mimic_bite_blue","Morsure affamée"
"specials.name.aether_mimic_bite_green","Morsure affamée"
"specials.name.aether_mimic_bite_purple","Morsure affamée"
"specials.name.aether_mimic_bite_red","Morsure affamée"
"specials.name.aether_mimic_bite_yellow","Morsure affamée"
"specials.name.age_old_antlers","Vieux bois"
"specials.name.aggravating_gaze","Regard menaçant"
"specials.name.alchemy_experiment","Expérience alchimique"
"specials.name.alpha_roar","Rugissement alpha"
"specials.name.always_on_time","Toujours à l'heure"
"specials.name.amazing_deals","Offres exceptionnelles"
"specials.name.amazing_deals_clearance_sale","Liquidation"
"specials.name.amazing_deals_dull_swords","Épées émoussées"
"specials.name.amazing_deals_questionable_snake_oil","Huile de serpent douteuse"
"specials.name.amphibian_sword_sting","Coup d'épée amphibien"
"specials.name.amphibious_assault","Assaut amphibie"
"specials.name.ancient_dragon_sword","Épée du dragon ancestral"
"specials.name.ancient_enchantment","Enchantement ancien"
"specials.name.ancient_flames","Flammes ancestrales"
"specials.name.ancient_martial_arts","Arts martiaux anciens"
"specials.name.ancient_mirror","Miroir ancien"
"specials.name.ancient_ritual","Rituel ancestral"
"specials.name.ancient_spell","Sort ancien"
"specials.name.ancient_technology","Technologie ancienne"
"specials.name.ancient_vengeance","Vengeance ancienne"
"specials.name.anger_of_forest","Courroux de la forêt"
"specials.name.anger_of_the_jester","Colère du bouffon"
"specials.name.anger_of_the_woods","Colère des bois"
"specials.name.anger_of_the_woods_pve","Colère des bois"
"specials.name.angry_boar","Sanglier énervé"
"specials.name.angry_boar_pve","Sanglier énervé"
"specials.name.anthem_of_the_lake","Hymne du lac"
"specials.name.aphotic_maw","Gueule aphotique"
"specials.name.aphotic_whisper","Murmure aphotique"
"specials.name.apothecary_kit","Kit d'apothicaire"
"specials.name.aquatic_dance","Danse aquatique"
"specials.name.aquatic_outbreak","Invasion aquatique"
"specials.name.arcane_blast","Explosion obscure"
"specials.name.arcane_shock","Choc arcanique"
"specials.name.archaic_dread","Terreur archaïque"
"specials.name.archaic_sacred_symbol","Symbole sacré archaïque"
"specials.name.arctic_breeze","Brise arctique"
"specials.name.arctic_guard","Garde arctique"
"specials.name.arctic_hunt","Chasse arctique"
"specials.name.arctic_veil","Voile arctique"
"specials.name.arctic_wound","Blessure arctique"
"specials.name.ardent_panacea","Panacée ardente"
"specials.name.arrow_of_desire","Flèche du désir"
"specials.name.arrow_of_nujalik","Flèche de Nujalik"
"specials.name.arrows_and_claws","Flèches et griffes"
"specials.name.arrows_of_altruism_liora","Flèches altruistes"
"specials.name.arrows_of_frost","Flèches de givre"
"specials.name.arrows_of_fury","Flèches furieuses"
"specials.name.artful_backstab","Poignard grâcieux"
"specials.name.artful_recreation","Chef-d'œuvre guérisseur"
"specials.name.artisans_shot","Tir artisanal"
"specials.name.ashes_to_ashes","De la poussière à la poussière"
"specials.name.assassins_blades","Lames d'assassin"
"specials.name.assassins_in_the_night","Assassins nocturnes"
"specials.name.assassins_in_the_night_pve","Assassins nocturnes"
"specials.name.asterius","Charge de taureau brutale"
"specials.name.astral_assistance","Aide astrale"
"specials.name.astral_brew","Boisson astrale"
"specials.name.astral_dominion","Domination astrale"
"specials.name.astral_gemstones","Gemmes astrales"
"specials.name.astral_myrrh","Myrrhe astrale"
"specials.name.astral_orb","Orbe astral"
"specials.name.astral_pastries","Pâtisseries astrales"
"specials.name.astral_provocation","Provocation astrale"
"specials.name.astral_summon","Invocation astrale"
"specials.name.athenas_arrow","Flèche d'Athéna"
"specials.name.athenas_bow","L'arc d'Athéna"
"specials.name.atlantean_blade","Épée atlante"
"specials.name.atlantean_blade_costume","Lame atlantéenne"
"specials.name.atlantean_charge","Charge atlantéenne"
"specials.name.atlantean_toon_spear","Lance atlante cartoonesque"
"specials.name.atlantean_toon_sword","Épée atlante cartoonesque"
"specials.name.attack_rally","Attaque inspirante"
"specials.name.aura_of_the_fiery_lion","Aura du lion ardent"
"specials.name.aura_of_twilight","Aura du crépuscule"
"specials.name.aura_wave","Vague d'aura"
"specials.name.autumnal_wind","Vent d'automne"
"specials.name.avenger_of_mothkind","Vengeance des lépidoptères"
"specials.name.awaken_ki","Éveil du Ki"
"specials.name.awe_bolt","Éclair de poison"
"specials.name.axe_of_retribution","Hache vengeresse"
"specials.name.axe_throw","Lancer de hache"
"specials.name.azurelight_greatsword","Espadon azur"
"specials.name.backstab","Frappe sournoise"
"specials.name.bad_fortune","Mauvais augure"
"specials.name.bag_of_necessities","Sac d'indispensables"
"specials.name.bagh_nakh_thrust","Frappe de Bagh Nakh"
"specials.name.bakers_baguettes","Baguette de boulanger"
"specials.name.balanced_teamwork","Travail d'équipe équilibré"
"specials.name.ballad_of_attraction","Ballade de l'attraction"
"specials.name.ballad_of_condemnation","Ballade de la condamnation"
"specials.name.ballad_of_obsession","Ballade obsessionnelle"
"specials.name.ballad_of_pain","Ballade de la douleur"
"specials.name.ballad_of_passion","Ballade de la passion"
"specials.name.ballad_of_purple_swan","Ballade du cygne sombre"
"specials.name.ballad_of_restoration","Ballade de restauration"
"specials.name.ballad_of_the_purple_swan","Ballade du cygne sombre"
"specials.name.bandalore_dance","Yo-yo dansant"
"specials.name.barb_sting_dragon_pve","Piqûre barbelée"
"specials.name.barbed_arrows","Flèches barbelées"
"specials.name.barbed_bolt_zidane","Carreau barbelé"
"specials.name.bark_of_protection","Aboiement protecteur"
