"specials.name.a_cozy_break","Istirahat yang Nyaman"
"specials.name.a_moment_of_joy","Momen Sukacita"
"specials.name.a_rare_cultivar","Kultivar Langka"
"specials.name.abiding_dogma","Menuruti Dogma"
"specials.name.absorbed_underlings","Bawahan yang Terserap"
"specials.name.absordium_deflectors","Pemantul Absordium"
"specials.name.abyssal_incantation","Jampi Jurang"
"specials.name.accelerated_growth","Bertumbuh Dipercepat"
"specials.name.aces_high","As Tinggi"
"specials.name.acid_bite","Gigitan Korosif"
"specials.name.acoustic_surge","Lonjakan Akustik"
"specials.name.acute_cut","Irisan Akut"
"specials.name.adamantite_claw","Cakar Adamantit"
"specials.name.adamantium_horn","Tanduk Adamantium"
"specials.name.adorable_beam","Sinar Toon"
"specials.name.adorable_bolt","Petir Toon"
"specials.name.adorable_burning_strike","Serangan Tembakan Toon"
"specials.name.adorable_cold_blast","Badai Salju Toon"
"specials.name.adorable_entangling_shot","Tembakan Toontastis"
"specials.name.adorable_four_blades","Sabetan Empat Toon"
"specials.name.adorable_gamblers_stance","Sikap Toon"
"specials.name.adorable_hammer","Palu Toon"
"specials.name.adorable_have_faith","Iman Toon"
"specials.name.adorable_heal","Penyembuh Toon"
"specials.name.adorable_massive_chop","Potongan Toontastis"
"specials.name.adorable_pest","Hama Menggemaskan"
"specials.name.adorable_piercing_strike","Serbuan Kekuatan Toon"
"specials.name.adorable_pulverizer","Pelumat Toon"
"specials.name.adorable_purification","Toonifikasi"
"specials.name.adorable_ramming_rush","Serangan Toontastis"
"specials.name.adorable_ramming_rush_isshtak","Serangan Toon"
"specials.name.adorable_shatter","Pecah Toon"
"specials.name.adorable_shield","Perisai Toon"
"specials.name.adorable_skin","Kulit Toon"
"specials.name.adorable_sonic_wall","Tembok Toon"
"specials.name.adorable_spear","Tombak Toon"
"specials.name.adorable_strike","Serbuan Toon"
"specials.name.adorable_swords","Tembok Toon"
"specials.name.adorable_tactical_cut","Irisan Toontastis"
"specials.name.adorable_wind_prayer","Doa Toon"
"specials.name.adventure_awaits","Petualangan Menanti!"
"specials.name.advice_from_beyond","Nasihat dari Jauh"
"specials.name.aerial_abduction","Penculikan Aerial"
"specials.name.aerial_capture","Tangkapan Aerial"
"specials.name.aether_mimic_bite_blue","Gigitan Keinginan"
"specials.name.aether_mimic_bite_green","Gigitan Keinginan"
"specials.name.aether_mimic_bite_purple","Gigitan Keinginan"
"specials.name.aether_mimic_bite_red","Gigitan Keinginan"
"specials.name.aether_mimic_bite_yellow","Gigitan Keinginan"
