"specials.name.a_cozy_break","Una pausa confortevole"
"specials.name.a_moment_of_joy","Un momento di gioia"
"specials.name.a_rare_cultivar","Una cultivar rara"
"specials.name.abiding_dogma","Dogma incrollabile"
"specials.name.absorbed_underlings","Sottoposti assorbiti"
"specials.name.absordium_deflectors","Deflettori all'absorbium"
"specials.name.abyssal_incantation","Incantesimo abissale"
"specials.name.accelerated_growth","Crescita accelerata"
"specials.name.aces_high","Assi in alto"
"specials.name.acid_bite","Morso corrosivo"
"specials.name.acoustic_surge","Impulso acustico"
"specials.name.acute_cut","Taglio acuto"
"specials.name.adamantite_claw","Artiglio di adamantite"
"specials.name.adamantium_horn","Corno d'adamantio"
"specials.name.adorable_beam","Raggio cartone"
"specials.name.adorable_bolt","Dardo cartone"
"specials.name.adorable_burning_strike","Colpo del fuoco cartone"
"specials.name.adorable_cold_blast","Tormenta cartone"
"specials.name.adorable_entangling_shot","Colpo cartosferico"
"specials.name.adorable_four_blades","Fendente dei quattro cartoni"
"specials.name.adorable_gamblers_stance","Posizione cartone"
"specials.name.adorable_hammer","Martello cartone"
"specials.name.adorable_have_faith","Fede del cartone"
"specials.name.adorable_heal","Guarigione cartone"
"specials.name.adorable_massive_chop","Spaccatura cartosferica"
"specials.name.adorable_pest","Adorabile parassita"
"specials.name.adorable_piercing_strike","Colpo del cartone"
"specials.name.adorable_pulverizer","Polverizzatore cartone"
"specials.name.adorable_purification","Cartonificazione"
"specials.name.adorable_ramming_rush","Scarica cartosferica"
"specials.name.adorable_ramming_rush_isshtak","Carica cartone"
"specials.name.adorable_shatter","Frantumazione cartone"
"specials.name.adorable_shield","Scudo cartone"
"specials.name.adorable_skin","Pelle cartone"
"specials.name.adorable_sonic_wall","Muro cartone"
"specials.name.adorable_spear","Lancia cartone"
"specials.name.adorable_strike","Colpo cartone"
"specials.name.adorable_swords","Muro dei cartoni"
"specials.name.adorable_tactical_cut","Taglio cartosferico"
"specials.name.adorable_wind_prayer","Preghiera cartone"
"specials.name.adventure_awaits","L'avventura ti aspetta!"
"specials.name.adventurers_slash","Fendente dell'avventuriero"
"specials.name.advice_from_beyond","Consigli dall'aldilà"
"specials.name.aerial_abduction","Rapimento aereo"
"specials.name.aerial_capture","Cattura aerea"
"specials.name.aerial_ram","Ariete aereo"
"specials.name.aether_mimic_bite_blue","Bocconcino"
"specials.name.aether_mimic_bite_green","Bocconcino"
"specials.name.aether_mimic_bite_purple","Bocconcino"
"specials.name.aether_mimic_bite_red","Bocconcino"
"specials.name.aether_mimic_bite_yellow","Bocconcino"
"specials.name.age_old_antlers","Corna antichissime"
"specials.name.aggravating_gaze","Sguardo aggravante"
"specials.name.alchemy_experiment","Esperimento alchemico"
"specials.name.alpha_roar","Ruggito dell'Alfa"
"specials.name.always_on_time","Sempre puntuale"
"specials.name.amazing_deals","Affari incredibili"
"specials.name.amazing_deals_clearance_sale","Svendita"
"specials.name.amazing_deals_dull_swords","Spade smussate"
"specials.name.amazing_deals_questionable_snake_oil","Olio di serpente discutibile"
"specials.name.amphibian_sword_sting","Fendente dell'anfibio"
"specials.name.amphibious_assault","Assalto anfibio"
"specials.name.ancient_dragon_sword","Spada dei draghi antichi"
"specials.name.ancient_enchantment","Incanto antico"
"specials.name.ancient_flames","Fiamme antiche"
"specials.name.ancient_martial_arts","Arti marziali antiche"
"specials.name.ancient_mirror","Specchio antico"
"specials.name.ancient_ritual","Rituale antico"
"specials.name.ancient_spell","Incantesimo antico"
"specials.name.ancient_technology","Tecnologia antica"
"specials.name.ancient_vengeance","Antica vendetta"
"specials.name.anger_of_forest","Rabbia della foresta"
"specials.name.anger_of_the_jester","Rabbia del giullare"
"specials.name.anger_of_the_woods","Rabbia dei boschi"
"specials.name.anger_of_the_woods_pve","Rabbia dei boschi"
