"specials.name.a_cozy_break","心地よきひと休憩"
"specials.name.a_moment_of_joy","歓喜の瞬間"
"specials.name.a_rare_cultivar","レア栽培品種"
"specials.name.abiding_dogma","不変の教義"
"specials.name.absorbed_underlings","アブゾーブ アンダーリング"
"specials.name.absordium_deflectors","アブゾーブ ディフレクター"
"specials.name.abyssal_incantation","深淵の呪文"
"specials.name.accelerated_growth","加速的成長"
"specials.name.aces_high","エーシズ・ハイ"
"specials.name.acid_bite","腐食バイト"
"specials.name.acoustic_surge","音響の波"
"specials.name.acute_cut","アキュートカット"
"specials.name.adamantite_claw","アダマンタイト・クロウ"
"specials.name.adamantium_horn","アダマントホーン"
"specials.name.adorable_beam","アニメ風ビーム"
"specials.name.adorable_bolt","コミックボルト"
"specials.name.adorable_burning_strike","アニメ風炎攻撃"
"specials.name.adorable_cold_blast","アニメ風ブリザード"
"specials.name.adorable_entangling_shot","アニメ風ショット"
"specials.name.adorable_four_blades","アニメ風四つの剣"
"specials.name.adorable_gamblers_stance","アニメ風スタンス"
"specials.name.adorable_hammer","カートゥーンハンマー"
"specials.name.adorable_have_faith","アニメ風信じる者"
"specials.name.adorable_heal","カートゥーンヒーリング"
"specials.name.adorable_massive_chop","アニメ風チョップ"
"specials.name.adorable_pest","かわいい害獣"
"specials.name.adorable_piercing_strike","アニメ風パワーストライク"
"specials.name.adorable_pulverizer","アニメ風パルヴェライザー"
"specials.name.adorable_purification","アニメ風浄化"
"specials.name.adorable_ramming_rush","アニメ風ラッシュ"
"specials.name.adorable_ramming_rush_isshtak","アニメ風ラッシュ"
"specials.name.adorable_shatter","アニメ風粉砕"
"specials.name.adorable_shield","カートゥーンシールド"
"specials.name.adorable_skin","アニメ風スキン"
"specials.name.adorable_sonic_wall","アニメ風の壁"
"specials.name.adorable_spear","カートゥーンスピア"
"specials.name.adorable_strike","カートゥーンストライク"
"specials.name.adorable_swords","アニメ風の剣"
"specials.name.adorable_tactical_cut","アニメ風カット"
"specials.name.adorable_wind_prayer","アニメ風の祈祷"
"specials.name.adventure_awaits","さらなる冒険！"
"specials.name.advice_from_beyond","彼方からの助言"
"specials.name.aerial_abduction","空中拉致"
"specials.name.aerial_capture","エアリアルキャプチャー"
"specials.name.aerial_ram","エアリアルラム"
"specials.name.aether_mimic_bite_blue","渇望の喰らいつき"
"specials.name.aether_mimic_bite_green","渇望の喰らいつき"
"specials.name.aether_mimic_bite_purple","渇望の喰らいつき"
"specials.name.aether_mimic_bite_red","渇望の喰らいつき"
"specials.name.aether_mimic_bite_yellow","渇望の喰らいつき"
"specials.name.age_old_antlers","妙齢のアントラー"
"specials.name.aggravating_gaze","不快な眼差し"
"specials.name.alchemy_experiment","錬金術実験"
"specials.name.alpha_roar","アルファの咆哮"
"specials.name.amazing_deals","超お買い得"
"specials.name.amazing_deals_clearance_sale","クリアランスセール"
"specials.name.amazing_deals_dull_swords","切れ味の悪い剣"
"specials.name.amazing_deals_questionable_snake_oil","怪しいスネイクオイル"
"specials.name.amphibian_sword_sting","両生類の剣の突き"
"specials.name.amphibious_assault","強襲上陸"
"specials.name.ancient_dragon_sword","古代ドラゴンの剣"
"specials.name.ancient_enchantment","古代のエンチャント"
"specials.name.ancient_flames","古の炎"
"specials.name.ancient_martial_arts","古代の武術"
"specials.name.ancient_mirror","古代の鏡"
"specials.name.ancient_ritual","古代の儀式"
"specials.name.ancient_spell","古代の呪文"
"specials.name.ancient_technology","古代の技術"
"specials.name.ancient_vengeance","古の報復"
"specials.name.anger_of_forest","森の怒り"
"specials.name.anger_of_the_jester","道化師の怒り"
"specials.name.anger_of_the_woods","森の怒り"
"specials.name.anger_of_the_woods_pve","森の怒り"
"specials.name.angry_boar","アングリーボア"
"specials.name.angry_boar_pve","アングリーボア"
"specials.name.anthem_of_the_lake","湖の賛歌"
"specials.name.aphotic_maw","無光の奈落"
"specials.name.aphotic_whisper","無光のささやき"
"specials.name.apothecary_kit","薬剤師キット"
"specials.name.aquatic_dance","水中の舞"
"specials.name.aquatic_outbreak","アクア アウトブレイク"
"specials.name.arcane_blast","アーケインブラスト"
"specials.name.arcane_shock","アーケインショック"
"specials.name.archaic_dread","原始の恐怖"
"specials.name.archaic_sacred_symbol","古代の聖なる象徴"
"specials.name.arctic_breeze","極寒のそよ風"
"specials.name.arctic_guard","極寒の衛兵"
"specials.name.arctic_veil","極寒のベール"
"specials.name.arctic_wound","雪氷圏の傷"
"specials.name.arrow_of_desire","欲望の矢"
"specials.name.arrow_of_nujalik","ヌージャリックの弓矢"
"specials.name.arrows_and_claws","弓矢とクロウ"
"specials.name.arrows_of_altruism_liora","利他主義の弓矢"
"specials.name.arrows_of_frost","霜の弓矢"
"specials.name.arrows_of_fury","怒りの矢"
"specials.name.artful_backstab","巧みなバックスタブ"
"specials.name.artful_recreation","修理の達人"
"specials.name.artisans_shot","職人の一撃"
"specials.name.ashes_to_ashes","灰は灰に"
"specials.name.assassins_blades","アサシンの剣"
"specials.name.assassins_in_the_night","闇夜の暗殺者"
"specials.name.assassins_in_the_night_pve","闇夜の暗殺者"
