"specials.name.a_cozy_break","Een gezellige pauze"
"specials.name.a_moment_of_joy","Een moment van vreugde"
"specials.name.a_rare_cultivar","Een zeldzame cultivar"
"specials.name.abiding_dogma","Eeuwig dogma"
"specials.name.absorbed_underlings","Geabsorbeerde ondergeschikten"
"specials.name.absordium_deflectors","Absordium reflectoren"
"specials.name.abyssal_incantation","Afgrondbezwering"
"specials.name.accelerated_growth","Versnelde groei"
"specials.name.aces_high","Topschutter"
"specials.name.acid_bite","Corrosieve beet"
"specials.name.acoustic_surge","Akoestische vlaag"
"specials.name.acute_cut","Acute houw"
"specials.name.adamantite_claw","Adamanten Klauw"
"specials.name.adamantium_horn","Adamantium Hoorn"
"specials.name.adorable_beam","Toonstraal"
"specials.name.adorable_bolt","Toonschicht"
"specials.name.adorable_burning_strike","Toonvuuraanval"
"specials.name.adorable_cold_blast","Toon-sneeuwstorm"
"specials.name.adorable_entangling_shot","Toontastisch schot"
"specials.name.adorable_four_blades","Slag van vier toons"
"specials.name.adorable_gamblers_stance","Toon-pose"
"specials.name.adorable_hammer","Toon-hamer"
"specials.name.adorable_have_faith","Toons geloof"
"specials.name.adorable_heal","Toon-genezing"
"specials.name.adorable_massive_chop","Toontastische hakaanval"
"specials.name.adorable_pest","Schattig ongedierte"
"specials.name.adorable_piercing_strike","Toonkracht-aanval"
"specials.name.adorable_pulverizer","Toonvergruizer"
"specials.name.adorable_purification","Toonificatie"
"specials.name.adorable_ramming_rush","Toontastische stormaanval"
"specials.name.adorable_ramming_rush_isshtak","Toon-stormaanval"
"specials.name.adorable_shatter","Toonversplintering"
"specials.name.adorable_shield","Toon-schild"
"specials.name.adorable_skin","Toonhuid"
"specials.name.adorable_sonic_wall","Toonmuur"
"specials.name.adorable_spear","Toon-speer"
"specials.name.adorable_strike","Toon-aanval"
"specials.name.adorable_swords","Muur van toons"
"specials.name.adorable_tactical_cut","Toontastische snee"
"specials.name.adorable_wind_prayer","Toongebed"
"specials.name.adventure_awaits","Het avontuur wacht!"
"specials.name.adventurers_slash","Avonturiersslag"
"specials.name.advice_from_beyond","Advies uit het hiernamaals"
"specials.name.aerial_abduction","Ontvoering in de lucht"
"specials.name.aerial_capture","Vangst in de lucht"
"specials.name.aerial_ram","Luchtram"
"specials.name.aether_mimic_bite_blue","Zin in een drankje"
"specials.name.aether_mimic_bite_green","Zin in een drankje"
"specials.name.aether_mimic_bite_purple","Zin in een drankje"
"specials.name.aether_mimic_bite_red","Zin in een drankje"
"specials.name.aether_mimic_bite_yellow","Zin in een drankje"
"specials.name.age_old_antlers","Oeroud gewei"
"specials.name.aggravating_gaze","Ergerlijke blik"
"specials.name.alchemy_experiment","Alchemie-experiment"
"specials.name.alpha_roar","Alfabrul"
"specials.name.always_on_time","Altijd op tijd"
"specials.name.amazing_deals","Geweldige deals"
"specials.name.amazing_deals_clearance_sale","Uitverkoop"
"specials.name.amazing_deals_dull_swords","Botte zwaarden"
"specials.name.amazing_deals_questionable_snake_oil","Bedenkelijke slangenolie"
"specials.name.amphibian_sword_sting","Amfibische zwaardsteek"
"specials.name.amphibious_assault","Amfibische aanval"
"specials.name.ancient_dragon_sword","Eeuwenoud drakenzwaard"
"specials.name.ancient_enchantment","Oeroude betovering"
"specials.name.ancient_flames","Oeroude vlammen"
"specials.name.ancient_martial_arts","Oeroude vechtkunst"
"specials.name.ancient_mirror","Eeuwenoude spiegel"
"specials.name.ancient_ritual","Oud ritueel"
"specials.name.ancient_spell","Eeuwenoude spreuk"
"specials.name.ancient_technology","Oeroude technologie"
"specials.name.ancient_vengeance","Oeroude wraak"
"specials.name.anger_of_forest","Woede van het Woud"
"specials.name.anger_of_the_jester","Woede van de Nar"
"specials.name.anger_of_the_woods","Boosheid van het woud"
"specials.name.anger_of_the_woods_pve","Boosheid van het woud"
"specials.name.angry_boar","Kwaadaardig everzwijn"
"specials.name.angry_boar_pve","Kwaadaardig everzwijn"
"specials.name.anthem_of_the_lake","Hymne van het meer"
"specials.name.aphotic_maw","Afotische muil"
"specials.name.aphotic_whisper","Afotisch gefluister"
"specials.name.apothecary_kit","Apothekersset"
"specials.name.aquatic_dance","Waterdans"
"specials.name.aquatic_outbreak","Aquatische Uitbraak"
"specials.name.arcane_blast","Esoterische explosie"
"specials.name.arcane_shock","Esoterische schok"
"specials.name.archaic_dread","Verouderde vrees"
"specials.name.archaic_sacred_symbol","Verouderd heilig symbool"
"specials.name.arctic_breeze","Arctisch briesje"
"specials.name.arctic_guard","Arctische wachter"
"specials.name.arctic_hunt","Arctische jacht"
"specials.name.arctic_veil","Arctische sluier"
"specials.name.arctic_wound","Arctische wond"
"specials.name.ardent_panacea","Vurige panacea"
"specials.name.arrow_of_desire","Pijl van verlangen"
"specials.name.arrow_of_nujalik","Pijl van Nujalik"
"specials.name.arrows_and_claws","Pijlen en klauwen"
"specials.name.arrows_of_altruism_liora","Pijlen van onbaatzuchtigheid"
"specials.name.arrows_of_frost","Pijlen van vorst"
"specials.name.arrows_of_fury","Pijlen van furie"
"specials.name.artful_backstab","Kunstige ruggesteek"
"specials.name.artful_recreation","Herstellend meesterwerk"
"specials.name.artisans_shot","Kunstenaarsschot"
"specials.name.ashes_to_ashes","Tot stof vergaan"
"specials.name.assassins_blades","Huurmoordenaarszwaarden"
"specials.name.assassins_in_the_night","Nachtelijke moordenaars"
"specials.name.assassins_in_the_night_pve","Nachtelijke moordenaars"
"specials.name.asterius","Brute stierenaanval"
"specials.name.astral_assistance","Astrale assistentie"
"specials.name.astral_brew","Astraal brouwsel"
"specials.name.astral_dominion","Astrale overheersing"
"specials.name.astral_gemstones","Astrale edelstenen"
"specials.name.astral_myrrh","Astrale mirre"
"specials.name.astral_orb","Astrale bol"
"specials.name.astral_pastries","Astrale gebakjes"
"specials.name.astral_provocation","Astrale provocatie"
"specials.name.astral_summon","Astrale aanroep"
"specials.name.athenas_arrow","Athena's pijl"
"specials.name.athenas_bow","Athena's boog"
"specials.name.atlantean_blade","Zwaard van Atlantis"
"specials.name.atlantean_blade_costume","Atlantis-zwaard"
"specials.name.atlantean_charge","Atlantis-lading"
"specials.name.atlantean_toon_spear","Toon-speer van Atlantis"
"specials.name.atlantean_toon_sword","Toon-zwaard van Atlantis"
"specials.name.attack_rally","Aanvalscharge"
"specials.name.aura_of_the_fiery_lion","Aura van de vurige leeuw"
"specials.name.aura_of_twilight","Aura van de schemering"
"specials.name.aura_wave","Auragolf"
"specials.name.autumnal_wind","Najaarswind"
"specials.name.avenger_of_mothkind","Wreker der motten"
"specials.name.awaken_ki","Ki wekken"
"specials.name.awe_bolt","Gifstraal"
"specials.name.axe_of_retribution","Bijl van vergelding"
"specials.name.axe_throw","Bijlworp"
"specials.name.azurelight_greatsword","Grootzwaard van azuurlicht"
"specials.name.backstab","Ruggesteek"
"specials.name.bad_fortune","Pech"
"specials.name.bag_of_necessities","Zak met benodigdheden"
"specials.name.bagh_nakh_thrust","Bagh Nakh-stoot"
"specials.name.bakers_baguettes","Bakkersbaguettes"
"specials.name.balanced_teamwork","Teamwerk in balans"
"specials.name.ballad_of_attraction","Ballade van aantrekking"
"specials.name.ballad_of_condemnation","Ballade van afkeuring"
"specials.name.ballad_of_obsession","Ballade van obsessie"
"specials.name.ballad_of_pain","Ballade van pijn"
"specials.name.ballad_of_passion","Ballade van passie"
"specials.name.ballad_of_purple_swan","Ballade van de duistere zwaan"
"specials.name.ballad_of_restoration","Ballade van restauratie"
"specials.name.ballad_of_the_purple_swan","Ballade van de duistere zwaan"
"specials.name.bandalore_dance","Jojo-dans"
"specials.name.barb_sting_dragon_pve","Prikkelsteek"
"specials.name.barbed_arrows","Prikkelpijlen"
"specials.name.barbed_bolt_zidane","Prikkelschicht"
"specials.name.bark_of_protection","Beschermende blaf"
"specials.name.basilisk_breath","Ademstoot van de basilisk"
"specials.name.battering_ram","Stormram"
"specials.name.battle_boast","Gevechtsgrootspraak"
"specials.name.battleclaw_strike","Strijdklauwenaanval"
"specials.name.beach_party","Strandfeest"
"specials.name.beautiful_petals","Prachtige blaadjes"
"specials.name.bee_bombast","Bijbombastisch"
"specials.name.bee_bravado","Bijenbravado"
"specials.name.beetle_strike","Keverslag"
"specials.name.berserker_strike","Berserkeraanval"
"specials.name.bewildering_riddle","Verbijsterend raadsel"
"specials.name.bewitched_daggers","Behekste dolken"
"specials.name.bewitching_blast","Betoverende knal"
"specials.name.binding_contract","Bindend contract"
"specials.name.birch_blessing","Zegening van de berk"
"specials.name.bite_of_protection","Beschermende beet"
"specials.name.bites_of_disorientation","Hapjes desoriëntatie"
"specials.name.bitter_berry_blast_dragon_pve","Bittere bes-explosie"
"specials.name.bizarre_mist","Bizarre mist"
"specials.name.black_tassel_spear_sting","Zwarte kwast speersteek"
"specials.name.black_tide","Zwart getij"
"specials.name.blade_barrage","Barrage van zwaarden"
"specials.name.blade_dance","Zwaarden op de dansvloer"
"specials.name.blade_of_betrayal","Blad van verraad"
"specials.name.blade_of_bundelkhand","Zwaard van Bundelkhand"
"specials.name.blade_of_horrid_affliction","Zwaard van vreselijke kwelling"
"specials.name.blade_tail_swipe","Scherpe staartslag"
"specials.name.blade_venom","Gifzwaarden"
"specials.name.blade_wings","Zwaardvleugels"
