"specials.name.a_cozy_break","En koselig pause"
"specials.name.a_moment_of_joy","Et øyeblikks glede"
"specials.name.a_rare_cultivar","En sjelden kultivar"
"specials.name.abiding_dogma","Varig dogme"
"specials.name.absorbed_underlings","Absorberte underlinger"
"specials.name.absordium_deflectors","Absordium-deflektorer"
"specials.name.abyssal_incantation","Avgrunnsbesvergelse"
"specials.name.accelerated_growth","Akselerert vekst"
"specials.name.aces_high","Ess på topp"
"specials.name.acid_bite","Etsende bitt"
"specials.name.acoustic_surge","Akustisk bølge"
"specials.name.acute_cut","Akutt kutt"
"specials.name.adamantite_claw","Adamantium-klo"
"specials.name.adamantium_horn","Adamantium-horn"
"specials.name.adorable_beam","Toon-stråle"
"specials.name.adorable_bolt","Toon-bolt"
"specials.name.adorable_burning_strike","Toonfire-angrep"
"specials.name.adorable_cold_blast","Toon-snøstorm"
"specials.name.adorable_entangling_shot","Toontastisk skudd"
"specials.name.adorable_four_blades","Hugg fra fire Toons"
"specials.name.adorable_gamblers_stance","Toon-stilling"
"specials.name.adorable_hammer","Toon-hammer"
"specials.name.adorable_have_faith","Toons tro"
"specials.name.adorable_heal","Toon-helbredelse"
"specials.name.adorable_massive_chop","Toontastisk hugg"
"specials.name.adorable_pest","Bedårende skadedyr"
"specials.name.adorable_piercing_strike","Toonkraft-angrep"
"specials.name.adorable_pulverizer","Toon-pulveriserer"
"specials.name.adorable_purification","Toonifikasjon"
"specials.name.adorable_ramming_rush","Toontastisk rush"
"specials.name.adorable_ramming_rush_isshtak","Toon-storming"
"specials.name.adorable_shatter","Toon-knusing"
"specials.name.adorable_shield","Toon-skjold"
"specials.name.adorable_skin","Toon-hud"
"specials.name.adorable_sonic_wall","Toon-mur"
"specials.name.adorable_spear","Toon-spyd"
"specials.name.adorable_strike","Toon-angrep"
"specials.name.adorable_swords","Mur av Toons"
"specials.name.adorable_tactical_cut","Toontastisk kutt"
"specials.name.adorable_wind_prayer","Toon-bønn"
"specials.name.adventure_awaits","Eventyr venter!"
"specials.name.advice_from_beyond","Råd fra det hinsidige"
"specials.name.aerial_abduction","Luftbortføring"
"specials.name.aerial_capture","Luftfanging"
"specials.name.aerial_ram","Luftbukk"
"specials.name.aether_mimic_bite_blue","Begjærende bit"
"specials.name.aether_mimic_bite_green","Begjærende bit"
"specials.name.aether_mimic_bite_purple","Begjærende bit"
"specials.name.aether_mimic_bite_red","Begjærende bit"
"specials.name.aether_mimic_bite_yellow","Begjærende bit"
"specials.name.age_old_antlers","Eldgamle gevirer"
"specials.name.aggravating_gaze","Irriterende blikk"
"specials.name.alchemy_experiment","Alkymi-eksperiment"
"specials.name.alpha_roar","Alfabrøl"
"specials.name.amazing_deals","Utrolige tilbud"
"specials.name.amazing_deals_clearance_sale","Ryddesalg"
"specials.name.amazing_deals_dull_swords","Sløve sverd"
"specials.name.amazing_deals_questionable_snake_oil","Tvilsom slangeolje"
"specials.name.amphibian_sword_sting","Amfibiesverdslag"
"specials.name.amphibious_assault","Amfibisk angrep"
"specials.name.ancient_dragon_sword","Gammel drage-sverd"
"specials.name.ancient_enchantment","Eldgammel forhekselse"
"specials.name.ancient_flames","Gamle flammer"
"specials.name.ancient_martial_arts","Gamle kampsporter"
"specials.name.ancient_mirror","Gammelt speil"
"specials.name.ancient_ritual","Gammelt ritual"
"specials.name.ancient_spell","Gammel formel"
"specials.name.ancient_technology","Gammel teknologi"
"specials.name.ancient_vengeance","Forhistorisk hevn"
"specials.name.anger_of_forest","Skogens vrede"
"specials.name.anger_of_the_jester","Narrens vrede"
"specials.name.anger_of_the_woods","Skogens sinne"
"specials.name.anger_of_the_woods_pve","Skogens sinne"
"specials.name.angry_boar","Sinna villsvin"
"specials.name.angry_boar_pve","Sinna villsvin"
"specials.name.anthem_of_the_lake","Innsjøens hymne"
"specials.name.aphotic_maw","Afotisk mjau"
"specials.name.aphotic_whisper","Afotisk hvisker"
"specials.name.apothecary_kit","Apotekersett"
"specials.name.aquatic_dance","Vanndans"
"specials.name.aquatic_outbreak","Akvatisk utbrudd"
"specials.name.arcane_blast","Uforståelig eksplosjon"
"specials.name.arcane_shock","Gåtefullt støt"
"specials.name.archaic_dread","Arkaisk frykt"
