"specials.name.a_cozy_break","Słodka przerwa"
"specials.name.a_moment_of_joy","Chwila radości"
"specials.name.a_rare_cultivar","Rzadka odmiana"
"specials.name.abiding_dogma","Niezmienny dogmat"
"specials.name.absorbed_underlings","Wchłonięci słudzy"
"specials.name.absordium_deflectors","Odbijacze absordium"
"specials.name.abyssal_incantation","Głębinowa inkantacja"
"specials.name.accelerated_growth","Przyspieszony wzrost"
"specials.name.aces_high","Tylko dla Orłów"
"specials.name.acid_bite","Żrące ukąszenie"
"specials.name.acoustic_surge","Akustyczna fala"
"specials.name.acute_cut","Srogie cięcie"
"specials.name.adamantite_claw","Szpon z adamantytu"
"specials.name.adamantium_horn","Róg z adamantium"
"specials.name.adorable_beam","Kreskówkowy promień"
"specials.name.adorable_bolt","Kreskówkowy bełt"
"specials.name.adorable_burning_strike","Ogniste uderzenie"
"specials.name.adorable_cold_blast","Kreskówkowa zamieć"
"specials.name.adorable_entangling_shot","Kreskówkowy strzał"
"specials.name.adorable_four_blades","Cięcie czterech kreskówek"
"specials.name.adorable_gamblers_stance","Kreskówkowa postawa"
"specials.name.adorable_hammer","Kreskówkowy młot"
"specials.name.adorable_have_faith","Wiara kreskówkowych"
"specials.name.adorable_heal","Kreskówkowe leczenie"
"specials.name.adorable_massive_chop","Kreskówkowe uderzenie"
"specials.name.adorable_pest","Uroczy szkodnik"
"specials.name.adorable_piercing_strike","Cios kreskówkowej mocy"
"specials.name.adorable_pulverizer","Kreskówkowa destrukcja"
"specials.name.adorable_purification","Kreskówkaryzacja"
"specials.name.adorable_ramming_rush","Kreskówkowy pęd"
"specials.name.adorable_ramming_rush_isshtak","Kreskówkowy szturm"
"specials.name.adorable_shatter","Kreskówkowe rozbicie"
"specials.name.adorable_shield","Kreskówkowa tarcza"
"specials.name.adorable_skin","Kreskówkowa skóra"
"specials.name.adorable_sonic_wall","Kreskówkowa ściana"
"specials.name.adorable_spear","Kreskówkowa włócznia"
"specials.name.adorable_strike","Kreskówkowe uderzenie"
"specials.name.adorable_swords","Ściana kreskówek"
"specials.name.adorable_tactical_cut","Kreskówkowe cięcie"
"specials.name.adorable_wind_prayer","Kreskówkowa modlitwa"
"specials.name.adventure_awaits","Przygoda czeka!"
"specials.name.advice_from_beyond","Rada z zaświatów"
"specials.name.aerial_abduction","Powietrzne porwanie"
"specials.name.aerial_capture","Powietrzny przechwyt"
"specials.name.aerial_ram","Powietrzne taranowanie"
"specials.name.aether_mimic_bite_blue","Złaknione ugryzienie"
"specials.name.aether_mimic_bite_green","Złaknione ugryzienie"
"specials.name.aether_mimic_bite_purple","Złaknione ugryzienie"
"specials.name.aether_mimic_bite_red","Złaknione ugryzienie"
"specials.name.aether_mimic_bite_yellow","Złaknione ugryzienie"
"specials.name.age_old_antlers","Prastare poroże"
"specials.name.aggravating_gaze","Irytujące spojrzenie"
"specials.name.alchemy_experiment","Eksperyment alchemiczny"
"specials.name.alpha_roar","Ryk alfy"
"specials.name.amazing_deals","Wspaniałe okazje"
"specials.name.amazing_deals_clearance_sale","Wyprzedaż"
"specials.name.amazing_deals_dull_swords","Tępe miecze"
"specials.name.amazing_deals_questionable_snake_oil","Podejrzany olej z węża"
"specials.name.amphibian_sword_sting","Uderzenie Płaza"
