"specials.name.a_cozy_break","Pausa Agradável"
"specials.name.a_moment_of_joy","Momento de Felicidade"
"specials.name.a_rare_cultivar","Planta Rara"
"specials.name.abiding_dogma","Dogma Persistente"
"specials.name.absorbed_underlings","Absorção de Inferiores"
"specials.name.absordium_deflectors","Defletores Absordium"
"specials.name.abyssal_incantation","Encantamento Abissal"
"specials.name.accelerated_growth","Crescimento Acelerado"
"specials.name.aces_high","Ases Indomáveis"
"specials.name.acid_bite","Mordida Corrosiva"
"specials.name.acoustic_surge","Surto Acústico"
"specials.name.acute_cut","Corte severo"
"specials.name.adamantite_claw","Garra de Adamantite"
"specials.name.adamantium_horn","Chifre de adamantium"
"specials.name.adorable_beam","Feixe Fofo"
"specials.name.adorable_bolt","Seta Fofa"
"specials.name.adorable_burning_strike","Ataque de Fogo Fofo"
"specials.name.adorable_cold_blast","Nevasca Fofa"
"specials.name.adorable_entangling_shot","Disparo Fofástico"
"specials.name.adorable_four_blades","Golpe das Quatro Fofuras"
"specials.name.adorable_gamblers_stance","Postura Fofa"
"specials.name.adorable_hammer","Martelo Fofo"
"specials.name.adorable_have_faith","Fé de Fofura"
"specials.name.adorable_heal","Cura Fofa"
"specials.name.adorable_massive_chop","Retalho Fofástico"
"specials.name.adorable_pest","Praga Adorável"
"specials.name.adorable_piercing_strike","Ataque Fofástico"
"specials.name.adorable_pulverizer","Pulverizador Fofo"
"specials.name.adorable_purification","Fofurização"
"specials.name.adorable_ramming_rush","Investida Fofástica"
"specials.name.adorable_ramming_rush_isshtak","Investida Fofa"
"specials.name.adorable_shatter","Devastação Fofa"
"specials.name.adorable_shield","Escudo Fofo"
"specials.name.adorable_skin","Pele de Fofura"
"specials.name.adorable_sonic_wall","Muralha Fofa"
"specials.name.adorable_spear","Lança Fofa"
"specials.name.adorable_strike","Golpe Fofo"
"specials.name.adorable_swords","Muralha de Fofuras"
"specials.name.adorable_tactical_cut","Corte Fofástico"
"specials.name.adorable_wind_prayer","Oração Fofa"
"specials.name.adventure_awaits","Aventura Adiante!"
"specials.name.advice_from_beyond","Conselho do Além"
"specials.name.aerial_abduction","Abdução Aérea"
"specials.name.aerial_capture","Captura aérea"
"specials.name.aerial_ram","Aríete aéreo"
"specials.name.aether_mimic_bite_blue","Mordiscada"
"specials.name.aether_mimic_bite_green","Mordiscada"
"specials.name.aether_mimic_bite_purple","Mordiscada"
"specials.name.aether_mimic_bite_red","Mordiscada"
"specials.name.aether_mimic_bite_yellow","Mordiscada"
"specials.name.age_old_antlers","Galhadas Antigas"
"specials.name.aggravating_gaze","Olhar Perturbador"
"specials.name.alchemy_experiment","Experimento Alquímico"
"specials.name.alpha_roar","Rugido Alfa"
"specials.name.amazing_deals","Ofertas Incríveis"
"specials.name.amazing_deals_clearance_sale","Liquidação"
"specials.name.amazing_deals_dull_swords","Espadas Cegas"
"specials.name.amazing_deals_questionable_snake_oil","Óleo de Cobra Questionável"
"specials.name.amphibian_sword_sting","Golpe Anfíbio"
"specials.name.amphibious_assault","Assalto Anfíbio"
"specials.name.ancient_dragon_sword","Espada de Dragão Antigo"
"specials.name.ancient_enchantment","Encanto Antigo"
"specials.name.ancient_flames","Chamas Ancestrais"
"specials.name.ancient_martial_arts","Artes Marciais Antigas"
"specials.name.ancient_mirror","Espelho Antigo"
"specials.name.ancient_ritual","Ritual Antigo"
"specials.name.ancient_spell","Feitiço Antigo"
"specials.name.ancient_technology","Tecnologia Antiga"
"specials.name.ancient_vengeance","Vingança antiga"
"specials.name.anger_of_forest","Fúria da Floresta"
"specials.name.anger_of_the_jester","Fúria do Bobo"
"specials.name.anger_of_the_woods","Fúria dos Bosques"
"specials.name.anger_of_the_woods_pve","Fúria dos Bosques"
"specials.name.angry_boar","Javali zangado"
"specials.name.angry_boar_pve","Javali zangado"
"specials.name.anthem_of_the_lake","Hino do Lago"
"specials.name.aphotic_maw","Mandíbula Afótica"
"specials.name.aphotic_whisper","Sussurro Afótico"
"specials.name.apothecary_kit","Kit de apotecário"
"specials.name.aquatic_dance","Dança Aquática"
"specials.name.aquatic_outbreak","Surto aquático"
"specials.name.arcane_blast","Raio Arcano"
"specials.name.arcane_shock","Choque Arcano"
"specials.name.archaic_dread","Terror Arcaico"
"specials.name.archaic_sacred_symbol","Símbolo Sagrado Arcaico"
"specials.name.arctic_breeze","Brisa Ártica"
"specials.name.arctic_guard","Guardião Ártico"
"specials.name.arctic_veil","Véu Ártico"
