"specials.name.a_cozy_break","En mysig paus"
"specials.name.a_moment_of_joy","Ett ögonblicks lycka"
"specials.name.a_rare_cultivar","En sällsynt förädlad växt"
"specials.name.abiding_dogma","Bestående dogm"
"specials.name.absorbed_underlings","Absorberade underhuggare"
"specials.name.absordium_deflectors","Absordiumdeflektorer"
"specials.name.abyssal_incantation","Avgrundsbesvärjelse"
"specials.name.accelerated_growth","Påskyndad tillväxt"
"specials.name.aces_high","Ess i topp"
"specials.name.acid_bite","Frätande bett"
"specials.name.acoustic_surge","Akustiskt svall"
"specials.name.acute_cut","Akut hugg"
"specials.name.adamantite_claw","Adamantitklo"
"specials.name.adamantium_horn","Adamantiumhorn"
"specials.name.adorable_beam","Tecknad stråle"
"specials.name.adorable_bolt","Tecknat skott"
"specials.name.adorable_burning_strike","Tecknad eldattack"
"specials.name.adorable_cold_blast","Tecknad snöstorm"
"specials.name.adorable_entangling_shot","Omtecknat skott"
"specials.name.adorable_four_blades","Tecknade kvartettens hugg"
"specials.name.adorable_gamblers_stance","Tecknad ställning"
"specials.name.adorable_hammer","Tecknad hammare"
"specials.name.adorable_have_faith","Tecknad tro"
"specials.name.adorable_heal","Tecknad läkning"
"specials.name.adorable_massive_chop","Omtecknat hugg"
"specials.name.adorable_pest","Bedårande skadedjur"
"specials.name.adorable_piercing_strike","Teckningskraftslag"
"specials.name.adorable_pulverizer","Tecknad pulvrisering"
"specials.name.adorable_purification","Tecknad förvandling"
"specials.name.adorable_ramming_rush","Omtecknad rusning"
"specials.name.adorable_ramming_rush_isshtak","Tecknad rusning"
"specials.name.adorable_shatter","Tecknad splittring"
"specials.name.adorable_shield","Tecknad sköld"
"specials.name.adorable_skin","Tecknad hud"
"specials.name.adorable_sonic_wall","Tecknad mur"
"specials.name.adorable_spear","Tecknat spjut"
"specials.name.adorable_strike","Tecknat slag"
"specials.name.adorable_swords","Tecknad figurmur"
"specials.name.adorable_tactical_cut","Omtecknat slag"
"specials.name.adorable_wind_prayer","Tecknad bön"
"specials.name.adventure_awaits","Äventyr väntar!"
"specials.name.advice_from_beyond","Råd från andra sidan"
"specials.name.aerial_abduction","Luftburet bortförande"
"specials.name.aerial_capture","Luftfångst"
"specials.name.aerial_ram","Luftramning"
"specials.name.aether_mimic_bite_blue","Aggressivt nyp"
"specials.name.aether_mimic_bite_green","Aggressivt nyp"
"specials.name.aether_mimic_bite_purple","Aggressivt nyp"
"specials.name.aether_mimic_bite_red","Aggressivt nyp"
"specials.name.aether_mimic_bite_yellow","Aggressivt nyp"
"specials.name.age_old_antlers","Urgamla hjorthorn"
"specials.name.aggravating_gaze","Uppretande blick"
"specials.name.alchemy_experiment","Alkemiexperiment"
"specials.name.alpha_roar","Alfavrål"
"specials.name.amazing_deals","Otroliga erbjudanden"
"specials.name.amazing_deals_clearance_sale","Utförsäljningsrea"
"specials.name.amazing_deals_dull_swords","Trubbiga svärd"
"specials.name.amazing_deals_questionable_snake_oil","Tveksam ormolja"
"specials.name.amphibian_sword_sting","Amfibiesvärdsstöt"
"specials.name.amphibious_assault","Amfibieanfall"
"specials.name.ancient_dragon_sword","Uråldrigt draksvärd"
"specials.name.ancient_enchantment","Uråldrig förtrollning"
"specials.name.ancient_flames","Gamla flammor"
"specials.name.ancient_martial_arts","Antik kampsport"
"specials.name.ancient_mirror","Gammal spegel"
"specials.name.ancient_ritual","Gammal ritual"
"specials.name.ancient_spell","Gammal besvärjelse"
"specials.name.ancient_technology","Antik teknik"
"specials.name.ancient_vengeance","Urtida hämnd"
"specials.name.anger_of_forest","Skogens vrede"
"specials.name.anger_of_the_jester","Narrens vrede"
"specials.name.anger_of_the_woods","Skogens vrede"
"specials.name.anger_of_the_woods_pve","Skogens vrede"
"specials.name.angry_boar","Arg galt"
"specials.name.angry_boar_pve","Arg galt"
"specials.name.anthem_of_the_lake","Sjöns hymn"
"specials.name.aphotic_maw","Bottens käft"
"specials.name.aphotic_whisper","Djuphavsviskning"
"specials.name.apothecary_kit","Apotekarieutrustning"
"specials.name.aquatic_dance","Vattendans"
"specials.name.aquatic_outbreak","Vattenutbrott"
"specials.name.arcane_blast","Hemlig explosion"
"specials.name.arcane_shock","Mystisk chock"
"specials.name.archaic_dread","Arkaisk rädsla"
"specials.name.archaic_sacred_symbol","Arkaisk helig symbol"
"specials.name.arctic_breeze","Arktisk bris"
"specials.name.arctic_guard","Arktisk väktare"
"specials.name.arctic_veil","Arktisk slöja"
"specials.name.arctic_wound","Arktiskt sår"
"specials.name.arrow_of_desire","Begärets pil"
"specials.name.arrow_of_nujalik","Nujaliks pil"
"specials.name.arrows_and_claws","Pilar och klor"
"specials.name.arrows_of_altruism_liora","Altruismens pilar"
"specials.name.arrows_of_frost","Frostpilar"
"specials.name.arrows_of_fury","Vredens pilar"
"specials.name.artful_backstab","Konstnärligt rygghugg"
"specials.name.artful_recreation","Reparerande mästerverk"
"specials.name.artisans_shot","Hantverkarskott"
"specials.name.ashes_to_ashes","Aska till aska"
"specials.name.assassins_blades","Lönnmördarens svärd"
"specials.name.assassins_in_the_night","Nattens lönnmördare"
"specials.name.assassins_in_the_night_pve","Nattens lönnmördare"
"specials.name.asterius","Brutal tjurrusning"
