"specials.name.a_cozy_break","Sıcak Bir Mola"
"specials.name.a_moment_of_joy","Neşeli Bir An"
"specials.name.a_rare_cultivar","Nadir Bir Bitki"
"specials.name.abiding_dogma","Baki Dogma"
"specials.name.absorbed_underlings","Emilen Varlıklar"
"specials.name.absordium_deflectors","Absordium Yansıtıcıları"
"specials.name.abyssal_incantation","Cehennemi Büyü"
"specials.name.accelerated_growth","Hızlandırılmış Büyüme"
"specials.name.aces_high","Yüksek As"
"specials.name.acid_bite","Aşındıran Isırık"
"specials.name.acoustic_surge","Akustik Dalga"
"specials.name.acute_cut","Akut Kesim"
"specials.name.adamantite_claw","Adamantite Pençesi"
"specials.name.adamantium_horn","Adamantium boynuz"
"specials.name.adorable_beam","Çizgi Işın"
"specials.name.adorable_bolt","Çizgi Ok"
"specials.name.adorable_burning_strike","Çizgi Ateş Darbesi"
"specials.name.adorable_cold_blast","Çizgi Fırtına"
"specials.name.adorable_entangling_shot","Harika Çizgi Atışı"
"specials.name.adorable_four_blades","Dört Çizginin Kesiği"
"specials.name.adorable_gamblers_stance","Çizgi Duruşu"
"specials.name.adorable_hammer","Çizgi Çekiç"
"specials.name.adorable_have_faith","Çizginin İnancı"
"specials.name.adorable_heal","Çizgi İyileşme"
"specials.name.adorable_massive_chop","Harika Çizgi Doğraması"
"specials.name.adorable_pest","Sevimli Haşere"
"specials.name.adorable_piercing_strike","Çizgi Gücü Vuruşu"
"specials.name.adorable_pulverizer","Çizgi Püskürtücüsü"
"specials.name.adorable_purification","Çizgileştirme"
"specials.name.adorable_ramming_rush","Harika Çizgi Hücumu"
"specials.name.adorable_ramming_rush_isshtak","Çizgi Hücumu"
"specials.name.adorable_shatter","Çizgi Parçalayıcı"
"specials.name.adorable_shield","Çizgi Kalkan"
"specials.name.adorable_skin","Çizgi Deri"
"specials.name.adorable_sonic_wall","Çizgi Duvar"
"specials.name.adorable_spear","Çizgi Film Mızrağı"
"specials.name.adorable_strike","Çizgi Film Saldırısı"
"specials.name.adorable_swords","Çizgiler Duvarı"
"specials.name.adorable_tactical_cut","Harika Çizgi Kesiği"
"specials.name.adorable_wind_prayer","Çizgi Duası"
"specials.name.adventure_awaits","Macera seni bekliyor!"
"specials.name.advice_from_beyond","Öbür Taraftan Gelen Tavsiye"
"specials.name.aerial_abduction","Havadan Kaçırma"
"specials.name.aerial_capture","Havadan yakalama"
"specials.name.aerial_ram","Havadan Koçbaşı"
"specials.name.aether_mimic_bite_blue","Isırma İsteği"
"specials.name.aether_mimic_bite_green","Isırma İsteği"
"specials.name.aether_mimic_bite_purple","Isırma İsteği"
"specials.name.aether_mimic_bite_red","Isırma İsteği"
"specials.name.aether_mimic_bite_yellow","Isırma İsteği"
"specials.name.age_old_antlers","Asırlık Boynuzlar"
"specials.name.aggravating_gaze","Ciddileştiren Bakış"
"specials.name.alchemy_experiment","Simya Deneyi"
"specials.name.alpha_roar","Alfa Kükremesi"
"specials.name.amazing_deals","Muhteşem Fırsatlar"
"specials.name.amazing_deals_clearance_sale","Temizleme İndirimi"
"specials.name.amazing_deals_dull_swords","Kör Kılıçlar"
"specials.name.amazing_deals_questionable_snake_oil","Şaibeli Yılan Yağı"
"specials.name.amphibian_sword_sting","Amfibi Kılıç Sokması"
"specials.name.amphibious_assault","Amfibi Saldırı"
"specials.name.ancient_dragon_sword","Kadim Ejderha Kılıcı"
"specials.name.ancient_enchantment","Antik Büyü"
"specials.name.ancient_flames","Kadim Alevler"
"specials.name.ancient_martial_arts","Antik Dövüş Sanatları"
"specials.name.ancient_mirror","Antik Ayna"
"specials.name.ancient_ritual","Kadim Ayin"
"specials.name.ancient_spell","Antik Büyü"
"specials.name.ancient_technology","Antik Teknoloji"
"specials.name.ancient_vengeance","Antik intikam"
"specials.name.anger_of_forest","Ormanın Öfkesi"
"specials.name.anger_of_the_jester","Soytarının Öfkesi"
"specials.name.anger_of_the_woods","Ormanın Öfkesi"
"specials.name.anger_of_the_woods_pve","Ormanın Öfkesi"
"specials.name.angry_boar","Kızgın Domuz"
