"KEY","TEXT"
"account_deletion.cancel_request.button","Annullér sletning"
"account_deletion.dialog.cancel_request.message","Er du sikker på, at du vil [#ff362e]annullere[#] processen med at slette kontoen?"
"account_deletion.dialog.cancel_request.title","Annuller sletning"
"account_deletion.dialog.cancelled.message","Kontosletningsprocessen er blevet annulleret."
"account_deletion.dialog.cancelled.title","Sletning annulleret"
"account_deletion.dialog.final_confirmation.player_name_and_id","Spillernavn: {0}
Kontoidentifikator: {1}"
"account_deletion.dialog.final_confirmation.region","Du befinder dig i øjeblikket i: {0} 

Vi behandler din anmodning i overensstemmelse med lokal lovgivning. Hvis placeringen ikke er korrekt, bedes du vælge den korrekte fra nedenstående liste:"
"account_deletion.dialog.final_confirmation.region_unknown","Vi behandler din anmodning i overensstemmelse med lokal lovgivning. Vælg venligst din placering fra nedenstående liste:"
"account_deletion.dialog.final_confirmation.remember_id","Notér dig venligst ovenstående kontoidentifikator i tilfælde af, at du får brug for at kontakte os vedrørende kontosletningen."
"account_deletion.dialog.final_confirmation.title","Kontosletning"
"account_deletion.dialog.give_reason.message","Fortæl os venligst, hvorfor du vil slette din konto."
"account_deletion.dialog.give_reason.title","Årsag til sletning"
"account_deletion.dialog.in_progress.message","Vi har modtaget din anmodning og behandler den hurtigst muligt. 

Spil: Empires & Puzzles
Kontoidentifikator: {0}

Du kan annullere den anmodning om sletning i op til 7 dage."
"account_deletion.dialog.in_progress.title","Afventer kontosletning"
"account_deletion.dialog.restart_game.message","Det er meningen, at dit imperium skal udvikle sammen med dig, og spillet er derfor designet, så [#!]der ikke er nogen egentlig fordel ved at nulstille dine fremskridt[#]. Empires & Puzzles er designet til at blive spillet med én konto. Du finder flere nyttige helte og genstande, efterhånden som du spiller spillet mere. 

[#!]Bemærk venligst, at det ikke er muligt at bygge noget ""forkert"" i spillet[#]. Efterhånden som spillet forløber får du adgang til alle tilgængelige bygninger."
"account_deletion.dialog.restart_game.title","Genstart spillet"
"account_deletion.dialog.start_process.message","Når du har indsendt din sletningsanmodning, bliver din spilkonto og dit spil [#!]suspenderet med øjeblikkelig virkning[#]. Når din sletningsanmodning er blevet gennemført, [#!]er det ikke længere muligt for os at omgøre den[#]. 

[#!]Alle dine spilfremskridt går tabt[#], inklusive alle virtuelle valutaer eller genstande, som du har tjent eller købt. Vi kan heller ikke længere hjælpe dig med refusioner eller andre afventende anmodninger om hjælp til spillet.

Hvis du ønsker at blokere betalinger fra din eksisterende konto eller suspendere spil på din konto, kan du kontakte kundeservice i stedet for at slette kontoen.

Bemærk, at sletningen af spilkontoen ikke annullerer aktive abonnementer. [#!]Abonnementerne skal annulleres gennem abonnementsudbyderen [#] (Apple, Google, etc.).

Selvom du sletter din konto, kan du fortsat oprette en ny konto og starte forfra på spillet."
"account_deletion.dialog.start_process.title","Inden du sletter din spilkonto, bør du overveje følgende"
"account_deletion.reason_option.bugs_issues","For mange fejl/problemer"
