"KEY","TEXT"
"account_deletion.cancel_request.button","Annuler la suppression"
"account_deletion.dialog.cancel_request.message","Voulez-vous vraiment [#ff362e]annuler[#] le processus de suppression de compte ?"
"account_deletion.dialog.cancel_request.title","Annuler la suppression"
"account_deletion.dialog.cancelled.message","Le processus de suppression de compte a été annulé."
"account_deletion.dialog.cancelled.title","Suppression annulée"
"account_deletion.dialog.final_confirmation.player_name_and_id","Nom du joueur : {0}
Identifiant du compte : {1}"
"account_deletion.dialog.final_confirmation.region","Vous vous trouvez actuellement dans la région suivante : {0}.

Nous allons gérer votre demande conformément aux lois locales. Si ce n'est pas la bonne région, sélectionnez-la dans la liste ci-dessous :"
"account_deletion.dialog.final_confirmation.region_unknown","Nous allons gérer votre demande conformément aux lois locales. Sélectionnez votre région dans la liste ci-dessous :"
"account_deletion.dialog.final_confirmation.remember_id","Notez l'identifiant de compte ci-dessus, vous en aurez besoin si vous souhaitez nous contacter au sujet de la suppression de votre compte."
"account_deletion.dialog.final_confirmation.title","Suppression de compte"
"account_deletion.dialog.give_reason.message","Dites-nous pourquoi vous souhaitez supprimer votre compte."
"account_deletion.dialog.give_reason.title","Raison de la suppression"
"account_deletion.dialog.in_progress.message","Nous avons reçu votre demande, et nous allons la traiter dans les meilleurs délais. 

Jeu : Empires & Puzzles
Identifiant de compte : {0}

Il sera possible d'annuler cette demande de suppression pendant 7 jours."
"account_deletion.dialog.in_progress.title","Suppression de compte en attente"
"account_deletion.dialog.restart_game.message","L'empire que vous bâtissez est pensé pour grandir avec vous, et [#!]le fait de réinitialiser votre progression ne présente aucun avantage[#]. Empires & Puzzles est conçu pour se jouer avec un seul compte. Vous trouverez plus de héros et d'objets utiles en jouant davantage.

[#!]Il n'est pas possible de faire de « mauvais » choix dans le jeu.[#] À mesure que vous progresserez, vous pourrez obtenir tous les bâtiments disponibles."
"account_deletion.dialog.restart_game.title","Recommencer le jeu"
"account_deletion.dialog.start_process.message","Une fois votre demande de suppression envoyée, votre compte et votre progression seront [#!]immédiatement suspendus[#]. Une fois que le processus de suppression est terminé, [#!]il est impossible de revenir en arrière[#]. 

[#!]Toute votre progression sera perdue[#], y compris les devises et objets virtuels que vous avez gagnés ou achetés. Nous ne pourrons plus traiter vos demandes de remboursement ou d'aide en rapport avec ce jeu.

Si vous souhaitez bloquer les paiements ou limiter votre temps de jeu, nous vous recommandons de contacter notre service client plutôt que de supprimer le jeu.

La suppression du compte n'annulera pas les abonnements en cours. [#!]Les abonnements doivent être annulés auprès de leur fournisseur[#] (Apple, Google, etc.).

Après avoir supprimé votre compte, vous pourrez en créer un nouveau et recommencer le jeu."
"account_deletion.dialog.start_process.title","Avant de supprimer votre compte de jeu, tenez compte des avertissements suivants"
"account_deletion.reason_option.bugs_issues","Trop de bugs ou de problèmes"
"account_deletion.reason_option.disagree_with_policy","Je ne suis pas d'accord avec les conditions d'utilisation ou la politique de confidentialité"
"account_deletion.reason_option.harassment_abuse","J'ai des craintes concernant le harcèlement ou les insultes"
"account_deletion.reason_option.no_longer_play","Je ne joue plus au jeu"
"account_deletion.reason_option.other","Autre"
"account_deletion.reason_option.restart_game","Je veux recommencer le jeu"
"account_deletion.reason_option.select_reason","[Sélectionnez une raison]"
"account_deletion.region_dropdown.other","Autre (pas dans la liste)"
"account_deletion.region_dropdown.select_region","[Sélectionnez votre région]"
"account_deletion.terms_checkbox","Je souhaite supprimer ce compte de jeu. Je comprends que je perdrai toute ma progression ainsi que tous les objets virtuels que j'ai obtenus dans ce jeu, et qu'une fois la demande traitée, le processus est irréversible."
"accountswitch.cloud","Cloud"
"accountswitch.current","Actuel"
"accountswitch.keep","Garder"
"accountswitch.message","Vous pouvez choisir de garder votre progression, ou d'annuler si vous voulez décider plus tard."
"accountswitch.replace_cloud","Garder uniquement ceci"
"accountswitch.replace_cloud.info","Si vous êtes sûr(e) de vouloir remplacer le compte cloud avec le compte actuel, confirmez l'association."
"accountswitch.replace_cloud.title","Remplacer le compte cloud"
"accountswitch.replace_current.info","Si vous êtes sûr(e) de vouloir remplacer le compte actuel avec le compte cloud, confirmez l'association."
"accountswitch.replace_current.title","Remplacer le compte actuel"
"accountswitch.stronghold","Bastion niv."
"accountswitch.switch","Charger"
"accountswitch.title","Choisir compte"
"accountswitch.trophies","Trophées"
"accountswitch.xp","Niveau d'EXP"
"ads.disabled.popup.description","Les publicités ne sont pas disponibles dans cette version. Vous recevrez tout de même des récompenses."
"ads.disabled.popup.title","Aucune publicité n'est disponible"
"advanced_buildings.title#1","Nouveau bâtiment avancé débloqué"
"advanced_buildings.title#2","Nouveaux bâtiments avancés débloqués"
"advanced_buildings.title#3","Nouveaux bâtiments avancés débloqués"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","Au début de chaque combat, ce héros reçoit {ATTACK} % d'attaque pour {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","Au début de chaque combat, ce héros reçoit {ATTACK} % d'attaque avec une augmentation supplémentaire de {CHANGE} % à chaque coup subi pour {TURNS} tours, jusqu'à un maximum de {MAXMODIFIER} %.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague"
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","Au début de chaque combat, ce héros reçoit {DEFENSE} % de défense avec une augmentation supplémentaire de {CHANGE} % à chaque coup subi pour {TURNS} tours, jusqu'à un maximum de {MAXMODIFIER} %.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","Au début de chaque combat, les dégâts que les effets négatifs infligent à ce héros sont réduit de {MULTIPLIER} % pendant {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","Au début de chaque combat, ce héros reçoit {DEFENSE} % de défense pour {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","Au début de chaque combat, les effets négatifs de ce héros sont purifiés à la fin de chaque tour pendant {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","Au début de chaque combat, la santé de ce héros est boostée de {TOTAL} sur {TURNS} tours. Le maximum de PV peut être dépassé.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","Au début de chaque combat, ce héros récupère {TOTAL} PV sur {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies","Au début de chaque combat, ce héros récupère une petite quantité de mana sur {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowergamble.single.allies","Au début de chaque combat, ce héros reçoit {ATTACK} % d'attaque et {ACCURACY} % de précision pour {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies","Au début de chaque combat, les soins reçus par ce héros sont augmentés de {HEALING} % pour {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies","Au début de chaque combat, ce héros se soigne à hauteur de {LIFESTEAL} % des dégâts infligés pendant {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies","Au début de chaque combat, ce héros reçoit {MANAREGEN} % de génération de mana pour {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies","Si ce héros est vaincu pendant les 5 premiers tours du combat, il revient à la vie sous forme de momie avec {ATTACK} % d'attaque et {DEFENSE} % de défense.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
"aetherpower.statuseffect.minor.aetherpowerreceiveddamagemodifier.single.allies.decrease","Au début de chaque combat, tous les dégâts subis par ce héros sont réduits de [#!]{DAMAGEREDUCTION} %[#] pendant {TURNS} tours.

Dans les combats comportant plusieurs vagues, l'effet est réinitialisé au début de chaque vague."
