"KEY","TEXT"
"account_deletion.cancel_request.button","Annulla cancellazione"
"account_deletion.dialog.cancel_request.message","Vuoi davvero [#ff362e]annullare[#] il processo di cancellazione dell'account?"
"account_deletion.dialog.cancel_request.title","Annulla cancellazione"
"account_deletion.dialog.cancelled.message","Il processo di cancellazione dell'account è stato annullato."
"account_deletion.dialog.cancelled.title","Cancellazione annullata"
"account_deletion.dialog.final_confirmation.player_name_and_id","Nome giocatore: {0}
Identificativo account: {1}"
"account_deletion.dialog.final_confirmation.region","Attualmente ti trovi in: {0} 

Elaboreremo la tua richiesta in conformità alle leggi locali. Se l'ubicazione non è corretta, scegli quella corretta dall'elenco sottostante:"
"account_deletion.dialog.final_confirmation.region_unknown","Elaboreremo la tua richiesta in conformità con le leggi locali. Scegli la tua ubicazione dall'elenco sottostante:"
"account_deletion.dialog.final_confirmation.remember_id","Ti preghiamo di prendere nota dell'identificativo dell'account indicato sopra se dovessi avere bisogno di contattarci in merito alla cancellazione dell'account."
"account_deletion.dialog.final_confirmation.title","Cancellazione dell'account"
"account_deletion.dialog.give_reason.message","Indicaci il motivo per cui vuoi cancellare il tuo account."
"account_deletion.dialog.give_reason.title","Motivo della cancellazione"
"account_deletion.dialog.in_progress.message","Abbiamo ricevuto la tua richiesta e la elaboreremo a breve. 

Gioco: Empires & Puzzles
Identificativo account: {0}

Potrai annullare questa richiesta di cancellazione per un massimo di 7 giorni."
"account_deletion.dialog.in_progress.title","Cancellazione dell'account in sospeso"
"account_deletion.dialog.restart_game.message","L'impero che stai costruendo è destinato a crescere insieme a te e il gioco è implementato in modo tale che [#!]non c'è alcun vantaggio nel resettare i tuoi progressi[#]. Empires & Puzzles è stato progettato per essere giocato con un solo account. Troverai altri Eroi e oggetti utili se continuerai a giocare. 

Nota che non è possibile costruire qualcosa di ""sbagliato"" nel gioco[#]. Con l'avanzare del gioco otterrai tutti gli edifici possibili."
"account_deletion.dialog.restart_game.title","Riavvio del gioco"
"account_deletion.dialog.start_process.message","Dopo aver inviato la richiesta di cancellazione, il tuo account di gioco e la partita attuale saranno [#!]immediatamente sospesi[#]. Una volta completata la richiesta di cancellazione, [#!]non potremo annullarla[#]. 

[#!]Tutti i tuoi progressi di gioco andranno perduti[#], compresa la valuta virtuale o gli oggetti che hai guadagnato o acquistato. Non saremo più in grado di assisterti con rimborsi o altre richieste di assistenza in sospeso relative a questo gioco.

Se desideri bloccare i pagamenti sul tuo account esistente o sospendere il gioco sul tuo account, invece di cancellarlo, contatta l'assistenza ai giocatori.

Nota che la cancellazione di questo account di gioco non annullerà gli abbonamenti attivi. [#!]Gli abbonamenti devono essere annullati tramite il fornitore dell'abbonamento[#] (Apple, Google, ecc.).

La cancellazione dell'account non ti impedisce di creare un nuovo account e ricominciare da capo nel gioco."
"account_deletion.dialog.start_process.title","Prima di cancellare questo account di gioco, tieni presente quanto segue"
"account_deletion.reason_option.bugs_issues","Troppi bug/problemi"
"account_deletion.reason_option.disagree_with_policy","Non sono d'accordo con i Termini di servizio / l'Informativa sulla privacy"
"account_deletion.reason_option.harassment_abuse","Problemi di molestie/abuso"
"account_deletion.reason_option.no_longer_play","Non gioco più"
"account_deletion.reason_option.other","Altro"
"account_deletion.reason_option.restart_game","Voglio riavviare il gioco"
"account_deletion.reason_option.select_reason","[Seleziona il motivo]"
"account_deletion.region_dropdown.other","Altro (non elencato)"
"account_deletion.region_dropdown.select_region","[Seleziona la regione]"
"account_deletion.terms_checkbox","Voglio cancellare questo account di gioco. Sono consapevole che perderò tutti i progressi di gioco e gli oggetti virtuali accumulati in questo gioco e che una volta completata la mia richiesta di cancellazione, questa non potrà essere annullata."
"accountswitch.cloud","Cloud"
"accountswitch.current","Attuale"
"accountswitch.keep","Mantieni"
"accountswitch.message","Puoi mantenere entrambi i progressi o annullare l'operazione e decidere in seguito."
"accountswitch.replace_cloud","Mantieni solo questi"
"accountswitch.replace_cloud.info","Se vuoi davvero sostituire l'account su cloud con quello attuale, conferma il collegamento."
"accountswitch.replace_cloud.title","Sostituisci l'account su cloud"
"accountswitch.replace_current.info","Se vuoi davvero sostituire l'account attuale con quello su cloud, conferma il collegamento."
"accountswitch.replace_current.title","Sostituisci l'account attuale"
"accountswitch.stronghold","Liv. roccaforte"
"accountswitch.switch","Carica"
"accountswitch.title","Scegli account"
"accountswitch.trophies","Trofei"
"accountswitch.xp","Livello EXP"
"ads.disabled.popup.description","Gli annunci non sono disponibili in questa versione. Riceverai comunque le ricompense."
"ads.disabled.popup.title","Nessun annuncio disponibile"
"advanced_buildings.title#1","Nuovo edificio avanzato sbloccato"
"advanced_buildings.title#2","Nuovi edifici avanzati sbloccati"
"advanced_buildings.title#3","Nuovi edifici avanzati sbloccati"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","All'inizio di ogni battaglia, questo Eroe ottiene il {ATTACK}% di Attacco per {TURNS} turni.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","All'inizio di ogni battaglia, questo Eroe ottiene il {ATTACK}% di Attacco, che aumenta del {CHANGE}% ogni volta che subisce un colpo nel corso di {TURNS} turni, fino a un massimo del {MAXMODIFIER}% di Attacco.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","All'inizio di ogni battaglia, questo Eroe ottiene il {DEFENSE}% di Difesa, che aumenta del {CHANGE}% ogni volta che subisce un colpo nel corso di {TURNS} turni, fino a un massimo del {MAXMODIFIER}% di Difesa.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","All'inizio di ogni battaglia, questo Eroe ottiene il {MULTIPLIER}% di riduzione dei danni subiti a causa di disturbi per {TURNS} turni.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","All'inizio di ogni battaglia, questo Eroe ottiene il {DEFENSE}% di Difesa per {TURNS} turni.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","All'inizio di ogni battaglia, i disturbi di questo Eroe vengono annullati alla fine di ogni turno per {TURNS} turni.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","All'inizio di ogni battaglia, questo Eroe rigenera {TOTAL} punti Salute in più nel corso di {TURNS} turni. La Salute potenziata può superare gli HP massimi.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","All'inizio di ogni battaglia, questo Eroe rigenera {TOTAL} punti Salute nel corso di {TURNS} turni.

Nelle battaglie a più ondate, l'effetto viene aggiornato all'inizio di ogni ondata."
