"KEY","TEXT"
"account_deletion.cancel_request.button","Anuluj usuwanie"
"account_deletion.dialog.cancel_request.message","Na pewno chcesz [#ff362e]anulować[#] usuwanie konta?"
"account_deletion.dialog.cancel_request.title","Anuluj usuwanie"
"account_deletion.dialog.cancelled.message","Anulowano usuwanie konta."
"account_deletion.dialog.cancelled.title","Anulowano usuwanie"
"account_deletion.dialog.final_confirmation.player_name_and_id","Nazwa gracza: {0}
Identyfikator konta: {1}"
"account_deletion.dialog.final_confirmation.region","Obecnie znajdujesz się w: {0} 

Twoja prośba zostanie rozpatrzona zgodnie z przepisami lokalnymi. Jeśli ta lokalizacja jest nieprawidłowa, wybierz właściwą z poniższej listy:"
"account_deletion.dialog.final_confirmation.region_unknown","Twoja prośba zostanie rozpatrzona zgodnie z przepisami lokalnymi. Wybierz swoją lokalizację z poniższej listy:"
"account_deletion.dialog.final_confirmation.remember_id","Zapamiętaj powyższy identyfikator konta, by skontaktować się z nami w zakresie usunięcia konta."
"account_deletion.dialog.final_confirmation.title","Usuwanie konta"
"account_deletion.dialog.give_reason.message","Dlaczego chcesz usunąć konto?"
"account_deletion.dialog.give_reason.title","Powód usunięcia konta"
"account_deletion.dialog.in_progress.message","Otrzymaliśmy twoją prośbę i wkrótce ją rozpatrzymy. 

Gra: Empires & Puzzles
Identyfikator konta: {0}

Możesz anulować prośbę o usunięcie w ciągu 7 dni."
"account_deletion.dialog.in_progress.title","Usuwanie konta w toku"
"account_deletion.dialog.restart_game.message","Budowane przez ciebie Imperium ma rozwijać się w raz z tobą, a gra została opracowana w taki sposób, [#!]by resetowanie postępów nie przynosiło rzeczywistych korzyści[#]. Empires & Puzzles zostało zaprojektowane z myślą o tym, by gracze korzystali tylko z jednego konta. W dalszej grze zdobędziesz lepszych bohaterów i przedmioty. 

[#!]Pamiętaj, że niemożliwe jest, by zbudować coś ""źle"".[#]. W miarę postępów w grze zdobędziesz wszystkie możliwe budynki."
"account_deletion.dialog.restart_game.title","Zrestartuj grę"
"account_deletion.dialog.start_process.message","Po wysłaniu prośby o usunięcie konta, twoje konto i możliwość rozgrywki zostaną [#!]natychmiast zawieszone[#].Po zrealizowaniu prośby o usunięcie [#!]nie będziemy mogli cofnąć tego procesu[#]. 

[#!]Twoje postępy zostaną utracone[#] wraz z wirtualną walutą i zdobytymi oraz zakupionymi przedmiotami. Nie będziemy już w stanie pomóc ci ze zwrotami oraz wszelkimi innymi oczekującymi prośbami o pomoc.

Jeśli chcesz zablokować płatności na swoim istniejącym koncie lub zawiesić możliwość rozgrywki na koncie, zamiast je usuwać, skontaktuj się ze działem wsparcia.

Pamiętaj, że usunięcie tego konta nie anuluje aktywnych subskrypcji. [#!]Subskrypcje należy anulować za pośredniwcem ich dostawców[#] (Apple, Google itd.).

Usunięcie konta nie uniemożliwia utworzenia nowego i rozpoczęcia gry od nowa."
"account_deletion.dialog.start_process.title","Zanim usuniesz konto, rozważ następujące kwestie"
"account_deletion.reason_option.bugs_issues","Za dużo błędów/problemów"
"account_deletion.reason_option.disagree_with_policy","Nie zgadzam się z regulaminem i zasadami ochrony prywatności"
"account_deletion.reason_option.harassment_abuse","Mam obawy dotyczące nękania /przemocy psychicznej"
"account_deletion.reason_option.no_longer_play","Nie gram już"
"account_deletion.reason_option.other","Inne"
"account_deletion.reason_option.restart_game","Chcę zacząć grę od nowa"
"account_deletion.reason_option.select_reason","[Wybierz powód]"
"account_deletion.region_dropdown.other","Inne (nie ma na liście)"
"account_deletion.region_dropdown.select_region","[Wybierz region]"
"account_deletion.terms_checkbox","Chcę usunąć to konto. Rozumiem, że utracę wszystkie postępy w grze i zgromadzone wirtualne przedmioty, a po zrealizowaniu prośby o usunięcie konto nie będzie mogło zostać odzyskane."
"accountswitch.cloud","Chmura"
"accountswitch.current","Bieżące"
"accountswitch.keep","Zachowaj"
"accountswitch.message","Możesz zachować dowolne postępy lub anulować wybór, jeśli chcesz podjąć decyzję innym razem."
"accountswitch.replace_cloud","Zachowaj tylko to konto"
"accountswitch.replace_cloud.info","Jeśli masz pewność, że chcesz usunąć konto w chmurze i zastąpić je aktualnym kontem, potwierdź powiązanie."
"accountswitch.replace_cloud.title","Zastąp konto w chmurze"
"accountswitch.replace_current.info","Jeśli masz pewność, że chcesz usunąć to konto i zastąpić je kontem w chmurze, potwierdź powiązanie."
"accountswitch.replace_current.title","Zastąp aktualne konto"
"accountswitch.stronghold","Forteca poz."
"accountswitch.switch","Wczytaj"
"accountswitch.title","Wybierz konto"
"accountswitch.trophies","Trofea"
"accountswitch.xp","Poziom XP"
"ads.disabled.popup.description","Reklamy nie są dostępne w tej wersji. Nadal będziesz otrzymywać nagrody."
"ads.disabled.popup.title","Brak dostępnej reklamy"
"advanced_buildings.title#1","Odblokowano nowy budynek zaawansowany"
"advanced_buildings.title#2","Odblokowano nowe budynki zaawansowane"
"advanced_buildings.title#3","Odblokowano nowe budynki zaawansowane"
"aetherpower.statuseffect.minor.aetherpowerattackmodifier.single.allies","Na początku każdej bitwy ten bohater otrzymuje {ATTACK}% do ataku przez okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerberserk.single.allies","Na początku każdej bitwy ten bohater otrzymuje {ATTACK}% do ataku i dodatkowe {CHANGE}% za każde otrzymane trafienie przez okres {TURNS} tur, maksymalnie do {MAXMODIFIER}% ataku.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerberserkdefense.single.allies","Na początku każdej bitwy ten bohater otrzymuje {DEFENSE}% do obrony i dodatkowe {CHANGE}% za każde otrzymane trafienie przez okres {TURNS} tur, maksymalnie do {MAXMODIFIER}% obrony.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerdebuffdamagemodifier.single.allies","Na początku każdej bitwy ten bohater otrzymuje {MULTIPLIER}% redukcji obrażeń wynikających z efektów statusu na czas {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerdefensemodifier.single.allies","Na początku każdej bitwy ten bohater otrzymuje {DEFENSE}% do obrony przez okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerdispel.single.allies.minordebuff","Na początku każdej bitwy dolegliwości ze statusu tego bohatera zostają oczyszczone na koniec każdej tury przez okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.healthboost.single.allies","Na początku każdej bitwy ten bohater regeneruje {TOTAL} pkt. wzmocnionego zdrowia przez okres {TURNS} tur. Wzmocnione zdrowie może przekroczyć maks. liczbę PŻ.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerfixedhealthrecovery.single.allies","Na początku każdej bitwy ten bohater regeneruje {TOTAL} pkt. zdrowia przez okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerfixedmanarecovery.small.single.allies","Na początku każdej bitwy ten bohater otrzymuje niewielką ilość many przez okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowergamble.single.allies","Na początku każdej bitwy ten bohater otrzymuje {ATTACK}% do ataku oraz {ACCURACY}% do precyzji przez okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerhealmultiplier.single.allies","Na początku każdej bitwy regeneracja zdrowia tego bohatera ze wszystkich źródeł rośnie o {HEALING}% na okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowerlifesteal.single.allies","Na początku każdej bitwy ten bohater odzyskuje {LIFESTEAL}% zadanych normalnych obrażeń na okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowermanagenerationmodifier.single.allies","Na początku każdej bitwy ten bohater otrzymuje {MANAREGEN}% regeneracji many na okres {TURNS} tur.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"aetherpower.statuseffect.minor.aetherpowermummyreincarnation.single.allies","Jeśli ten bohater zostanie pokonany podczas pierwszych 5 tur bitwy, odrodzi się pod postacią mumii z {ATTACK}% ataku i {DEFENSE}% obrony.

W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
