"KEY","TEXT"
"account_deletion.cancel_request.button","Avbryt borttagning"
"account_deletion.dialog.cancel_request.message","Vill du verkligen [#ff362e]avbryta[#] kontoborttagningsprocessen?"
"account_deletion.dialog.cancel_request.title","Avbryt borttagning"
"account_deletion.dialog.cancelled.message","Kontoborttagningsprocessen har avbrutits."
"account_deletion.dialog.cancelled.title","Borttagning avbruten"
"account_deletion.dialog.final_confirmation.player_name_and_id","Spelarnamn: {0}
Kontoidentifierare: {1}"
"account_deletion.dialog.final_confirmation.region","Just nu befinner du dig i: {0}

Vi kommer att behandla din begäran i enlighet med lokal lagstiftning. Om platsinformationen inte stämmer kan du välja rätt plats i listan nedan:"
"account_deletion.dialog.final_confirmation.region_unknown","Vi kommer att behandla din begäran i enlighet med lokal lagstiftning. Välj din plats i listan nedan:"
"account_deletion.dialog.final_confirmation.remember_id","Anteckna kontoidentifieraren ovan ifall du måste kontakta oss kring kontoborttagningen."
"account_deletion.dialog.final_confirmation.title","Kontoborttagning"
"account_deletion.dialog.give_reason.message","Berätta varför du vill ta bort ditt konto."
"account_deletion.dialog.give_reason.title","Anledning till borttagning"
"account_deletion.dialog.in_progress.message","Vi har mottagit din begäran och kommer att behandla den inom kort.

Spel: Empires & Puzzles
Kontoidentifierare: {0}

Du kan avbryta din borttagningsförfrågan i upp till sju dagar."
"account_deletion.dialog.in_progress.title","Kontot inväntar borttagning"
"account_deletion.dialog.restart_game.message","Imperiet du bygger ska växa med dig, och spelet är byggt så att det [#!]inte finns någon fördel med att nollställa sina framsteg[#]. Empires & Puzzles är designat för att spelas med endast ett konto. Du får fler användbara hjältar och föremål ju mer du spelar.

[#!]Obs! Det går inte att bygga ”fel” i spelet[#]. Förr eller senare kommer du att få alla tillgängliga byggnader."
"account_deletion.dialog.restart_game.title","Starta om spelet"
