"event.name.alliancequestcastle","騎士衝突"
"event.name.alliancequestmoths","飛蛾之夜"
"event.name.alliancequestmusketeers","英勇火槍手"
"event.name.chess","西洋棋活動"
"event.name.covenantquest1","聖約任務"
"event.name.covenantquest2","聖約任務"
"event.name.guestip1","特別訪客活動"
"event.name.recurringbeowulf","貝武夫的挑戰"
"event.name.recurringcircus","星隕馬戲團"
"event.name.recurringfestival","挑戰節I"
"event.name.recurringfestivalb","挑戰節II"
"event.name.recurringgargoyles","石像鬼聖殿"
"event.name.recurringgargoyles2","返回聖殿"
"event.name.recurringmasquerade","眾神嘉年華"
"event.name.recurringmightypets","強大寵物"
"event.name.recurringopera","歌劇秘辛"
"event.name.recurringslayers","墮落暗影劫掠者"
"event.name.recurringvillains","惡棍聯盟"
"event.name.towermagic","魔法高塔"
"event.name.towerninja","忍者高塔"
"event.name.towerowl","貓頭鷹高塔"
"event.name.towerstyx","冥河高塔"
"event.name.treasurequestalphaaether","寶藏任務"
"event.name.treasurequestascension","寶藏任務"
"event.name.treasurequestcovenantsuperelemental","寶藏任務"
"event.name.treasurequestgoblinastral","寶藏任務"
"event.name.treasurequestlgtroop","寶藏任務"
"event.name.treasurequesttome","寶藏任務"
"event.name.treasurequesttoweralliance","寶藏任務"
"event.name.treasurequestutility","寶藏任務"
"event.name.treasurequestxpblue","寶藏任務"
"event.name.treasurequestxpgreen","寶藏任務"
"event.name.treasurequestxppurple","寶藏任務"
"event.name.treasurequestxpred","寶藏任務"
"event.name.treasurequestxpyellow","寶藏任務"
